xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1024301,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,26,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024301,https://xeno-canto.org/1024301/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024301.mp3
1024300,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,35,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024300,https://xeno-canto.org/1024300/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1024300.mp3
1015208,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015208,https://xeno-canto.org/1015208/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015208.mp3
1015207,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015207,https://xeno-canto.org/1015207/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015207.mp3
1015205,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,37,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015205,https://xeno-canto.org/1015205/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1015205.mp3
916789,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2024-06-25,13:30,5,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/916789,https://xeno-canto.org/916789/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC916789.mp3
755238,Accipiter nisus,Eurasian Sparrowhawk,Mark Newsome,United Kingdom,2022-10-10,21:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/755238,https://xeno-canto.org/755238/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC755238.mp3
741322,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,United Kingdom,2022-08-01,14:00,35,A,"begging call, call",field recording,no,[],44100,https://xeno-canto.org/741322,https://xeno-canto.org/741322/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC741322.mp3
738943,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2022-07-10,12:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/738943,https://xeno-canto.org/738943/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC738943.mp3
726430,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2021-05-10,08:00,9,A,call,field recording,no,[],44100,https://xeno-canto.org/726430,https://xeno-canto.org/726430/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC726430.mp3
589050,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1993-08-14,06:30,38,A,flight call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/589050,https://xeno-canto.org/589050/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC589050.mp3
589046,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,06:30,43,A,heartbeat,field recording,yes,[],44100,https://xeno-canto.org/589046,https://xeno-canto.org/589046/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC589046.mp3
589043,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,05:00,15,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/589043,https://xeno-canto.org/589043/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC589043.mp3
572979,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2020-07-02,12:00,8,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/572979,https://xeno-canto.org/572979/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC572979.mp3
1071299,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2026-01-06,11:30,5,A,call,field recording,no,[],48000,https://xeno-canto.org/1071299,https://xeno-canto.org/1071299/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1071299.mp3
1053258,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2025-09-14,10:00,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1053258,https://xeno-canto.org/1053258/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1053258.mp3
1044180,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2025-07-14,10:58,17,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/1044180,https://xeno-canto.org/1044180/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1044180.mp3
1041153,Accipiter nisus,Eurasian Sparrowhawk,Sonothèque ADVL,France,2025-08-21,08:30,19,A,call,field recording,yes,[],24000,https://xeno-canto.org/1041153,https://xeno-canto.org/1041153/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1041153.mp3
1030997,Accipiter nisus,Eurasian Sparrowhawk,Andreas Richter,Germany,2025-08-07,10:30,24,A,call,in the hand,yes,[],44100,https://xeno-canto.org/1030997,https://xeno-canto.org/1030997/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC1030997.mp3
894734,Accipiter nisus,Eurasian Sparrowhawk,Jorge Leitão,Portugal,2024-04-09,11:50,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/894734,https://xeno-canto.org/894734/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC894734.mp3
764648,Accipiter nisus,Eurasian Sparrowhawk,Manceau Lionel,France,2022-08-26,10:00,23,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/764648,https://xeno-canto.org/764648/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/accipiter_nisus/XC764648.mp3
