xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1024301,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,26,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024301,https://xeno-canto.org/1024301/download,
1024300,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,35,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024300,https://xeno-canto.org/1024300/download,
1015208,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015208,https://xeno-canto.org/1015208/download,
1015207,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015207,https://xeno-canto.org/1015207/download,
1015205,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,37,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015205,https://xeno-canto.org/1015205/download,
916789,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2024-06-25,13:30,5,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/916789,https://xeno-canto.org/916789/download,
755238,Accipiter nisus,Eurasian Sparrowhawk,Mark Newsome,United Kingdom,2022-10-10,21:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/755238,https://xeno-canto.org/755238/download,
741322,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,United Kingdom,2022-08-01,14:00,35,A,"begging call, call",field recording,no,[],44100,https://xeno-canto.org/741322,https://xeno-canto.org/741322/download,
738943,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2022-07-10,12:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/738943,https://xeno-canto.org/738943/download,
726430,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2021-05-10,08:00,9,A,call,field recording,no,[],44100,https://xeno-canto.org/726430,https://xeno-canto.org/726430/download,
589050,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1993-08-14,06:30,38,A,flight call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/589050,https://xeno-canto.org/589050/download,
589046,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,06:30,43,A,heartbeat,field recording,yes,[],44100,https://xeno-canto.org/589046,https://xeno-canto.org/589046/download,
589043,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,05:00,15,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/589043,https://xeno-canto.org/589043/download,
572979,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2020-07-02,12:00,8,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/572979,https://xeno-canto.org/572979/download,
1071299,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2026-01-06,11:30,5,A,call,field recording,no,[],48000,https://xeno-canto.org/1071299,https://xeno-canto.org/1071299/download,
