xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
991150,Acrocephalus schoenobaenus,Sedge Warbler,Shaun Micklewright,United Kingdom,2025-04-22,19:00,37,A,song,field recording,yes,[],44100,https://xeno-canto.org/991150,https://xeno-canto.org/991150/download,
949916,Acrocephalus schoenobaenus,Sedge Warbler,Arjun Dutta,United Kingdom,2023-04-22,11:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/949916,https://xeno-canto.org/949916/download,
648586,Acrocephalus schoenobaenus,Sedge Warbler,Irish Wildlife Sounds,Ireland,2021-05-08,10:00,54,A,"imitation, song, mimicry/imitation",field recording,yes,[],44100,https://xeno-canto.org/648586,https://xeno-canto.org/648586/download,
648546,Acrocephalus schoenobaenus,Sedge Warbler,Irish Wildlife Sounds,Ireland,2021-05-02,10:00,29,A,"imitation, song, mimicry/imitation",field recording,yes,[],44100,https://xeno-canto.org/648546,https://xeno-canto.org/648546/download,
648545,Acrocephalus schoenobaenus,Sedge Warbler,Irish Wildlife Sounds,Ireland,2021-05-02,10:00,44,A,"imitation, song, mimicry/imitation",field recording,yes,[],44100,https://xeno-canto.org/648545,https://xeno-canto.org/648545/download,
648541,Acrocephalus schoenobaenus,Sedge Warbler,Irish Wildlife Sounds,Ireland,2021-05-02,10:00,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/648541,https://xeno-canto.org/648541/download,
561609,Acrocephalus schoenobaenus,Sedge Warbler,padraig cullinan,Ireland,2020-05-24,08:00,56,A,song,field recording,no,[],44100,https://xeno-canto.org/561609,https://xeno-canto.org/561609/download,
560077,Acrocephalus schoenobaenus,Sedge Warbler,Calum Mckellar,United Kingdom,2020-05-20,09:30,48,A,song,field recording,yes,[],44100,https://xeno-canto.org/560077,https://xeno-canto.org/560077/download,
377104,Acrocephalus schoenobaenus,Sedge Warbler,Anthony McGeehan ,Ireland,2017-05-06,07:00,54,A,song,field recording,yes,[],48000,https://xeno-canto.org/377104,https://xeno-canto.org/377104/download,
180928,Acrocephalus schoenobaenus,Sedge Warbler,Dawid Jablonski,United Kingdom,2014-05-31,15:30,58,A,song,field recording,yes,[],44100,https://xeno-canto.org/180928,https://xeno-canto.org/180928/download,
108276,Acrocephalus schoenobaenus,Sedge Warbler,Stuart Fisher,United Kingdom,2012-07-17,14:00,47,A,alarm call,field recording,unknown,[],44100,https://xeno-canto.org/108276,https://xeno-canto.org/108276/download,
108274,Acrocephalus schoenobaenus,Sedge Warbler,Stuart Fisher,United Kingdom,2012-07-17,14:00,26,A,alarm call,field recording,unknown,[],44100,https://xeno-canto.org/108274,https://xeno-canto.org/108274/download,
1014935,Acrocephalus schoenobaenus,Sedge Warbler,Lars Edenius,Sweden,2025-07-10,06:00,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/1014935,https://xeno-canto.org/1014935/download,
1011600,Acrocephalus schoenobaenus,Sedge Warbler,Lars Edenius,Sweden,2025-07-05,06:00,29,A,song,field recording,yes,"[""Emberiza schoeniclus""]",48000,https://xeno-canto.org/1011600,https://xeno-canto.org/1011600/download,
997072,Acrocephalus schoenobaenus,Sedge Warbler,Francesco Sottile,Italy,2025-05-11,09:06,56,A,song,field recording,no,"[""Acrocephalus scirpaceus""]",44100,https://xeno-canto.org/997072,https://xeno-canto.org/997072/download,
991105,Acrocephalus schoenobaenus,Sedge Warbler,Noé Ferrari,France,2025-04-22,20:00,31,A,song,field recording,no,[],48000,https://xeno-canto.org/991105,https://xeno-canto.org/991105/download,
990301,Acrocephalus schoenobaenus,Sedge Warbler,Noé Ferrari,France,2025-04-20,20:30,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/990301,https://xeno-canto.org/990301/download,
919279,Acrocephalus schoenobaenus,Sedge Warbler,Martin Billard,France,2024-06-21,09:23,52,A,song,field recording,yes,[],44100,https://xeno-canto.org/919279,https://xeno-canto.org/919279/download,
919276,Acrocephalus schoenobaenus,Sedge Warbler,Martin Billard,France,2024-06-21,09:19,21,A,song,field recording,yes,[],44100,https://xeno-canto.org/919276,https://xeno-canto.org/919276/download,
912948,Acrocephalus schoenobaenus,Sedge Warbler,Ulf Elman,Sweden,2024-06-14,00:16,8,A,song,field recording,no,[],48000,https://xeno-canto.org/912948,https://xeno-canto.org/912948/download,
895064,Acrocephalus schoenobaenus,Sedge Warbler,Martin Billard,France,2024-04-08,08:42,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/895064,https://xeno-canto.org/895064/download,
879426,Acrocephalus schoenobaenus,Sedge Warbler,Olivier SWIFT,France,2023-06-09,22:41,27,A,song,field recording,no,"[""Turdus merula"", ""Cettia cetti"", ""Rallus aquaticus""]",48000,https://xeno-canto.org/879426,https://xeno-canto.org/879426/download,
871701,Acrocephalus schoenobaenus,Sedge Warbler,Alain Malengreau,Belgium,2023-05-14,09:00,51,A,song,field recording,yes,[],48000,https://xeno-canto.org/871701,https://xeno-canto.org/871701/download,
871700,Acrocephalus schoenobaenus,Sedge Warbler,Alain Malengreau,Belgium,2023-05-14,09:00,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/871700,https://xeno-canto.org/871700/download,
863123,Acrocephalus schoenobaenus,Sedge Warbler,Mats Rellmar,Sweden,2013-05-18,21:30,47,A,song,field recording,yes,[],44100,https://xeno-canto.org/863123,https://xeno-canto.org/863123/download,
827751,Acrocephalus schoenobaenus,Sedge Warbler,Thierry THOMAS,France,2022-04-22,10:10,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/827751,https://xeno-canto.org/827751/download,
819502,Acrocephalus schoenobaenus,Sedge Warbler,Thomas Bergman,Sweden,2023-07-28,20:02,59,A,"call, ""tsec""",field recording,yes,"[""Anser anser"", ""Vanellus vanellus"", ""Emberiza schoeniclus"", ""Tringa glareola""]",48000,https://xeno-canto.org/819502,https://xeno-canto.org/819502/download,
818184,Acrocephalus schoenobaenus,Sedge Warbler,Alain Malengreau,Belgium,2021-05-21,10:30,39,A,song,field recording,yes,[],48000,https://xeno-canto.org/818184,https://xeno-canto.org/818184/download,
802266,Acrocephalus schoenobaenus,Sedge Warbler,Lars Edenius,Sweden,2023-05-19,07:00,21,A,song,field recording,yes,[],48000,https://xeno-canto.org/802266,https://xeno-canto.org/802266/download,
773809,Acrocephalus schoenobaenus,Sedge Warbler,Aitor Zabala,Spain,2022-10-09,09:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/773809,https://xeno-canto.org/773809/download,
736722,Acrocephalus schoenobaenus,Sedge Warbler,Dag Österlund,Sweden,2022-07-10,15:00,40,A,song,field recording,no,[],48000,https://xeno-canto.org/736722,https://xeno-canto.org/736722/download,
727602,Acrocephalus schoenobaenus,Sedge Warbler,Lars Edenius,Sweden,2022-05-29,07:00,55,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Carpodacus erythrinus"", ""Gallinago gallinago""]",48000,https://xeno-canto.org/727602,https://xeno-canto.org/727602/download,
720228,Acrocephalus schoenobaenus,Sedge Warbler,"Manuel Grosselet, Olivier Swift",France,2022-04-26,09:11,42,A,song,field recording,yes,"[""Cettia cetti"", ""Curruca communis""]",44100,https://xeno-canto.org/720228,https://xeno-canto.org/720228/download,
719641,Acrocephalus schoenobaenus,Sedge Warbler,Susanne Kuijpers,Netherlands,2022-04-26,06:44,54,A,song,field recording,yes,"[""Anser anser"", ""Vanellus vanellus""]",44100,https://xeno-canto.org/719641,https://xeno-canto.org/719641/download,
688940,Acrocephalus schoenobaenus,Sedge Warbler,Romuald Mikusek,Poland,2020-05-09,21:20,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/688940,https://xeno-canto.org/688940/download,
687316,Acrocephalus schoenobaenus,Sedge Warbler,Niels Van Doninck,Norway,2021-06-05,12:25,50,A,song,field recording,yes,"[""Turdus pilaris"", ""Phylloscopus trochilus"", ""Phylloscopus collybita"", ""Hirundo rustica"", ""Passer domesticus""]",48000,https://xeno-canto.org/687316,https://xeno-canto.org/687316/download,
687315,Acrocephalus schoenobaenus,Sedge Warbler,Niels Van Doninck,Norway,2021-06-05,12:15,43,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/687315,https://xeno-canto.org/687315/download,
658446,Acrocephalus schoenobaenus,Sedge Warbler,Lars Edenius,Sweden,2021-06-22,00:00,44,A,song,field recording,no,[],48000,https://xeno-canto.org/658446,https://xeno-canto.org/658446/download,
657270,Acrocephalus schoenobaenus,Sedge Warbler,Peter Boesman,Belgium,2021-06-16,05:30,45,A,call,field recording,unknown,[],48000,https://xeno-canto.org/657270,https://xeno-canto.org/657270/download,
655531,Acrocephalus schoenobaenus,Sedge Warbler,Susanne Kuijpers,Netherlands,2021-06-09,05:46,57,A,song,field recording,yes,"[""Chroicocephalus ridibundus""]",44100,https://xeno-canto.org/655531,https://xeno-canto.org/655531/download,
648193,Acrocephalus schoenobaenus,Sedge Warbler,Regina Eidner,Germany,2021-05-11,05:50,9,A,song,field recording,no,"[""Locustella luscinioides""]",48000,https://xeno-canto.org/648193,https://xeno-canto.org/648193/download,
