xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089396,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,22,A,call,field recording,no,[],48000,https://xeno-canto.org/1089396,https://xeno-canto.org/1089396/download,
1078573,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2026-01-31,10:00,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/1078573,https://xeno-canto.org/1078573/download,
1067264,Aegithalos caudatus,Long-tailed Tit,Laura Martin,France,2025-12-22,13:00,56,A,call,field recording,yes,[],44100,https://xeno-canto.org/1067264,https://xeno-canto.org/1067264/download,
1045039,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2025-09-30,07:30,34,A,call,field recording,no,"[""Pyrrhula pyrrhula""]",44100,https://xeno-canto.org/1045039,https://xeno-canto.org/1045039/download,
980798,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2025-03-16,07:00,18,A,call,field recording,yes,"[""Cyanistes caeruleus""]",48000,https://xeno-canto.org/980798,https://xeno-canto.org/980798/download,
973579,Aegithalos caudatus,Long-tailed Tit,Esteban Vilboux,France,2025-02-16,09:00,35,A,call,in the hand,yes,[],48000,https://xeno-canto.org/973579,https://xeno-canto.org/973579/download,
964244,Aegithalos caudatus,Long-tailed Tit,Niclas Backstrom,Sweden,2025-01-26,12:30,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/964244,https://xeno-canto.org/964244/download,
956010,Aegithalos caudatus,Long-tailed Tit,Jacobo Ramil Millarengo,Spain,2024-12-19,18:30,42,A,"call, anxious calls",field recording,yes,[],44100,https://xeno-canto.org/956010,https://xeno-canto.org/956010/download,
951577,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,5,A,"alarm call, call",field recording,yes,"[""Parus major""]",32000,https://xeno-canto.org/951577,https://xeno-canto.org/951577/download,
951576,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,24,A,"alarm call, call",field recording,yes,"[""Cyanistes caeruleus""]",32000,https://xeno-canto.org/951576,https://xeno-canto.org/951576/download,
951574,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,22,A,call,field recording,yes,"[""Phylloscopus collybita""]",32000,https://xeno-canto.org/951574,https://xeno-canto.org/951574/download,
951573,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,36,A,call,field recording,yes,[],32000,https://xeno-canto.org/951573,https://xeno-canto.org/951573/download,
951571,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,12,A,call,field recording,yes,[],32000,https://xeno-canto.org/951571,https://xeno-canto.org/951571/download,
951570,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,8,A,call,field recording,yes,[],32000,https://xeno-canto.org/951570,https://xeno-canto.org/951570/download,
951568,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,32,A,call,field recording,yes,"[""Phoenicurus ochruros"", ""Turdus merula""]",32000,https://xeno-canto.org/951568,https://xeno-canto.org/951568/download,
947331,Aegithalos caudatus,Long-tailed Tit,Ulf Elman,Sweden,2024-11-10,10:01,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/947331,https://xeno-canto.org/947331/download,
934800,Aegithalos caudatus,Long-tailed Tit,Thomas Bergman,Sweden,2024-09-21,09:00,50,A,"call, excitement call, trill",field recording,yes,"[""Cyanistes caeruleus"", ""Sitta europaea"", ""Spinus spinus"", ""Corvus cornix""]",48000,https://xeno-canto.org/934800,https://xeno-canto.org/934800/download,
909344,Aegithalos caudatus,Long-tailed Tit,Jacobo Ramil Millarengo,Spain,2024-05-31,11:00,38,A,anxious call,field recording,yes,[],44100,https://xeno-canto.org/909344,https://xeno-canto.org/909344/download,
879405,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2023-12-13,10:00,18,A,"call, flight call",field recording,no,[],48000,https://xeno-canto.org/879405,https://xeno-canto.org/879405/download,
879359,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-01-19,15:00,19,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/879359,https://xeno-canto.org/879359/download,
879358,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-01-19,15:00,13,A,"alarm call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/879358,https://xeno-canto.org/879358/download,
879357,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-01-19,15:00,19,A,"alarm call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/879357,https://xeno-canto.org/879357/download,
757104,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2022-10-20,08:00,24,A,call,field recording,no,[],44100,https://xeno-canto.org/757104,https://xeno-canto.org/757104/download,
707059,Aegithalos caudatus,Long-tailed Tit,Shamgar Brook,France,2022-03-07,09:00,47,A,call,field recording,yes,[],44100,https://xeno-canto.org/707059,https://xeno-canto.org/707059/download,
704310,Aegithalos caudatus,Long-tailed Tit,Elias A. Ryberg,Norway,2022-02-25,11:37,33,A,"call, song",field recording,yes,"[""Periparus ater""]",48000,https://xeno-canto.org/704310,https://xeno-canto.org/704310/download,
646444,Aegithalos caudatus,Long-tailed Tit,Temnothorax,France,2021-05-04,18:00,11,A,uncertain,field recording,yes,[],48000,https://xeno-canto.org/646444,https://xeno-canto.org/646444/download,
645359,Aegithalos caudatus,Long-tailed Tit,Regina Eidner,Germany,2021-05-04,08:40,25,A,"call, duet, song",field recording,yes,"[""Phoenicurus phoenicurus""]",48000,https://xeno-canto.org/645359,https://xeno-canto.org/645359/download,
