species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
alcedo_atthis,1059623,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059623.mp3,25.0,28.0,-40.527570941922406,-40.0,species,Alcedo atthis,Common Kingfisher,0.9738559126853943,0.9738559126853943,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC1059623__s25000__e28000.wav,
alcedo_atthis,1059567,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059567.mp3,1.0,4.0,-35.42304824045524,-35.42304824045524,species,Alcedo atthis,Common Kingfisher,0.5794857740402222,0.5794857740402222,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC1059567__s1000__e4000.wav,
alcedo_atthis,1059566,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059566.mp3,1.0,4.0,-86.03731854714361,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/alcedo_atthis/XC1059566__s1000__e4000.wav,
alcedo_atthis,1059565,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059565.mp3,1.0,4.0,-34.215868775118466,-35.96870890622693,species,Alcedo atthis,Common Kingfisher,0.9996576309204102,0.9996576309204102,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC1059565__s1000__e4000.wav,
alcedo_atthis,1059564,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059564.mp3,1.0,4.0,-91.7110443828472,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/alcedo_atthis/XC1059564__s1000__e4000.wav,
alcedo_atthis,1059563,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059563.mp3,1.0,4.0,-91.7110443828472,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/alcedo_atthis/XC1059563__s1000__e4000.wav,
alcedo_atthis,1059562,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059562.mp3,4.0,7.0,-28.418658315072882,-30.119915802663566,species,Alcedo atthis,Common Kingfisher,0.9984771609306335,0.9984771609306335,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC1059562__s4000__e7000.wav,
alcedo_atthis,985852,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC985852.mp3,1.0,4.0,-34.96780002999471,-34.96780002999471,drop,Troglodytes troglodytes,Eurasian Wren,0.3926869332790375,0.3926869332790375,drop,0,,,
alcedo_atthis,983064,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC983064.mp3,1.0,4.0,-30.928273567648237,-30.928273567648237,drop,Troglodytes troglodytes,Eurasian Wren,0.580019474029541,0.580019474029541,drop,0,,,
alcedo_atthis,928954,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC928954.mp3,4.0,7.0,-47.93982140814295,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/alcedo_atthis/XC928954__s4000__e7000.wav,
alcedo_atthis,822282,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC822282.mp3,1.0,4.0,-24.066794073286225,-31.062061851058605,species,Alcedo atthis,Common Kingfisher,0.9956983327865601,0.9956983327865601,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC822282__s1000__e4000.wav,
alcedo_atthis,822282,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC822282.mp3,4.0,7.0,-23.51077617208976,-31.062061851058605,species,Alcedo atthis,Common Kingfisher,0.9931967258453369,0.9931967258453369,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC822282__s4000__e7000.wav,
alcedo_atthis,822281,Alcedo atthis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC822281.mp3,1.0,4.0,-20.94102575305203,-40.0,species,Alcedo atthis,Common Kingfisher,0.9995287656784058,0.9995287656784058,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/alcedo_atthis/XC822281__s1000__e4000.wav,
