xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1059623,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2020-06-12,10:00,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059623,https://xeno-canto.org/1059623/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059623.mp3
1059567,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2009-04-26,09:30,6,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059567,https://xeno-canto.org/1059567/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059567.mp3
1059566,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2014-05-03,09:30,5,A,call,field recording,yes,[],96000,https://xeno-canto.org/1059566,https://xeno-canto.org/1059566/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059566.mp3
1059565,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059565,https://xeno-canto.org/1059565/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059565.mp3
1059564,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059564,https://xeno-canto.org/1059564/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059564.mp3
1059563,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059563,https://xeno-canto.org/1059563/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059563.mp3
1059562,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-28,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059562,https://xeno-canto.org/1059562/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059562.mp3
1059557,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2022-05-09,07:30,3,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059557,https://xeno-canto.org/1059557/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC1059557.mp3
985852,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2024-04-22,07:30,4,A,call,field recording,yes,[],48000,https://xeno-canto.org/985852,https://xeno-canto.org/985852/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC985852.mp3
983064,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2025-03-22,10:30,4,A,call,field recording,yes,[],44100,https://xeno-canto.org/983064,https://xeno-canto.org/983064/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/alcedo_atthis/XC983064.mp3
