xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1059623,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2020-06-12,10:00,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059623,https://xeno-canto.org/1059623/download,
1059567,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2009-04-26,09:30,6,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059567,https://xeno-canto.org/1059567/download,
1059566,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2014-05-03,09:30,5,A,call,field recording,yes,[],96000,https://xeno-canto.org/1059566,https://xeno-canto.org/1059566/download,
1059565,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059565,https://xeno-canto.org/1059565/download,
1059564,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059564,https://xeno-canto.org/1059564/download,
1059563,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059563,https://xeno-canto.org/1059563/download,
1059562,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-28,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059562,https://xeno-canto.org/1059562/download,
1059557,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2022-05-09,07:30,3,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059557,https://xeno-canto.org/1059557/download,
985852,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2024-04-22,07:30,4,A,call,field recording,yes,[],48000,https://xeno-canto.org/985852,https://xeno-canto.org/985852/download,
983064,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2025-03-22,10:30,4,A,call,field recording,yes,[],44100,https://xeno-canto.org/983064,https://xeno-canto.org/983064/download,
928954,Alcedo atthis,Common Kingfisher,Thomas Coldwell,United Kingdom,2024-07-26,08:50,29,A,"call, duet",field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/928954,https://xeno-canto.org/928954/download,
822282,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-08-12,05:40,10,A,call,field recording,no,"[""Columba palumbus""]",48000,https://xeno-canto.org/822282,https://xeno-canto.org/822282/download,
822281,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-08-12,05:30,18,A,call,field recording,no,"[""Columba palumbus""]",48000,https://xeno-canto.org/822281,https://xeno-canto.org/822281/download,
794984,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-04-17,07:30,41,A,call,field recording,yes,"[""Anser anser""]",48000,https://xeno-canto.org/794984,https://xeno-canto.org/794984/download,
794983,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-04-17,07:30,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/794983,https://xeno-canto.org/794983/download,
791061,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-04-05,08:00,46,A,call,field recording,yes,"[""Columba palumbus"", ""Turdus philomelos"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/791061,https://xeno-canto.org/791061/download,
787563,Alcedo atthis,Common Kingfisher,Dean McDonnell,Ireland,2023-03-04,09:00,54,A,call,field recording,no,[],44100,https://xeno-canto.org/787563,https://xeno-canto.org/787563/download,
774427,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-12-01,08:00,16,A,flight call,field recording,no,[],44100,https://xeno-canto.org/774427,https://xeno-canto.org/774427/download,
761561,Alcedo atthis,Common Kingfisher,Dean McDonnell,Ireland,2022-04-03,08:00,51,A,"call, flight call",field recording,no,"[""Gallinula chloropus""]",96000,https://xeno-canto.org/761561,https://xeno-canto.org/761561/download,
761560,Alcedo atthis,Common Kingfisher,Dean McDonnell,Ireland,2022-04-03,08:00,12,A,call,field recording,no,[],96000,https://xeno-canto.org/761560,https://xeno-canto.org/761560/download,
749399,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-21,07:00,13,A,song,field recording,no,[],44100,https://xeno-canto.org/749399,https://xeno-canto.org/749399/download,
749398,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-27,01:51,4,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/749398,https://xeno-canto.org/749398/download,
744605,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-07-07,07:00,12,A,song,field recording,no,[],44100,https://xeno-canto.org/744605,https://xeno-canto.org/744605/download,
744604,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-11,07:00,20,A,"call, agitation/agression calls",field recording,no,[],44100,https://xeno-canto.org/744604,https://xeno-canto.org/744604/download,
744603,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-11,07:00,30,A,"call, agitation/agression calls",field recording,no,[],44100,https://xeno-canto.org/744603,https://xeno-canto.org/744603/download,
744602,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-11,07:00,10,A,"call, agitation/agression calls",field recording,no,[],44100,https://xeno-canto.org/744602,https://xeno-canto.org/744602/download,
744600,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-07-21,07:00,11,A,flight call,field recording,no,[],44100,https://xeno-canto.org/744600,https://xeno-canto.org/744600/download,
744599,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-03,07:00,10,A,"call, aggression calls",field recording,no,[],44100,https://xeno-canto.org/744599,https://xeno-canto.org/744599/download,
743030,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-07,07:40,36,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus corone""]",48000,https://xeno-canto.org/743030,https://xeno-canto.org/743030/download,
743029,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-07,07:30,15,A,call,field recording,yes,"[""Columba palumbus"", ""Buteo buteo"", ""Corvus corone""]",48000,https://xeno-canto.org/743029,https://xeno-canto.org/743029/download,
743028,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-07,07:00,42,A,call,field recording,yes,"[""Buteo buteo""]",48000,https://xeno-canto.org/743028,https://xeno-canto.org/743028/download,
743024,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-07,05:00,9,A,call,field recording,yes,"[""Columba palumbus""]",48000,https://xeno-canto.org/743024,https://xeno-canto.org/743024/download,
743021,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-05,06:30,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/743021,https://xeno-canto.org/743021/download,
743019,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2022-08-12,07:00,2,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/743019,https://xeno-canto.org/743019/download,
