xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089551,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2026-03-20,17:00,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089551,https://xeno-canto.org/1089551/download,
1077124,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2016-11-11,?,13,A,call,field recording,yes,[],48000,https://xeno-canto.org/1077124,https://xeno-canto.org/1077124/download,
905203,Anthus pratensis,Meadow Pipit,Azens,United Kingdom,2024-05-20,05:47,52,A,"call, flight call",field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Turdus philomelos"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905203,https://xeno-canto.org/905203/download,
837668,Anthus pratensis,Meadow Pipit,Paul Kelly,Ireland,2023-10-16,07:00,10,A,call,field recording,no,[],44100,https://xeno-canto.org/837668,https://xeno-canto.org/837668/download,
666827,Anthus pratensis,Meadow Pipit,Irish Wildlife Sounds,Ireland,2021-05-29,13:00,33,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/666827,https://xeno-canto.org/666827/download,
595971,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,17,A,call,field recording,yes,[],44100,https://xeno-canto.org/595971,https://xeno-canto.org/595971/download,
595970,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,9,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/595970,https://xeno-canto.org/595970/download,
595969,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,2009-06-12,20:30,47,A,alarm call,field recording,yes,"[""Turdus philomelos"", ""Anthus trivialis""]",48000,https://xeno-canto.org/595969,https://xeno-canto.org/595969/download,
595967,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,2019-06-02,07:30,25,A,alarm call,field recording,yes,"[""Fringilla coelebs"", ""Motacilla alba"", ""Corvus corone""]",48000,https://xeno-canto.org/595967,https://xeno-canto.org/595967/download,
595965,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1990-05-20,08:00,54,A,song,field recording,yes,[],44100,https://xeno-canto.org/595965,https://xeno-canto.org/595965/download,
