xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1004629,Apus apus,Common Swift,Ulf Elman,Sweden,2025-06-05,21:11,43,A,song,field recording,yes,"[""Delichon urbicum""]",48000,https://xeno-canto.org/1004629,https://xeno-canto.org/1004629/download,
924139,Apus apus,Common Swift,Thomas Bergman,Sweden,2024-07-30,07:50,28,A,"call, flight call, screaming call",field recording,yes,[],48000,https://xeno-canto.org/924139,https://xeno-canto.org/924139/download,
918622,Apus apus,Common Swift,Mats Olsson,Sweden,2024-05-28,11:00,58,A,song,field recording,yes,[],44100,https://xeno-canto.org/918622,https://xeno-canto.org/918622/download,
915792,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2024-06-24,06:26,8,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/915792,https://xeno-canto.org/915792/download,
825487,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-07-19,07:00,3,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/825487,https://xeno-canto.org/825487/download,
817637,Apus apus,Common Swift,João Tomás,Portugal,2023-07-19,6:55,3,A,flight call,field recording,no,[],44100,https://xeno-canto.org/817637,https://xeno-canto.org/817637/download,
814475,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:30,3,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/814475,https://xeno-canto.org/814475/download,
814472,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:30,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/814472,https://xeno-canto.org/814472/download,
814470,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:20,2,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/814470,https://xeno-canto.org/814470/download,
813064,Apus apus,Common Swift,Ulf Elman,Sweden,2023-06-29,21:57,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/813064,https://xeno-canto.org/813064/download,
736929,Apus apus,Common Swift,SonoNatura,Spain,2022-07-03,11:00,57,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/736929,https://xeno-canto.org/736929/download,
727207,Apus apus,Common Swift,Olivier SWIFT,France,2022-05-20,21:16,15,A,song,field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/727207,https://xeno-canto.org/727207/download,
724477,Apus apus,Common Swift,Cureau Hervé,France,2022-05-15,10:30,38,A,flight call,field recording,unknown,"[""Phoenicurus ochruros"", ""Columba palumbus"", ""Delichon urbicum""]",48000,https://xeno-canto.org/724477,https://xeno-canto.org/724477/download,
657329,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2021-06-17,05:51,4,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/657329,https://xeno-canto.org/657329/download,
580591,Apus apus,Common Swift,Lars Edenius,Sweden,2020-07-31,08:00,13,A,flight call,field recording,no,[],44100,https://xeno-canto.org/580591,https://xeno-canto.org/580591/download,
577759,Apus apus,Common Swift,Annette Hamann,Germany,2020-07-20,10:30,8,A,call,field recording,yes,[],44100,https://xeno-canto.org/577759,https://xeno-canto.org/577759/download,
564619,Apus apus,Common Swift,Jake Williams,France,2020-06-02,22:00,24,A,flight call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/564619,https://xeno-canto.org/564619/download,
561502,Apus apus,Common Swift,Jarek Matusiak,Poland,2020-05-23,17:00,9,A,song,field recording,unknown,[],48000,https://xeno-canto.org/561502,https://xeno-canto.org/561502/download,
560763,Apus apus,Common Swift,Enrico Carta,Italy,2020-05-22,19:30,6,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/560763,https://xeno-canto.org/560763/download,
559392,Apus apus,Common Swift,Jarek Matusiak,Poland,2020-05-17,12:00,40,A,"call, flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/559392,https://xeno-canto.org/559392/download,
559378,Apus apus,Common Swift,Jarek Matusiak,Poland,2020-05-17,12:00,8,A,"call, flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/559378,https://xeno-canto.org/559378/download,
559377,Apus apus,Common Swift,Jarek Matusiak,Poland,2020-05-17,12:00,12,A,"call, flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/559377,https://xeno-canto.org/559377/download,
510982,Apus apus,Common Swift,Olivier SWIFT,France,2019-05-12,09:56,21,A,song,field recording,yes,"[""Streptopelia decaocto""]",44100,https://xeno-canto.org/510982,https://xeno-canto.org/510982/download,
493899,Apus apus,Common Swift,Gianluca Congi,Italy,2019-06-26,15:00,34,A,call,field recording,yes,[],44100,https://xeno-canto.org/493899,https://xeno-canto.org/493899/download,
466673,Apus apus,Common Swift,Carlos W.,Spain,2019-04-14,10:00,8,A,call,field recording,yes,[],44100,https://xeno-canto.org/466673,https://xeno-canto.org/466673/download,
466672,Apus apus,Common Swift,Carlos W.,Spain,2019-04-14,10:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/466672,https://xeno-canto.org/466672/download,
466671,Apus apus,Common Swift,Carlos W.,Spain,2019-04-14,10:00,4,A,call,field recording,yes,[],44100,https://xeno-canto.org/466671,https://xeno-canto.org/466671/download,
466670,Apus apus,Common Swift,Carlos W.,Spain,2019-04-14,10:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/466670,https://xeno-canto.org/466670/download,
466669,Apus apus,Common Swift,Carlos W.,Spain,2019-04-14,10:00,13,A,call,field recording,yes,[],44100,https://xeno-canto.org/466669,https://xeno-canto.org/466669/download,
421048,Apus apus,Common Swift,Vincent van der Spek,Netherlands,2018-06-16,09:00,24,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/421048,https://xeno-canto.org/421048/download,
418867,Apus apus,Common Swift,Carlos W.,Spain,2018-06-05,21:00,11,A,"call, duet",field recording,yes,[],44100,https://xeno-canto.org/418867,https://xeno-canto.org/418867/download,
376924,Apus apus,Common Swift,Stanislas Wroza,France,2017-06-21,07:00,11,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/376924,https://xeno-canto.org/376924/download,
376921,Apus apus,Common Swift,Stanislas Wroza,France,2017-06-21,07:00,45,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/376921,https://xeno-canto.org/376921/download,
331848,Apus apus,Common Swift,Timo Schnabel,Germany,2016-07-19,07:56,41,A,"flight call, song",field recording,yes,[],44100,https://xeno-canto.org/331848,https://xeno-canto.org/331848/download,
325489,Apus apus,Common Swift,Timo Schnabel,Germany,2016-07-03,17:29,40,A,,field recording,yes,[],44100,https://xeno-canto.org/325489,https://xeno-canto.org/325489/download,
320418,Apus apus,Common Swift,Timo Schnabel,Germany,2016-06-05,13:15,11,A,flight call,field recording,yes,"[""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/320418,https://xeno-canto.org/320418/download,
302766,Apus apus,Common Swift,Jarek Matusiak,Poland,2012-06-28,15:00,12,A,song,field recording,yes,[],48000,https://xeno-canto.org/302766,https://xeno-canto.org/302766/download,
165690,Apus apus,Common Swift,Elias A. Ryberg,Norway,2013-06-01,21:30,45,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/165690,https://xeno-canto.org/165690/download,
139552,Apus apus,Common Swift,Volker Arnold,Germany,2013-06-17,13:43,15,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/139552,https://xeno-canto.org/139552/download,
105084,Apus apus,Common Swift,Jarek Matusiak,Poland,2012-06-28,20:20,38,A,?,field recording,unknown,[],44100,https://xeno-canto.org/105084,https://xeno-canto.org/105084/download,
1059021,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,7,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059021,https://xeno-canto.org/1059021/download,
1059019,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,39,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059019,https://xeno-canto.org/1059019/download,
1059018,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,13,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059018,https://xeno-canto.org/1059018/download,
1059017,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,40,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059017,https://xeno-canto.org/1059017/download,
1059016,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,17,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059016,https://xeno-canto.org/1059016/download,
1059015,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2021-07-21,11:00,43,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059015,https://xeno-canto.org/1059015/download,
1059013,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2020-05-06,09:00,41,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059013,https://xeno-canto.org/1059013/download,
1059012,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2013-05-04,09:00,30,B,song,field recording,yes,[],96000,https://xeno-canto.org/1059012,https://xeno-canto.org/1059012/download,
1059011,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2018-06-14,20:00,7,B,song,field recording,yes,[],48000,https://xeno-canto.org/1059011,https://xeno-canto.org/1059011/download,
1059009,Apus apus,Common Swift,David Darrell-Lambert,United Kingdom,2014-07-13,07:00,12,B,song,field recording,yes,[],44100,https://xeno-canto.org/1059009,https://xeno-canto.org/1059009/download,
1054217,Apus apus,Common Swift,Stein Ø. Nilsen,Spain,2023-04-14,09:00,52,B,"alarm call, flight call",field recording,yes,"[""Acrocephalus arundinaceus"", ""Gallinula chloropus""]",48000,https://xeno-canto.org/1054217,https://xeno-canto.org/1054217/download,
1031110,Apus apus,Common Swift,Branislav Oblučar,Switzerland,2025-07-18,20:00,18,B,"call, flight call, wingbeat",field recording,yes,[],44100,https://xeno-canto.org/1031110,https://xeno-canto.org/1031110/download,
1031108,Apus apus,Common Swift,Branislav Oblučar,Switzerland,2025-07-15,20:00,29,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1031108,https://xeno-canto.org/1031108/download,
1031107,Apus apus,Common Swift,Branislav Oblučar,Switzerland,2025-07-14,20:00,17,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1031107,https://xeno-canto.org/1031107/download,
1031105,Apus apus,Common Swift,Branislav Oblučar,Switzerland,2025-07-14,20:00,14,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1031105,https://xeno-canto.org/1031105/download,
1025404,Apus apus,Common Swift,Oscar Gordo,Spain,2025-07-13,21:30,15,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/1025404,https://xeno-canto.org/1025404/download,
1023977,Apus apus,Common Swift,Will Scott,United Kingdom,2025-07-28,23:30,5,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1023977,https://xeno-canto.org/1023977/download,
1015621,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2025-07-11,22:11,18,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1015621,https://xeno-canto.org/1015621/download,
1011425,Apus apus,Common Swift,Jacobo Ramil Millarengo,Spain,2025-07-03,12:30,25,B,"begging call, flight call",field recording,yes,[],48000,https://xeno-canto.org/1011425,https://xeno-canto.org/1011425/download,
1011246,Apus apus,Common Swift,Johannes Worona,Germany,2025-07-02,08:41,10,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/1011246,https://xeno-canto.org/1011246/download,
1010329,Apus apus,Common Swift,Cureau Hervé,France,2025-06-25,14:00,19,B,flight call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Chloris chloris"", ""Passer domesticus""]",48000,https://xeno-canto.org/1010329,https://xeno-canto.org/1010329/download,
1009106,Apus apus,Common Swift,Francesco Sottile,Italy,2025-06-23,10:37,17,B,flight call,field recording,yes,"[""Passer italiae""]",44100,https://xeno-canto.org/1009106,https://xeno-canto.org/1009106/download,
1009105,Apus apus,Common Swift,Francesco Sottile,Italy,2025-06-23,10:16,6,B,flight call,field recording,yes,"[""Carduelis carduelis"", ""Passer italiae""]",44100,https://xeno-canto.org/1009105,https://xeno-canto.org/1009105/download,
1009104,Apus apus,Common Swift,Francesco Sottile,Italy,2025-06-23,10:15,9,B,flight call,field recording,yes,"[""Passer italiae""]",44100,https://xeno-canto.org/1009104,https://xeno-canto.org/1009104/download,
1009103,Apus apus,Common Swift,Francesco Sottile,Italy,2025-06-23,10:10,7,B,flight call,field recording,yes,"[""Passer italiae""]",44100,https://xeno-canto.org/1009103,https://xeno-canto.org/1009103/download,
1007754,Apus apus,Common Swift,Philippe_Grange,France,2025-06-17,01:30,2,B,"flight call, nocturnal flight call",field recording,no,[],32000,https://xeno-canto.org/1007754,https://xeno-canto.org/1007754/download,
1007742,Apus apus,Common Swift,Philippe_Grange,France,2025-06-16,01:00,7,B,"flight call, nocturnal flight call",field recording,no,[],32000,https://xeno-canto.org/1007742,https://xeno-canto.org/1007742/download,
1007363,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2025-06-16,22:26,8,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1007363,https://xeno-canto.org/1007363/download,
1007029,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2025-06-15,22:05,7,B,"call, flight call",field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/1007029,https://xeno-canto.org/1007029/download,
1006238,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2025-06-12,21:55,4,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1006238,https://xeno-canto.org/1006238/download,
1005955,Apus apus,Common Swift,Michael Hurben,Spain,2025-05-30,11:00,8,B,,field recording,yes,[],44100,https://xeno-canto.org/1005955,https://xeno-canto.org/1005955/download,
1003037,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2025-05-30,21:56,9,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1003037,https://xeno-canto.org/1003037/download,
1001737,Apus apus,Common Swift,Luca Baghino,Italy,2025-05-26,20:30,37,B,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/1001737,https://xeno-canto.org/1001737/download,
994426,Apus apus,Common Swift,Francesco Sottile,Italy,2025-05-03,08:00,7,B,song,field recording,yes,[],44100,https://xeno-canto.org/994426,https://xeno-canto.org/994426/download,
994407,Apus apus,Common Swift,Bregt Desmet,Belgium,2025-05-02,20:09,9,B,"flight call, song",field recording,no,[],48000,https://xeno-canto.org/994407,https://xeno-canto.org/994407/download,
993237,Apus apus,Common Swift,Jorge Leitão,Portugal,2025-04-29,10:24,5,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/993237,https://xeno-canto.org/993237/download,
993236,Apus apus,Common Swift,Jorge Leitão,Portugal,2025-04-29,10:23,5,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/993236,https://xeno-canto.org/993236/download,
992617,Apus apus,Common Swift,Frederik Fluyt,Belgium,2025-04-28,02:49,11,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/992617,https://xeno-canto.org/992617/download,
990559,Apus apus,Common Swift,Francesco Sottile,Italy,2025-04-20,09:24,35,B,flight call,field recording,yes,"[""Streptopelia decaocto"", ""Phoenicurus phoenicurus""]",44100,https://xeno-canto.org/990559,https://xeno-canto.org/990559/download,
