species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,1.0,4.0,-27.4011080886261,-40.0,species,Apus apus,Common Swift,0.9655395746231079,0.9655395746231079,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/apus_apus/XC1004629__s1000__e4000.wav,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,7.0,10.0,-29.445110224889408,-40.0,species,Apus apus,Common Swift,0.9986262321472168,0.9986262321472168,species,0,,,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,19.0,22.0,-28.874309869228508,-40.0,species,Apus apus,Common Swift,0.4350450336933136,0.4350450336933136,species,0,,,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,28.0,31.0,-27.626541016590387,-40.0,species,Apus apus,Common Swift,0.6949418783187866,0.6949418783187866,species,0,,,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,31.0,34.0,-34.399491659135876,-40.0,species,Apus apus,Common Swift,0.9944487810134888,0.9944487810134888,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/apus_apus/XC1004629__s31000__e34000.wav,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,34.0,37.0,-30.276705111403782,-40.0,species,Apus apus,Common Swift,0.9068851470947266,0.9068851470947266,species,0,,,
apus_apus,1004629,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3,37.0,40.0,-35.41134435380344,-40.0,species,Apus apus,Common Swift,0.9476310014724731,0.9476310014724731,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/apus_apus/XC1004629__s37000__e40000.wav,
apus_apus,924139,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC924139.mp3,4.0,7.0,-34.89860394144569,-37.078010789666365,species,Apus apus,Common Swift,0.9980985522270203,0.9980985522270203,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/apus_apus/XC924139__s4000__e7000.wav,
apus_apus,924139,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC924139.mp3,7.0,10.0,-33.38431757895648,-37.078010789666365,species,Apus apus,Common Swift,0.9958043694496155,0.9958043694496155,species,0,,,
apus_apus,924139,Apus apus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC924139.mp3,10.0,13.0,-33.48667358022724,-37.078010789666365,species,Apus apus,Common Swift,0.9821428656578064,0.9821428656578064,species,0,,,
