xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1004629,Apus apus,Common Swift,Ulf Elman,Sweden,2025-06-05,21:11,43,A,song,field recording,yes,"[""Delichon urbicum""]",48000,https://xeno-canto.org/1004629,https://xeno-canto.org/1004629/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC1004629.mp3
924139,Apus apus,Common Swift,Thomas Bergman,Sweden,2024-07-30,07:50,28,A,"call, flight call, screaming call",field recording,yes,[],48000,https://xeno-canto.org/924139,https://xeno-canto.org/924139/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC924139.mp3
918622,Apus apus,Common Swift,Mats Olsson,Sweden,2024-05-28,11:00,58,A,song,field recording,yes,[],44100,https://xeno-canto.org/918622,https://xeno-canto.org/918622/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC918622.mp3
915792,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2024-06-24,06:26,8,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/915792,https://xeno-canto.org/915792/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC915792.mp3
825487,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-07-19,07:00,3,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/825487,https://xeno-canto.org/825487/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC825487.mp3
817637,Apus apus,Common Swift,João Tomás,Portugal,2023-07-19,6:55,3,A,flight call,field recording,no,[],44100,https://xeno-canto.org/817637,https://xeno-canto.org/817637/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC817637.mp3
814475,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:30,3,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/814475,https://xeno-canto.org/814475/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC814475.mp3
814472,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:30,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/814472,https://xeno-canto.org/814472/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC814472.mp3
814470,Apus apus,Common Swift,Romuald Mikusek,Poland,2023-06-26,13:20,2,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/814470,https://xeno-canto.org/814470/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC814470.mp3
813064,Apus apus,Common Swift,Ulf Elman,Sweden,2023-06-29,21:57,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/813064,https://xeno-canto.org/813064/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC813064.mp3
736929,Apus apus,Common Swift,SonoNatura,Spain,2022-07-03,11:00,57,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/736929,https://xeno-canto.org/736929/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC736929.mp3
727207,Apus apus,Common Swift,Olivier SWIFT,France,2022-05-20,21:16,15,A,song,field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/727207,https://xeno-canto.org/727207/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC727207.mp3
724477,Apus apus,Common Swift,Cureau Hervé,France,2022-05-15,10:30,38,A,flight call,field recording,unknown,"[""Phoenicurus ochruros"", ""Columba palumbus"", ""Delichon urbicum""]",48000,https://xeno-canto.org/724477,https://xeno-canto.org/724477/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC724477.mp3
657329,Apus apus,Common Swift,Susanne Kuijpers,Netherlands,2021-06-17,05:51,4,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/657329,https://xeno-canto.org/657329/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC657329.mp3
580591,Apus apus,Common Swift,Lars Edenius,Sweden,2020-07-31,08:00,13,A,flight call,field recording,no,[],44100,https://xeno-canto.org/580591,https://xeno-canto.org/580591/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/apus_apus/XC580591.mp3
