xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
955960,Buteo buteo,Common Buzzard,Mark Plummer,United Kingdom,2024-12-14,08:21,48,A,call,field recording,no,"[""Corvus corone"", ""Parus major"", ""Pica pica"", ""Carduelis carduelis""]",48000,https://xeno-canto.org/955960,https://xeno-canto.org/955960/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC955960.mp3
591195,Buteo buteo,Common Buzzard,Simon Elliott,United Kingdom,2013-07-21,08:00,15,A,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/591195,https://xeno-canto.org/591195/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC591195.mp3
591122,Buteo buteo,Common Buzzard,Simon Elliott,United Kingdom,2000-06-25,08:00,32,A,"call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/591122,https://xeno-canto.org/591122/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC591122.mp3
591120,Buteo buteo,Common Buzzard,Simon Elliott,United Kingdom,2000-06-19,06:00,15,A,"begging call, call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/591120,https://xeno-canto.org/591120/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC591120.mp3
510736,Buteo buteo,Common Buzzard,Ciarán Walsh,Ireland,2019-07-16,15:00,35,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/510736,https://xeno-canto.org/510736/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC510736.mp3
1082476,Buteo buteo,Common Buzzard,Tiziano Beretti,Switzerland,2026-02-11,17:15,58,A,call,field recording,no,"[""Turdus merula"", ""Erithacus rubecula"", ""Anas platyrhynchos""]",24000,https://xeno-canto.org/1082476,https://xeno-canto.org/1082476/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC1082476.mp3
1052241,Buteo buteo,Common Buzzard,Jack Berteau,France,2025-06-19,10:30,47,A,call,field recording,yes,[],48000,https://xeno-canto.org/1052241,https://xeno-canto.org/1052241/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC1052241.mp3
1019332,Buteo buteo,Common Buzzard,Beatrix Saadi-Varchmin,Germany,2024-06-27,06:23,33,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1019332,https://xeno-canto.org/1019332/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC1019332.mp3
929866,Buteo buteo,Common Buzzard,Bram Piot,Belgium,2024-08-18,09:15,44,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/929866,https://xeno-canto.org/929866/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC929866.mp3
871602,Buteo buteo,Common Buzzard,Alain Malengreau,Belgium,2023-09-30,15:00,7,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/871602,https://xeno-canto.org/871602/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/buteo_buteo/XC871602.mp3
