species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,1.0,4.0,-27.683266875282424,-40.0,species,Carduelis carduelis,European Goldfinch,0.9904318451881409,0.9904318451881409,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/carduelis_carduelis/XC1063754__s1000__e4000.wav,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,10.0,13.0,-33.13187695808091,-40.0,species,Carduelis carduelis,European Goldfinch,0.9975839853286743,0.9975839853286743,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/carduelis_carduelis/XC1063754__s10000__e13000.wav,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,19.0,22.0,-32.22930312237983,-40.0,species,Carduelis carduelis,European Goldfinch,0.9900722503662109,0.9900722503662109,species,0,,,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,25.0,28.0,-30.863483278240093,-40.0,species,Carduelis carduelis,European Goldfinch,0.993333637714386,0.993333637714386,species,0,,,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,31.0,34.0,-31.545360025905484,-40.0,species,Carduelis carduelis,European Goldfinch,0.9978812336921692,0.9978812336921692,species,0,,,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,34.0,37.0,-33.841849889111856,-40.0,species,Carduelis carduelis,European Goldfinch,0.9852875471115112,0.9852875471115112,species,0,,,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,37.0,40.0,-25.458134329222432,-40.0,species,Carduelis carduelis,European Goldfinch,0.9260326027870178,0.9260326027870178,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/carduelis_carduelis/XC1063754__s37000__e40000.wav,
carduelis_carduelis,1063754,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1063754.mp3,43.0,46.0,-30.742731324277926,-40.0,species,Carduelis carduelis,European Goldfinch,0.9898521304130554,0.9898521304130554,species,0,,,
carduelis_carduelis,1052341,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1052341.mp3,1.0,4.0,-28.058397579823968,-33.04062494375463,species,Carduelis carduelis,European Goldfinch,0.99992835521698,0.99992835521698,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/carduelis_carduelis/XC1052341__s1000__e4000.wav,
carduelis_carduelis,1052341,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1052341.mp3,4.0,7.0,-27.680411621226476,-33.04062494375463,species,Carduelis carduelis,European Goldfinch,0.9996860027313232,0.9996860027313232,species,0,,,
carduelis_carduelis,1052341,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1052341.mp3,7.0,10.0,-29.665962561037162,-33.04062494375463,species,Carduelis carduelis,European Goldfinch,0.9929278492927551,0.9929278492927551,species,0,,,
carduelis_carduelis,1052341,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1052341.mp3,10.0,13.0,-26.488143180133225,-33.04062494375463,species,Carduelis carduelis,European Goldfinch,0.9988481998443604,0.9988481998443604,species,0,,,
carduelis_carduelis,1052341,Carduelis carduelis,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/carduelis_carduelis/XC1052341.mp3,13.0,16.0,-26.736005800308334,-33.04062494375463,species,Carduelis carduelis,European Goldfinch,0.9963321089744568,0.9963321089744568,species,0,,,
