xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1063754,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-04-26,17:31,47,A,"song, industrial noise, human voices, dog barking",field recording,no,"[""Turdus philomelos"", ""Acrocephalus scirpaceus"", ""Turdus merula"", ""Coloeus monedula"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/1063754,https://xeno-canto.org/1063754/download,
1052341,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-03-03,15:23,51,A,"song, Traffic Noise, light aircraft, industrial noise",field recording,no,[],48000,https://xeno-canto.org/1052341,https://xeno-canto.org/1052341/download,
878546,Carduelis carduelis,European Goldfinch,Stuart Barker,United Kingdom,2023-05-17,06:34,12,A,song,field recording,no,[],48000,https://xeno-canto.org/878546,https://xeno-canto.org/878546/download,
647553,Carduelis carduelis,European Goldfinch,Simon Elliott,United Kingdom,2021-05-12,11:00,46,A,song,field recording,yes,[],48000,https://xeno-canto.org/647553,https://xeno-canto.org/647553/download,
366113,Carduelis carduelis,European Goldfinch,Ashley Fisher,United Kingdom,2017-04-23,18:50,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/366113,https://xeno-canto.org/366113/download,
145542,Carduelis carduelis,European Goldfinch,Patrik Åberg,United Kingdom,2013-07-09,06:41,42,A,call,field recording,yes,[],44100,https://xeno-canto.org/145542,https://xeno-canto.org/145542/download,
1088890,Carduelis carduelis,European Goldfinch,Filippo Ceccolini,Italy,2026-03-17,15:35,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088890,https://xeno-canto.org/1088890/download,
1085742,Carduelis carduelis,European Goldfinch,Olli Väisänen,Finland,2026-03-07,10:00,51,A,call,field recording,yes,[],48000,https://xeno-canto.org/1085742,https://xeno-canto.org/1085742/download,
1029391,Carduelis carduelis,European Goldfinch,João Tomás,Spain,2025-08-16,8:08,21,A,call,field recording,yes,"[""Emberiza calandra"", ""Sturnus unicolor"", ""Passer domesticus""]",44100,https://xeno-canto.org/1029391,https://xeno-canto.org/1029391/download,
1007386,Carduelis carduelis,European Goldfinch,Francesco Sottile,Italy,2025-06-17,08:45,49,A,song,field recording,no,"[""Streptopelia decaocto"", ""Passer italiae""]",44100,https://xeno-canto.org/1007386,https://xeno-canto.org/1007386/download,
