xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089171,Chloris chloris,European Greenfinch,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,43,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089171,https://xeno-canto.org/1089171/download,
1089170,Chloris chloris,European Greenfinch,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,22,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089170,https://xeno-canto.org/1089170/download,
1005318,Chloris chloris,European Greenfinch,Manuel Grosselet,France,2025-06-09,08:57,18,A,song,field recording,yes,"[""Apus apus""]",44100,https://xeno-canto.org/1005318,https://xeno-canto.org/1005318/download,
1005317,Chloris chloris,European Greenfinch,Manuel Grosselet,France,2025-06-09,08:54,24,A,song,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/1005317,https://xeno-canto.org/1005317/download,
1000084,Chloris chloris,European Greenfinch,Dag Österlund,Sweden,2025-05-19,10:30,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/1000084,https://xeno-canto.org/1000084/download,
984389,Chloris chloris,European Greenfinch,Jordi Calvet,Spain,2025-03-22,09:30,47,A,call,field recording,yes,[],48000,https://xeno-canto.org/984389,https://xeno-canto.org/984389/download,
979188,Chloris chloris,European Greenfinch,FREDERIC Lionel,France,2025-03-08,10:00,10,A,alarm call,in the hand,yes,[],44100,https://xeno-canto.org/979188,https://xeno-canto.org/979188/download,
943154,Chloris chloris,European Greenfinch,Ulf Elman,Sweden,2024-10-26,15:52,15,A,"call, song",field recording,yes,"[""Turdus pilaris"", ""Dryocopus martius""]",48000,https://xeno-canto.org/943154,https://xeno-canto.org/943154/download,
938477,Chloris chloris,European Greenfinch,David Nayer,Austria,2024-09-22,09:00,5,A,alarm call,in the hand,yes,[],44100,https://xeno-canto.org/938477,https://xeno-canto.org/938477/download,
937275,Chloris chloris,European Greenfinch,Lars Edenius,Sweden,2024-10-03,08:00,39,A,song,field recording,yes,[],48000,https://xeno-canto.org/937275,https://xeno-canto.org/937275/download,
898912,Chloris chloris,European Greenfinch,Nicolas Martinez,France,2024-04-27,07:22,33,A,"call, song",field recording,yes,"[""Cyanistes caeruleus"", ""Phoenicurus phoenicurus""]",48000,https://xeno-canto.org/898912,https://xeno-canto.org/898912/download,
796134,Chloris chloris,European Greenfinch,Joost van Bruggen,Netherlands,2023-03-01,07:16,12,A,flight call,field recording,no,[],48000,https://xeno-canto.org/796134,https://xeno-canto.org/796134/download,
791040,Chloris chloris,European Greenfinch,Lars Edenius,Sweden,2023-04-05,11:00,32,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/791040,https://xeno-canto.org/791040/download,
788216,Chloris chloris,European Greenfinch,Lars Edenius,Sweden,2023-03-26,07:00,27,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/788216,https://xeno-canto.org/788216/download,
786984,Chloris chloris,European Greenfinch,Lars Edenius,Sweden,2023-03-20,14:00,17,A,call,field recording,yes,"[""Parus major""]",48000,https://xeno-canto.org/786984,https://xeno-canto.org/786984/download,
