species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,1.0,4.0,-27.071440984622473,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.9316383600234985,0.9316383600234985,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089171__s1000__e4000.wav,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,4.0,7.0,-24.886954577357606,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.9891420602798462,0.9891420602798462,species,0,,,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,7.0,10.0,-24.600521217303953,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.9903109073638916,0.9903109073638916,species,0,,,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,13.0,16.0,-27.791599006898302,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.9945421814918518,0.9945421814918518,species,0,,,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,16.0,19.0,-21.484822335798732,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.9162956476211548,0.9162956476211548,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089171__s16000__e19000.wav,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,19.0,22.0,-26.936888417287324,-27.88123255184652,drop,Linaria cannabina,Eurasian Linnet,0.13123087584972382,0.13123087584972382,drop,0,,,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,22.0,25.0,-24.615816325927003,-27.88123255184652,drop,Chloris chloris,European Greenfinch,0.1999201774597168,0.1999201774597168,drop,0,,,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,28.0,31.0,-24.7879115754197,-27.88123255184652,species,Chloris chloris,European Greenfinch,0.4983740448951721,0.4983740448951721,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089171__s28000__e31000.wav,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,31.0,34.0,-27.43762399820181,-27.88123255184652,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/chloris_chloris/XC1089171__s31000__e34000.wav,
chloris_chloris,1089171,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089171.mp3,34.0,37.0,-27.62722541259268,-27.88123255184652,drop,Luscinia svecica,Bluethroat,0.16196681559085846,0.16196681559085846,drop,0,,,
chloris_chloris,1089170,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089170.mp3,1.0,4.0,-28.093389911407844,-28.203474789268615,drop,Chloris chloris,European Greenfinch,0.1550692915916443,0.1550692915916443,drop,0,,,
chloris_chloris,1089170,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089170.mp3,10.0,13.0,-23.46137213481154,-28.203474789268615,species,Chloris chloris,European Greenfinch,0.9994397759437561,0.9994397759437561,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089170__s10000__e13000.wav,
chloris_chloris,1089170,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089170.mp3,13.0,16.0,-19.53378190177073,-28.203474789268615,species,Chloris chloris,European Greenfinch,0.998945415019989,0.998945415019989,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089170__s13000__e16000.wav,
chloris_chloris,1089170,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089170.mp3,16.0,19.0,-22.08475206801279,-28.203474789268615,species,Chloris chloris,European Greenfinch,0.9990056157112122,0.9990056157112122,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/chloris_chloris/XC1089170__s16000__e19000.wav,
chloris_chloris,1089170,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC1089170.mp3,19.0,22.0,-22.021414277078293,-28.203474789268615,species,Chloris chloris,European Greenfinch,0.9984889030456543,0.9984889030456543,species,0,,,
chloris_chloris,601912,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC601912.mp3,1.0,4.0,-30.126659928939894,-30.19418730049884,drop,Progne subis,Purple Martin,0.19096755981445312,0.19096755981445312,drop,0,,,
chloris_chloris,601912,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC601912.mp3,4.0,7.0,-26.65512871271025,-30.19418730049884,drop,Linaria flavirostris,Twite,0.19970765709877014,0.19970765709877014,drop,0,,,
chloris_chloris,601912,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC601912.mp3,16.0,19.0,-29.961324569960492,-30.19418730049884,drop,Progne subis,Purple Martin,0.6098145842552185,0.6098145842552185,drop,0,,,
chloris_chloris,601912,Chloris chloris,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/chloris_chloris/XC601912.mp3,19.0,22.0,-27.118643201615377,-30.19418730049884,drop,Progne subis,Purple Martin,0.5815820693969727,0.5815820693969727,drop,0,,,
