xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089168,Coloeus monedula,Western Jackdaw,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,15,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1089168,https://xeno-canto.org/1089168/download,
1085600,Coloeus monedula,Western Jackdaw,Petter Westberg,Sweden,2026-02-18,16:30,24,A,call,field recording,yes,[],96000,https://xeno-canto.org/1085600,https://xeno-canto.org/1085600/download,
1082397,Coloeus monedula,Western Jackdaw,David Darrell-Lambert,United Kingdom,2026-02-21,14:00,12,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1082397,https://xeno-canto.org/1082397/download,
1075128,Coloeus monedula,Western Jackdaw,Thierry THOMAS,France,2026-01-26,08:42,21,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/1075128,https://xeno-canto.org/1075128/download,
1052519,Coloeus monedula,Western Jackdaw,Francesco Sottile,Italy,2025-09-10,14:38,23,A,call,field recording,yes,[],44100,https://xeno-canto.org/1052519,https://xeno-canto.org/1052519/download,
1045811,Coloeus monedula,Western Jackdaw,Mark Plummer,United Kingdom,2025-09-24,09:19,21,A,call,field recording,no,[],32000,https://xeno-canto.org/1045811,https://xeno-canto.org/1045811/download,
1024252,Coloeus monedula,Western Jackdaw,Ulf Elman,Sweden,2025-07-30,05:44,22,A,call,field recording,yes,"[""Corvus frugilegus""]",48000,https://xeno-canto.org/1024252,https://xeno-canto.org/1024252/download,
1004412,Coloeus monedula,Western Jackdaw,Esperanza Poveda,Sweden,2025-03-31,?,7,A,call,in the hand,yes,[],44100,https://xeno-canto.org/1004412,https://xeno-canto.org/1004412/download,
904573,Coloeus monedula,Western Jackdaw,Martin Billard,France,2024-05-08,08:23,3,A,call,field recording,no,[],44100,https://xeno-canto.org/904573,https://xeno-canto.org/904573/download,
904571,Coloeus monedula,Western Jackdaw,Martin Billard,France,2024-05-08,07:56,21,A,call,field recording,no,[],44100,https://xeno-canto.org/904571,https://xeno-canto.org/904571/download,
904570,Coloeus monedula,Western Jackdaw,Martin Billard,France,2024-05-08,07:25,8,A,call,field recording,no,[],44100,https://xeno-canto.org/904570,https://xeno-canto.org/904570/download,
904569,Coloeus monedula,Western Jackdaw,Martin Billard,France,2024-05-08,07:00,15,A,call,field recording,no,[],44100,https://xeno-canto.org/904569,https://xeno-canto.org/904569/download,
