xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089168,Coloeus monedula,Western Jackdaw,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,15,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1089168,https://xeno-canto.org/1089168/download,
1082397,Coloeus monedula,Western Jackdaw,David Darrell-Lambert,United Kingdom,2026-02-21,14:00,12,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1082397,https://xeno-canto.org/1082397/download,
1045811,Coloeus monedula,Western Jackdaw,Mark Plummer,United Kingdom,2025-09-24,09:19,21,A,call,field recording,no,[],32000,https://xeno-canto.org/1045811,https://xeno-canto.org/1045811/download,
894178,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2024-03-21,07:00,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/894178,https://xeno-canto.org/894178/download,
894176,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2024-03-30,07:30,24,A,call,field recording,yes,[],48000,https://xeno-canto.org/894176,https://xeno-canto.org/894176/download,
894175,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2024-03-30,06:00,31,A,call,field recording,yes,[],48000,https://xeno-canto.org/894175,https://xeno-canto.org/894175/download,
894174,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2024-03-30,07:10,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/894174,https://xeno-canto.org/894174/download,
894171,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2024-04-04,07:00,52,A,call,field recording,yes,[],48000,https://xeno-canto.org/894171,https://xeno-canto.org/894171/download,
787565,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2023-03-18,07:30,50,A,call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/787565,https://xeno-canto.org/787565/download,
787564,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2023-03-18,07:00,44,A,call,field recording,yes,[],44100,https://xeno-canto.org/787564,https://xeno-canto.org/787564/download,
707524,Coloeus monedula,Western Jackdaw,Will Scott,United Kingdom,2022-03-09,06:00,3,A,flight call,field recording,no,[],44100,https://xeno-canto.org/707524,https://xeno-canto.org/707524/download,
642686,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2021-04-26,06:00,20,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/642686,https://xeno-canto.org/642686/download,
642588,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2021-04-25,06:30,11,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/642588,https://xeno-canto.org/642588/download,
640737,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2021-04-20,08:30,50,A,"call, aggression",field recording,yes,[],48000,https://xeno-canto.org/640737,https://xeno-canto.org/640737/download,
640716,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2021-04-19,05:50,18,A,call,field recording,yes,[],48000,https://xeno-canto.org/640716,https://xeno-canto.org/640716/download,
640715,Coloeus monedula,Western Jackdaw,Simon Elliott,United Kingdom,2021-04-19,12:00,30,A,"call, combat",field recording,yes,[],48000,https://xeno-canto.org/640715,https://xeno-canto.org/640715/download,
