xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
726245,Columba livia,Rock Dove,Olivier SWIFT,France,2022-05-20,16:22,27,A,song,field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/726245,https://xeno-canto.org/726245/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC726245.mp3
541143,Columba livia,Rock Dove,Marie-Lan Taÿ Pamart,France,2020-04-03,10:30,28,A,call,field recording,no,[],44100,https://xeno-canto.org/541143,https://xeno-canto.org/541143/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC541143.mp3
462611,Columba livia,Rock Dove,Stanislas Wroza,Poland,2019-03-20,09:00,38,A,"call, flight call, song",field recording,yes,[],44100,https://xeno-canto.org/462611,https://xeno-canto.org/462611/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC462611.mp3
342145,Columba livia,Rock Dove,Patrik Åberg,Sweden,2013-04-14,05:52,13,A,song,field recording,yes,[],44100,https://xeno-canto.org/342145,https://xeno-canto.org/342145/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC342145.mp3
270097,Columba livia,Rock Dove,Timo Schnabel,France,2015-04-08,13:39,12,A,song,field recording,yes,[],44100,https://xeno-canto.org/270097,https://xeno-canto.org/270097/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC270097.mp3
121680,Columba livia,Rock Dove,Jarek Matusiak,Poland,2013-02-16,14:00,45,A,"aberrant, song",field recording,yes,[],48000,https://xeno-canto.org/121680,https://xeno-canto.org/121680/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC121680.mp3
121677,Columba livia,Rock Dove,Jarek Matusiak,Poland,2013-02-16,14:00,4,A,"alarm call, alarm clapping with wings",field recording,yes,[],48000,https://xeno-canto.org/121677,https://xeno-canto.org/121677/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC121677.mp3
116226,Columba livia,Rock Dove,Jarek Matusiak,Poland,2013-01-01,13:00,5,A,song,field recording,yes,[],44100,https://xeno-canto.org/116226,https://xeno-canto.org/116226/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC116226.mp3
1029263,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-06-08,09:02,21,B,song,field recording,yes,[],44100,https://xeno-canto.org/1029263,https://xeno-canto.org/1029263/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1029263.mp3
1029262,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-05-18,08:09,38,B,song,field recording,yes,[],44100,https://xeno-canto.org/1029262,https://xeno-canto.org/1029262/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1029262.mp3
1029258,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-06-11,05:11,39,B,call,field recording,yes,[],44100,https://xeno-canto.org/1029258,https://xeno-canto.org/1029258/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1029258.mp3
1029257,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-05-18,07:46,43,B,call,field recording,yes,[],44100,https://xeno-canto.org/1029257,https://xeno-canto.org/1029257/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1029257.mp3
927921,Columba livia,Rock Dove,Arjun Dutta,United Kingdom,2021-05-20,11:00,7,B,call,field recording,no,[],44100,https://xeno-canto.org/927921,https://xeno-canto.org/927921/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC927921.mp3
862853,Columba livia,Rock Dove,Andrew Harrop,United Kingdom,2024-01-20,11:00,2,B,wingbeats,field recording,yes,[],44100,https://xeno-canto.org/862853,https://xeno-canto.org/862853/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC862853.mp3
755295,Columba livia,Rock Dove,Paul Kelly,Ireland,2022-10-09,09:30,6,B,call,field recording,yes,[],44100,https://xeno-canto.org/755295,https://xeno-canto.org/755295/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC755295.mp3
706903,Columba livia,Rock Dove,Irish Wildlife Sounds,Ireland,2021-12-26,09:00,22,B,song,field recording,yes,[],44100,https://xeno-canto.org/706903,https://xeno-canto.org/706903/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC706903.mp3
602019,Columba livia,Rock Dove,Michał Jezierski,United Kingdom,2020-08-22,18:21,21,B,"begging call, call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/602019,https://xeno-canto.org/602019/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC602019.mp3
602013,Columba livia,Rock Dove,Michał Jezierski,United Kingdom,2020-08-22,18:19,2,B,wing beats,field recording,yes,[],48000,https://xeno-canto.org/602013,https://xeno-canto.org/602013/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC602013.mp3
602012,Columba livia,Rock Dove,Michał Jezierski,United Kingdom,2020-08-22,18:18,5,B,call,field recording,yes,[],48000,https://xeno-canto.org/602012,https://xeno-canto.org/602012/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC602012.mp3
572540,Columba livia,Rock Dove,Mr Mark Shorten,Ireland,2020-06-30,11:00,40,B,song,field recording,yes,[],44100,https://xeno-canto.org/572540,https://xeno-canto.org/572540/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC572540.mp3
569664,Columba livia,Rock Dove,Andrew Harrop,United Kingdom,2020-06-18,07:00,6,B,call,field recording,yes,[],44100,https://xeno-canto.org/569664,https://xeno-canto.org/569664/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC569664.mp3
500494,Columba livia,Rock Dove,Chris Batty,United Kingdom,2017-11-02,07:43,8,B,song,field recording,no,[],22050,https://xeno-canto.org/500494,https://xeno-canto.org/500494/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC500494.mp3
364890,Columba livia,Rock Dove,GABRIEL LEITE,United Kingdom,2017-04-17,07:30,13,B,"call, song",field recording,yes,[],48000,https://xeno-canto.org/364890,https://xeno-canto.org/364890/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC364890.mp3
42690,Columba livia,Rock Dove,Stuart Fisher,United Kingdom,2010-01-12,12:15,30,B,"call, male display calls",field recording,unknown,[],44100,https://xeno-canto.org/42690,https://xeno-canto.org/42690/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC42690.mp3
1069602,Columba livia,Rock Dove,Denis Dujardin,France,2025-12-29,09:30,8,B,uncertain,field recording,yes,[],48000,https://xeno-canto.org/1069602,https://xeno-canto.org/1069602/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1069602.mp3
1027967,Columba livia,Rock Dove,Giovanni Boano,Italy,2025-08-10,08:30,10,B,begging call,field recording,no,[],44100,https://xeno-canto.org/1027967,https://xeno-canto.org/1027967/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_livia/XC1027967.mp3
