species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
columba_palumbus,1086522,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086522.mp3,1.0,4.0,-29.64792223089454,-29.64792223089454,drop,Chroicocephalus ridibundus,Black-headed Gull,0.7530077695846558,0.7530077695846558,drop,0,,,
columba_palumbus,1086521,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086521.mp3,1.0,4.0,-22.926105343064137,-23.43091101898102,drop,Chroicocephalus ridibundus,Black-headed Gull,0.7386487722396851,0.7386487722396851,drop,0,,,
columba_palumbus,1086520,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086520.mp3,1.0,4.0,-31.575381603364242,-31.575381603364242,drop,Chroicocephalus ridibundus,Black-headed Gull,0.22426852583885193,0.22426852583885193,drop,0,,,
columba_palumbus,1086258,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086258.mp3,1.0,4.0,-24.538242919561032,-25.546062280624895,species,Columba palumbus,Common Wood-Pigeon,0.3280571699142456,0.3280571699142456,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/columba_palumbus/XC1086258__s1000__e4000.wav,
columba_palumbus,1086257,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086257.mp3,1.0,4.0,-22.085199628889715,-22.58487573358826,species,Columba palumbus,Common Wood-Pigeon,0.5003348588943481,0.5003348588943481,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/columba_palumbus/XC1086257__s1000__e4000.wav,
columba_palumbus,1086256,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1086256.mp3,1.0,4.0,-15.669769549418813,-17.184753765371077,species,Columba palumbus,Common Wood-Pigeon,0.9608854651451111,0.9608854651451111,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/columba_palumbus/XC1086256__s1000__e4000.wav,
columba_palumbus,1084347,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1084347.mp3,1.0,4.0,-41.9915925383527,-40.0,drop,Phaethon aethereus,Red-billed Tropicbird,0.12097564339637756,0.12097564339637756,drop,0,,,
columba_palumbus,1083534,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1083534.mp3,4.0,7.0,-42.53717511718911,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/columba_palumbus/XC1083534__s4000__e7000.wav,
columba_palumbus,1038282,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1038282.mp3,1.0,4.0,-44.374935043357354,-40.0,drop,Ardenna tenuirostris,Short-tailed Shearwater,0.13649383187294006,0.13649383187294006,drop,0,,,
columba_palumbus,1038281,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1038281.mp3,1.0,4.0,-43.54217926710461,-40.0,drop,Columba palumbus,Common Wood-Pigeon,0.17971359193325043,0.17971359193325043,drop,0,,,
columba_palumbus,1038279,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1038279.mp3,1.0,4.0,-29.944374890755938,-29.944374890755938,species,Columba palumbus,Common Wood-Pigeon,0.952964723110199,0.952964723110199,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/columba_palumbus/XC1038279__s1000__e4000.wav,
columba_palumbus,1038277,Columba palumbus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/columba_palumbus/XC1038277.mp3,4.0,7.0,-26.399033773042042,-28.059261611883045,species,Columba palumbus,Common Wood-Pigeon,0.895011305809021,0.895011305809021,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/columba_palumbus/XC1038277__s4000__e7000.wav,
