xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1086522,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,4,A,wing beats,field recording,yes,[],48000,https://xeno-canto.org/1086522,https://xeno-canto.org/1086522/download,
1086521,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,9,A,wingclapping,field recording,yes,[],48000,https://xeno-canto.org/1086521,https://xeno-canto.org/1086521/download,
1086520,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,4,A,wingclapping,field recording,yes,[],48000,https://xeno-canto.org/1086520,https://xeno-canto.org/1086520/download,
1086258,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,15:00,9,A,"song, displaying",field recording,yes,[],48000,https://xeno-canto.org/1086258,https://xeno-canto.org/1086258/download,
1086257,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,15:00,8,A,"song, displaying",field recording,yes,[],48000,https://xeno-canto.org/1086257,https://xeno-canto.org/1086257/download,
1086256,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-07,15:00,8,A,"song, displaying",field recording,yes,[],48000,https://xeno-canto.org/1086256,https://xeno-canto.org/1086256/download,
1084347,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-03-02,17:00,5,A,wingbeats,field recording,no,[],48000,https://xeno-canto.org/1084347,https://xeno-canto.org/1084347/download,
1083534,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2026-02-25,16:00,9,A,wing beats,field recording,yes,[],48000,https://xeno-canto.org/1083534,https://xeno-canto.org/1083534/download,
1038282,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,4,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038282,https://xeno-canto.org/1038282/download,
1038281,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-05-09,20:30,7,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038281,https://xeno-canto.org/1038281/download,
1038280,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-16,08:00,3,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038280,https://xeno-canto.org/1038280/download,
1038279,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038279,https://xeno-canto.org/1038279/download,
1038277,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-12,08:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038277,https://xeno-canto.org/1038277/download,
1038276,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-11,11:00,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038276,https://xeno-canto.org/1038276/download,
1038275,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-26,04:30,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038275,https://xeno-canto.org/1038275/download,
1038274,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-14,09:00,12,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038274,https://xeno-canto.org/1038274/download,
1038273,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038273,https://xeno-canto.org/1038273/download,
1038272,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038272,https://xeno-canto.org/1038272/download,
1038271,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-05-11,06:00,47,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038271,https://xeno-canto.org/1038271/download,
1038270,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-04-22,08:30,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038270,https://xeno-canto.org/1038270/download,
1038269,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-09-02,16:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038269,https://xeno-canto.org/1038269/download,
1038267,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-06-09,05:00,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038267,https://xeno-canto.org/1038267/download,
1038266,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-05-23,07:00,7,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038266,https://xeno-canto.org/1038266/download,
1038265,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2016-05-25,05:30,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038265,https://xeno-canto.org/1038265/download,
