xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1084372,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-01,09:00,24,A,call,field recording,no,[],44100,https://xeno-canto.org/1084372,https://xeno-canto.org/1084372/download,
1084371,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-01,16:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1084371,https://xeno-canto.org/1084371/download,
1084370,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-02,07:00,42,A,call,field recording,no,[],44100,https://xeno-canto.org/1084370,https://xeno-canto.org/1084370/download,
1084369,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-02,07:00,11,A,call,field recording,no,[],44100,https://xeno-canto.org/1084369,https://xeno-canto.org/1084369/download,
1082755,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-20,09:00,30,A,"call, wing beats",field recording,no,[],44100,https://xeno-canto.org/1082755,https://xeno-canto.org/1082755/download,
1082749,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-20,09:00,30,A,"call, wing beats",field recording,no,[],44100,https://xeno-canto.org/1082749,https://xeno-canto.org/1082749/download,
1082176,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-19,15:30,47,A,call,field recording,yes,[],48000,https://xeno-canto.org/1082176,https://xeno-canto.org/1082176/download,
1078519,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-05,09:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1078519,https://xeno-canto.org/1078519/download,
1076854,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-02,08:30,20,A,"flight call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/1076854,https://xeno-canto.org/1076854/download,
1070806,Corvus corax,Northern Raven,Stanislas Wroza,France,2026-01-02,09:00,29,A,flight call,field recording,unknown,[],48000,https://xeno-canto.org/1070806,https://xeno-canto.org/1070806/download,
1070401,Corvus corax,Northern Raven,Lars Edenius,Sweden,2025-12-31,11:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1070401,https://xeno-canto.org/1070401/download,
1059376,Corvus corax,Northern Raven,Francesco Sottile,Italy,2025-11-23,15:53,19,A,call,field recording,no,"[""Fringilla coelebs"", ""Curruca melanocephala"", ""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/1059376,https://xeno-canto.org/1059376/download,
1054305,Corvus corax,Northern Raven,Dag Österlund,Sweden,2025-11-10,05:16,12,A,call,field recording,no,[],48000,https://xeno-canto.org/1054305,https://xeno-canto.org/1054305/download,
1053960,Corvus corax,Northern Raven,Lars Edenius,Sweden,2025-11-09,16:00,37,A,call,field recording,no,[],44100,https://xeno-canto.org/1053960,https://xeno-canto.org/1053960/download,
1045041,Corvus corax,Northern Raven,Bram Piot,Spain,2025-09-30,08:30,21,A,call,field recording,yes,[],44100,https://xeno-canto.org/1045041,https://xeno-canto.org/1045041/download,
1027629,Corvus corax,Northern Raven,brickegickel,Denmark,2025-08-07,06:00,57,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1027629,https://xeno-canto.org/1027629/download,
1019144,Corvus corax,Northern Raven,Eliska Kovarova,Austria,2022-03-03,11:05,12,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/1019144,https://xeno-canto.org/1019144/download,
1011504,Corvus corax,Northern Raven,Tomasz Kułakowski,Poland,2025-07-04,03:00,20,A,call,field recording,no,"[""Lanius collurio""]",48000,https://xeno-canto.org/1011504,https://xeno-canto.org/1011504/download,
1007182,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,44,A,call,field recording,no,[],48000,https://xeno-canto.org/1007182,https://xeno-canto.org/1007182/download,
1007181,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,48,A,call,field recording,no,[],48000,https://xeno-canto.org/1007181,https://xeno-canto.org/1007181/download,
1007178,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,14,A,call,field recording,no,[],48000,https://xeno-canto.org/1007178,https://xeno-canto.org/1007178/download,
1007177,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,43,A,call,field recording,no,[],48000,https://xeno-canto.org/1007177,https://xeno-canto.org/1007177/download,
998537,Corvus corax,Northern Raven,Ulf Elman,Sweden,2025-05-10,09:03,57,A,call,field recording,yes,[],48000,https://xeno-canto.org/998537,https://xeno-canto.org/998537/download,
989774,Corvus corax,Northern Raven,Jarek Matusiak,Poland,2025-04-08,08:00,46,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/989774,https://xeno-canto.org/989774/download,
983424,Corvus corax,Northern Raven,Stanislas Wroza,France,2025-03-25,07:30,6,A,"alarm call, interaction calls",field recording,unknown,[],48000,https://xeno-canto.org/983424,https://xeno-canto.org/983424/download,
978806,Corvus corax,Northern Raven,Kelle Moreau,Belgium,2021-05-14,07:47,20,A,call,field recording,yes,"[""Sylvia atricapilla"", ""Certhia brachydactyla"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/978806,https://xeno-canto.org/978806/download,
965041,Corvus corax,Northern Raven,Romuald Mikusek,Poland,2025-01-23,07:30,15,A,call,field recording,no,[],24000,https://xeno-canto.org/965041,https://xeno-canto.org/965041/download,
965039,Corvus corax,Northern Raven,Romuald Mikusek,Poland,2025-01-23,07:30,46,A,call,field recording,no,[],24000,https://xeno-canto.org/965039,https://xeno-canto.org/965039/download,
