species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
corvus_corax,955965,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC955965.mp3,4.0,7.0,-25.10914810166814,-26.016819260011868,drop,Corvus corone,Carrion Crow,0.39258459210395813,0.39258459210395813,drop,0,,,
corvus_corax,955965,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC955965.mp3,7.0,10.0,-22.608273348910682,-26.016819260011868,species,Corvus corax,Common Raven,0.9314598441123962,0.9314598441123962,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC955965__s7000__e10000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,1.0,4.0,-16.79914498406489,-20.141565885619656,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/corvus_corax/XC864746__s1000__e4000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,4.0,7.0,-17.759499239360636,-20.141565885619656,species,Corvus corax,Common Raven,0.6466881036758423,0.6466881036758423,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC864746__s4000__e7000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,10.0,13.0,-20.058874016709346,-20.141565885619656,species,Corvus corax,Common Raven,0.7604468464851379,0.7604468464851379,species,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,13.0,16.0,-16.585269043207504,-20.141565885619656,drop,Poecile montanus,Willow Tit,0.14513616263866425,0.14513616263866425,drop,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,16.0,19.0,-16.328325504740732,-20.141565885619656,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/corvus_corax/XC864746__s16000__e19000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,19.0,22.0,-16.842053782613103,-20.141565885619656,species,Corvus corax,Common Raven,0.5099678039550781,0.5099678039550781,species,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,22.0,25.0,-19.7813466521266,-20.141565885619656,species,Corvus corax,Common Raven,0.9836999773979187,0.9836999773979187,species,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,25.0,28.0,-19.002920549505603,-20.141565885619656,species,Corvus corax,Common Raven,0.9514204263687134,0.9514204263687134,species,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,28.0,31.0,-16.632392980374412,-20.141565885619656,non_bird,,,0.0,0.0,non_bird,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,31.0,34.0,-18.91639889754378,-20.141565885619656,species,Corvus corax,Common Raven,0.8820867538452148,0.8820867538452148,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC864746__s31000__e34000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,46.0,49.0,-17.242060882097633,-20.141565885619656,species,Corvus corax,Common Raven,0.9786398410797119,0.9786398410797119,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC864746__s46000__e49000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC864746.mp3,49.0,52.0,-17.083707757967876,-20.141565885619656,non_bird,,,0.0,0.0,non_bird,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,1.0,4.0,-21.297584978974268,-21.6723185305147,species,Corvus corax,Common Raven,0.6970216035842896,0.6970216035842896,species,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,10.0,13.0,-21.57803740981865,-21.6723185305147,species,Corvus corax,Common Raven,0.7872336506843567,0.7872336506843567,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC812066__s10000__e13000.wav,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,13.0,16.0,-20.72611403006894,-21.6723185305147,species,Corvus corax,Common Raven,0.5449460744857788,0.5449460744857788,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC812066__s13000__e16000.wav,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,16.0,19.0,-20.008409752831348,-21.6723185305147,species,Corvus corax,Common Raven,0.3652903437614441,0.3652903437614441,species,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,19.0,22.0,-12.361329661544179,-21.6723185305147,species,Corvus corax,Common Raven,0.7958254218101501,0.7958254218101501,species,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,22.0,25.0,-10.325214194807785,-21.6723185305147,species,Corvus corax,Common Raven,0.8399818539619446,0.8399818539619446,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC812066__s22000__e25000.wav,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,25.0,28.0,-12.181652764591579,-21.6723185305147,species,Corvus corax,Common Raven,0.9221442341804504,0.9221442341804504,species,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,28.0,31.0,-17.661504981137753,-21.6723185305147,drop,Corvus albicollis,White-necked Raven,0.8396275639533997,0.8396275639533997,drop,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,31.0,34.0,-17.804105542272524,-21.6723185305147,drop,Corvus albicollis,White-necked Raven,0.7772082686424255,0.7772082686424255,drop,0,,,
corvus_corax,812066,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC812066.mp3,34.0,37.0,-20.714598522825764,-21.6723185305147,drop,Corvus albicollis,White-necked Raven,0.7517357468605042,0.7517357468605042,drop,0,,,
corvus_corax,794703,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC794703.mp3,4.0,7.0,-34.9093096695689,-40.0,species,Corvus corax,Common Raven,0.8112735748291016,0.8112735748291016,species,0,,,
corvus_corax,794703,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC794703.mp3,7.0,10.0,-34.437602849127444,-40.0,species,Corvus corax,Common Raven,0.6746623516082764,0.6746623516082764,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC794703__s7000__e10000.wav,
corvus_corax,794703,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC794703.mp3,10.0,13.0,-36.04783847066443,-40.0,species,Corvus corax,Common Raven,0.9349556565284729,0.9349556565284729,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC794703__s10000__e13000.wav,
corvus_corax,794703,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC794703.mp3,31.0,34.0,-37.900672774668585,-40.0,species,Corvus corax,Common Raven,0.8071470260620117,0.8071470260620117,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC794703__s31000__e34000.wav,
corvus_corax,794703,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC794703.mp3,34.0,37.0,-38.51764731262022,-40.0,drop,Carduelis carduelis,European Goldfinch,0.8039161562919617,0.8039161562919617,drop,0,,,
corvus_corax,763188,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763188.mp3,1.0,4.0,-25.246586140607885,-28.407397350920572,species,Corvus corax,Common Raven,0.9623384475708008,0.9623384475708008,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763188__s1000__e4000.wav,
corvus_corax,763188,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763188.mp3,4.0,7.0,-28.119018730505914,-28.407397350920572,species,Corvus corax,Common Raven,0.8794980049133301,0.8794980049133301,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763188__s4000__e7000.wav,
corvus_corax,763188,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763188.mp3,7.0,10.0,-25.099873838886268,-28.407397350920572,species,Corvus corax,Common Raven,0.9247064590454102,0.9247064590454102,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763188__s7000__e10000.wav,
corvus_corax,763187,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763187.mp3,4.0,7.0,-34.08122834969249,-37.334133637211316,species,Corvus corax,Common Raven,0.999411940574646,0.999411940574646,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763187__s4000__e7000.wav,
corvus_corax,763187,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763187.mp3,7.0,10.0,-29.117407705997692,-37.334133637211316,species,Corvus corax,Common Raven,0.997636079788208,0.997636079788208,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763187__s7000__e10000.wav,
corvus_corax,763187,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763187.mp3,10.0,13.0,-36.65721704664149,-37.334133637211316,species,Corvus corax,Common Raven,0.9760808944702148,0.9760808944702148,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763187__s10000__e13000.wav,
corvus_corax,763186,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763186.mp3,4.0,7.0,-29.402313669875614,-33.280789167468264,species,Corvus corax,Common Raven,0.9994699358940125,0.9994699358940125,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC763186__s4000__e7000.wav,
corvus_corax,763185,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763185.mp3,1.0,4.0,-29.37414592290157,-40.0,drop,Alopochen aegyptiaca,Egyptian Goose,0.8806037902832031,0.8806037902832031,drop,0,,,
corvus_corax,763185,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC763185.mp3,13.0,16.0,-32.854845373680334,-40.0,drop,Alopochen aegyptiaca,Egyptian Goose,0.21991443634033203,0.21991443634033203,drop,0,,,
corvus_corax,735515,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_corax/XC735515.mp3,4.0,7.0,-22.67101190903051,-40.0,species,Corvus corax,Common Raven,0.8657397031784058,0.8657397031784058,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/corvus_corax/XC735515__s4000__e7000.wav,
