xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
955965,Corvus corax,Northern Raven,Mark Plummer,United Kingdom,2024-12-14,14:10,10,A,"call, flight call",field recording,no,"[""Corvus corone""]",48000,https://xeno-canto.org/955965,https://xeno-canto.org/955965/download,
864746,Corvus corax,Northern Raven,Shaun Micklewright,United Kingdom,2024-01-12,14:00,52,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/864746,https://xeno-canto.org/864746/download,
812066,Corvus corax,Northern Raven,Paul Driver,United Kingdom,2022-06-15,06:22,45,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/812066,https://xeno-canto.org/812066/download,
794703,Corvus corax,Northern Raven,Paul Donald,United Kingdom,2023-04-21,08:00,42,A,call,field recording,no,[],44100,https://xeno-canto.org/794703,https://xeno-canto.org/794703/download,
763188,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,1986-05-16,07:30,17,A,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/763188,https://xeno-canto.org/763188/download,
763187,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,2006-04-23,09:30,15,A,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/763187,https://xeno-canto.org/763187/download,
763186,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,2006-04-23,09:00,9,A,"alarm call, flight call",field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/763186,https://xeno-canto.org/763186/download,
763185,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,2005-05-30,07:30,17,A,call,field recording,yes,"[""Fringilla coelebs"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/763185,https://xeno-canto.org/763185/download,
735515,Corvus corax,Northern Raven,Irish Wildlife Sounds,Ireland,2022-03-31,07:30,44,A,flight call,field recording,no,[],44100,https://xeno-canto.org/735515,https://xeno-canto.org/735515/download,
720398,Corvus corax,Northern Raven,Andrew Harrop,United Kingdom,2022-04-29,07:00,31,A,call,field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/720398,https://xeno-canto.org/720398/download,
346231,Corvus corax,Northern Raven,Harry Hussey,Ireland,2016-12-14,?,24,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/346231,https://xeno-canto.org/346231/download,
62900,Corvus corax,Northern Raven,Dougie Preston,United Kingdom,2010-10-06,?,50,A,call,field recording,unknown,[],44100,https://xeno-canto.org/62900,https://xeno-canto.org/62900/download,
1084372,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-01,09:00,24,A,call,field recording,no,[],44100,https://xeno-canto.org/1084372,https://xeno-canto.org/1084372/download,
1084371,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-01,16:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1084371,https://xeno-canto.org/1084371/download,
1084370,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-02,07:00,42,A,call,field recording,no,[],44100,https://xeno-canto.org/1084370,https://xeno-canto.org/1084370/download,
1084369,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-03-02,07:00,11,A,call,field recording,no,[],44100,https://xeno-canto.org/1084369,https://xeno-canto.org/1084369/download,
1082755,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-20,09:00,30,A,"call, wing beats",field recording,no,[],44100,https://xeno-canto.org/1082755,https://xeno-canto.org/1082755/download,
1082749,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-20,09:00,30,A,"call, wing beats",field recording,no,[],44100,https://xeno-canto.org/1082749,https://xeno-canto.org/1082749/download,
1082176,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-19,15:30,47,A,call,field recording,yes,[],48000,https://xeno-canto.org/1082176,https://xeno-canto.org/1082176/download,
1078519,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-05,09:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1078519,https://xeno-canto.org/1078519/download,
1076854,Corvus corax,Northern Raven,Lars Edenius,Sweden,2026-02-02,08:30,20,A,"flight call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/1076854,https://xeno-canto.org/1076854/download,
1070806,Corvus corax,Northern Raven,Stanislas Wroza,France,2026-01-02,09:00,29,A,flight call,field recording,unknown,[],48000,https://xeno-canto.org/1070806,https://xeno-canto.org/1070806/download,
1070401,Corvus corax,Northern Raven,Lars Edenius,Sweden,2025-12-31,11:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1070401,https://xeno-canto.org/1070401/download,
1059376,Corvus corax,Northern Raven,Francesco Sottile,Italy,2025-11-23,15:53,19,A,call,field recording,no,"[""Fringilla coelebs"", ""Curruca melanocephala"", ""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/1059376,https://xeno-canto.org/1059376/download,
1054305,Corvus corax,Northern Raven,Dag Österlund,Sweden,2025-11-10,05:16,12,A,call,field recording,no,[],48000,https://xeno-canto.org/1054305,https://xeno-canto.org/1054305/download,
1053960,Corvus corax,Northern Raven,Lars Edenius,Sweden,2025-11-09,16:00,37,A,call,field recording,no,[],44100,https://xeno-canto.org/1053960,https://xeno-canto.org/1053960/download,
1045041,Corvus corax,Northern Raven,Bram Piot,Spain,2025-09-30,08:30,21,A,call,field recording,yes,[],44100,https://xeno-canto.org/1045041,https://xeno-canto.org/1045041/download,
1027629,Corvus corax,Northern Raven,brickegickel,Denmark,2025-08-07,06:00,57,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1027629,https://xeno-canto.org/1027629/download,
1019144,Corvus corax,Northern Raven,Eliska Kovarova,Austria,2022-03-03,11:05,12,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/1019144,https://xeno-canto.org/1019144/download,
1011504,Corvus corax,Northern Raven,Tomasz Kułakowski,Poland,2025-07-04,03:00,20,A,call,field recording,no,"[""Lanius collurio""]",48000,https://xeno-canto.org/1011504,https://xeno-canto.org/1011504/download,
1007182,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,44,A,call,field recording,no,[],48000,https://xeno-canto.org/1007182,https://xeno-canto.org/1007182/download,
1007181,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,48,A,call,field recording,no,[],48000,https://xeno-canto.org/1007181,https://xeno-canto.org/1007181/download,
1007178,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,14,A,call,field recording,no,[],48000,https://xeno-canto.org/1007178,https://xeno-canto.org/1007178/download,
1007177,Corvus corax,Northern Raven,Esperanza Poveda,Sweden,2025-04-01,?,43,A,call,field recording,no,[],48000,https://xeno-canto.org/1007177,https://xeno-canto.org/1007177/download,
998537,Corvus corax,Northern Raven,Ulf Elman,Sweden,2025-05-10,09:03,57,A,call,field recording,yes,[],48000,https://xeno-canto.org/998537,https://xeno-canto.org/998537/download,
989774,Corvus corax,Northern Raven,Jarek Matusiak,Poland,2025-04-08,08:00,46,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/989774,https://xeno-canto.org/989774/download,
