xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1085781,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-06,09:38,14,A,call,field recording,no,[],44100,https://xeno-canto.org/1085781,https://xeno-canto.org/1085781/download,
1085207,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-05,09:02,14,A,call,field recording,yes,[],44100,https://xeno-canto.org/1085207,https://xeno-canto.org/1085207/download,
1085197,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-05,08:55,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/1085197,https://xeno-canto.org/1085197/download,
1084838,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-19,09:29,12,A,call,field recording,no,[],44100,https://xeno-canto.org/1084838,https://xeno-canto.org/1084838/download,
1084828,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-18,09:13,6,A,call,field recording,no,[],44100,https://xeno-canto.org/1084828,https://xeno-canto.org/1084828/download,
1084804,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,09:26,16,A,"call, duet, flight call",field recording,no,[],44100,https://xeno-canto.org/1084804,https://xeno-canto.org/1084804/download,
1084800,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,08:40,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084800,https://xeno-canto.org/1084800/download,
1084798,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,08:35,14,A,call,field recording,no,[],44100,https://xeno-canto.org/1084798,https://xeno-canto.org/1084798/download,
1084764,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:59,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084764,https://xeno-canto.org/1084764/download,
1084763,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:59,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084763,https://xeno-canto.org/1084763/download,
1084762,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:56,16,A,call,field recording,no,[],44100,https://xeno-canto.org/1084762,https://xeno-canto.org/1084762/download,
1084570,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-13,07:37,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/1084570,https://xeno-canto.org/1084570/download,
1084538,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,09:51,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1084538,https://xeno-canto.org/1084538/download,
1084529,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,09:28,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1084529,https://xeno-canto.org/1084529/download,
1084525,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,08:53,24,A,call,field recording,no,[],44100,https://xeno-canto.org/1084525,https://xeno-canto.org/1084525/download,
1084517,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,08:42,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1084517,https://xeno-canto.org/1084517/download,
1080420,Corvus cornix,Hooded Crow,Marc Anderson,Sweden,2022-06-02,20:30,10,A,call,field recording,no,[],44100,https://xeno-canto.org/1080420,https://xeno-canto.org/1080420/download,
1078259,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-06,09:10,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1078259,https://xeno-canto.org/1078259/download,
1078238,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,09:09,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078238,https://xeno-canto.org/1078238/download,
1078236,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,09:06,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078236,https://xeno-canto.org/1078236/download,
1078233,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,08:56,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078233,https://xeno-canto.org/1078233/download,
1077574,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-03,08:53,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1077574,https://xeno-canto.org/1077574/download,
1077567,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-03,08:32,7,A,call,field recording,no,[],44100,https://xeno-canto.org/1077567,https://xeno-canto.org/1077567/download,
