xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
717835,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-03-25,07:00,9,A,flight call,field recording,no,[],44100,https://xeno-canto.org/717835,https://xeno-canto.org/717835/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC717835.mp3
717706,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-04-01,17:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/717706,https://xeno-canto.org/717706/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC717706.mp3
706760,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-01-29,08:00,11,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/706760,https://xeno-canto.org/706760/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC706760.mp3
686758,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-09-02,02:00,12,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686758,https://xeno-canto.org/686758/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC686758.mp3
628789,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-01-31,11:18,4,A,call,field recording,no,[],44100,https://xeno-canto.org/628789,https://xeno-canto.org/628789/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC628789.mp3
1085781,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-06,09:38,14,A,call,field recording,no,[],44100,https://xeno-canto.org/1085781,https://xeno-canto.org/1085781/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1085781.mp3
1085207,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-05,09:02,14,A,call,field recording,yes,[],44100,https://xeno-canto.org/1085207,https://xeno-canto.org/1085207/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1085207.mp3
1085197,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-03-05,08:55,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/1085197,https://xeno-canto.org/1085197/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1085197.mp3
1084838,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-19,09:29,12,A,call,field recording,no,[],44100,https://xeno-canto.org/1084838,https://xeno-canto.org/1084838/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084838.mp3
1084828,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-18,09:13,6,A,call,field recording,no,[],44100,https://xeno-canto.org/1084828,https://xeno-canto.org/1084828/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084828.mp3
1084804,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,09:26,16,A,"call, duet, flight call",field recording,no,[],44100,https://xeno-canto.org/1084804,https://xeno-canto.org/1084804/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084804.mp3
1084800,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,08:40,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084800,https://xeno-canto.org/1084800/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084800.mp3
1084798,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-16,08:35,14,A,call,field recording,no,[],44100,https://xeno-canto.org/1084798,https://xeno-canto.org/1084798/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084798.mp3
1084764,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:59,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084764,https://xeno-canto.org/1084764/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084764.mp3
1084763,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:59,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1084763,https://xeno-canto.org/1084763/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084763.mp3
1084762,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-10,08:56,16,A,call,field recording,no,[],44100,https://xeno-canto.org/1084762,https://xeno-canto.org/1084762/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084762.mp3
1084570,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-13,07:37,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/1084570,https://xeno-canto.org/1084570/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084570.mp3
1084538,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,09:51,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1084538,https://xeno-canto.org/1084538/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084538.mp3
1084529,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,09:28,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1084529,https://xeno-canto.org/1084529/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084529.mp3
1084525,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,08:53,24,A,call,field recording,no,[],44100,https://xeno-canto.org/1084525,https://xeno-canto.org/1084525/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084525.mp3
1084517,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-09,08:42,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1084517,https://xeno-canto.org/1084517/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1084517.mp3
1080420,Corvus cornix,Hooded Crow,Marc Anderson,Sweden,2022-06-02,20:30,10,A,call,field recording,no,[],44100,https://xeno-canto.org/1080420,https://xeno-canto.org/1080420/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1080420.mp3
1078259,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-06,09:10,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1078259,https://xeno-canto.org/1078259/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1078259.mp3
1078238,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,09:09,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078238,https://xeno-canto.org/1078238/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1078238.mp3
1078236,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,09:06,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078236,https://xeno-canto.org/1078236/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1078236.mp3
1078233,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-05,08:56,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1078233,https://xeno-canto.org/1078233/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1078233.mp3
1077574,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-03,08:53,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1077574,https://xeno-canto.org/1077574/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1077574.mp3
1077567,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-03,08:32,7,A,call,field recording,no,[],44100,https://xeno-canto.org/1077567,https://xeno-canto.org/1077567/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1077567.mp3
1077566,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-03,08:31,9,A,call,field recording,no,[],44100,https://xeno-canto.org/1077566,https://xeno-canto.org/1077566/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1077566.mp3
1077561,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-02,09:02,6,A,call,field recording,no,[],44100,https://xeno-canto.org/1077561,https://xeno-canto.org/1077561/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1077561.mp3
1077559,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-02-02,08:37,3,A,call,field recording,no,[],44100,https://xeno-canto.org/1077559,https://xeno-canto.org/1077559/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1077559.mp3
1076373,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-01-27,09:02,47,A,call,field recording,no,[],44100,https://xeno-canto.org/1076373,https://xeno-canto.org/1076373/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1076373.mp3
1076361,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-01-26,10:11,2,A,"call, Rattle call",field recording,no,[],44100,https://xeno-canto.org/1076361,https://xeno-canto.org/1076361/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1076361.mp3
1076360,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-01-26,10:10,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1076360,https://xeno-canto.org/1076360/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1076360.mp3
1074702,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-01-22,09:16,6,A,call,field recording,no,[],44100,https://xeno-canto.org/1074702,https://xeno-canto.org/1074702/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1074702.mp3
1074683,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2026-01-21,08:41,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1074683,https://xeno-canto.org/1074683/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1074683.mp3
1051028,Corvus cornix,Hooded Crow,Ulf Elman,Sweden,2025-10-03,07:04,31,A,call,field recording,yes,[],48000,https://xeno-canto.org/1051028,https://xeno-canto.org/1051028/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1051028.mp3
1050904,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2025-10-28,09:00,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/1050904,https://xeno-canto.org/1050904/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC1050904.mp3
986922,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2025-04-07,06:00,3,A,call,field recording,no,[],44100,https://xeno-canto.org/986922,https://xeno-canto.org/986922/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC986922.mp3
986905,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2025-04-07,08:00,57,A,alarm call,field recording,no,"[""Asio otus"", ""Poecile montanus""]",44100,https://xeno-canto.org/986905,https://xeno-canto.org/986905/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC986905.mp3
947380,Corvus cornix,Hooded Crow,Markus Jacobs,Germany,2024-11-07,16:50,5,A,call,field recording,yes,[],44100,https://xeno-canto.org/947380,https://xeno-canto.org/947380/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC947380.mp3
946792,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2024-11-04,15:00,20,A,"call, wing beats",field recording,no,[],44100,https://xeno-canto.org/946792,https://xeno-canto.org/946792/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC946792.mp3
918658,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2024-07-02,06:00,44,A,call,field recording,no,[],44100,https://xeno-canto.org/918658,https://xeno-canto.org/918658/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC918658.mp3
912708,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2024-06-12,20:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/912708,https://xeno-canto.org/912708/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC912708.mp3
900498,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2024-05-02,08:00,19,A,alarm call,field recording,no,"[""Larus argentatus""]",44100,https://xeno-canto.org/900498,https://xeno-canto.org/900498/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC900498.mp3
880902,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2024-03-10,09:00,15,A,call,field recording,no,[],44100,https://xeno-canto.org/880902,https://xeno-canto.org/880902/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC880902.mp3
879386,Corvus cornix,Hooded Crow,Jarek Matusiak,Poland,2024-01-17,9:00,17,A,song,field recording,yes,[],48000,https://xeno-canto.org/879386,https://xeno-canto.org/879386/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC879386.mp3
879385,Corvus cornix,Hooded Crow,Jarek Matusiak,Poland,2024-01-17,9:00,41,A,song,field recording,yes,[],48000,https://xeno-canto.org/879385,https://xeno-canto.org/879385/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC879385.mp3
879384,Corvus cornix,Hooded Crow,Jarek Matusiak,Poland,2024-01-17,9:00,51,A,song,field recording,yes,"[""Coloeus monedula"", ""Spinus spinus"", ""Passer montanus""]",48000,https://xeno-canto.org/879384,https://xeno-canto.org/879384/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC879384.mp3
879380,Corvus cornix,Hooded Crow,Jarek Matusiak,Poland,2024-01-17,9:00,35,A,song,field recording,yes,[],48000,https://xeno-canto.org/879380,https://xeno-canto.org/879380/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC879380.mp3
799607,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2023-05-03,17:00,15,A,call,field recording,no,[],44100,https://xeno-canto.org/799607,https://xeno-canto.org/799607/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC799607.mp3
798263,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2023-05-01,08:00,42,A,call,field recording,no,[],44100,https://xeno-canto.org/798263,https://xeno-canto.org/798263/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC798263.mp3
797033,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2023-04-28,07:00,41,A,call,field recording,no,[],44100,https://xeno-canto.org/797033,https://xeno-canto.org/797033/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC797033.mp3
787089,Corvus cornix,Hooded Crow,Thomas Bergman,Sweden,2023-03-19,07:20,16,A,"call, advertising call",field recording,yes,"[""Regulus regulus"", ""Fringilla coelebs"", ""Clangula hyemalis"", ""Chloris chloris""]",48000,https://xeno-canto.org/787089,https://xeno-canto.org/787089/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC787089.mp3
776494,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2023-01-20,10:00,40,A,call,field recording,no,[],44100,https://xeno-canto.org/776494,https://xeno-canto.org/776494/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC776494.mp3
735652,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2022-06-27,07:00,19,A,call,field recording,no,[],44100,https://xeno-canto.org/735652,https://xeno-canto.org/735652/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC735652.mp3
733126,Corvus cornix,Hooded Crow,Lars Edenius,Sweden,2022-06-21,06:30,20,A,call,field recording,yes,"[""Oenanthe oenanthe""]",48000,https://xeno-canto.org/733126,https://xeno-canto.org/733126/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/corvus_cornix/XC733126.mp3
