xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
960647,Corvus frugilegus,Rook,Shaun Micklewright,United Kingdom,2025-01-07,16:00,59,A,call,field recording,yes,[],44100,https://xeno-canto.org/960647,https://xeno-canto.org/960647/download,
777776,Corvus frugilegus,Rook,Dean McDonnell,Ireland,2023-01-27,15:00,17,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/777776,https://xeno-canto.org/777776/download,
647763,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-12,10:00,26,A,flight call,field recording,no,[],44100,https://xeno-canto.org/647763,https://xeno-canto.org/647763/download,
647752,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-07,08:00,11,A,uncertain,field recording,no,[],44100,https://xeno-canto.org/647752,https://xeno-canto.org/647752/download,
637798,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-05,9:00,13,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/637798,https://xeno-canto.org/637798/download,
618149,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-01-18,09:30,47,A,call,field recording,yes,[],44100,https://xeno-canto.org/618149,https://xeno-canto.org/618149/download,
1024253,Corvus frugilegus,Rook,Ulf Elman,Sweden,2025-07-30,05:44,21,A,call,field recording,yes,"[""Coloeus monedula""]",48000,https://xeno-canto.org/1024253,https://xeno-canto.org/1024253/download,
944398,Corvus frugilegus,Rook,Bodo Sonnenburg,Germany,2024-11-02,12:09,38,A,call,field recording,yes,[],48000,https://xeno-canto.org/944398,https://xeno-canto.org/944398/download,
911573,Corvus frugilegus,Rook,Lennart Jeppsson,Sweden,2024-06-02,09:30,33,A,begging call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/911573,https://xeno-canto.org/911573/download,
872926,Corvus frugilegus,Rook,Hannu Varkki,Finland,2023-05-14,09:06,35,A,call,field recording,yes,"[""Phylloscopus trochilus"", ""Coloeus monedula""]",48000,https://xeno-canto.org/872926,https://xeno-canto.org/872926/download,
767314,Corvus frugilegus,Rook,SonoNatura,Spain,2022-12-09,10:30,15,A,call,field recording,yes,[],48000,https://xeno-canto.org/767314,https://xeno-canto.org/767314/download,
767313,Corvus frugilegus,Rook,SonoNatura,Spain,2022-12-09,10:30,30,A,call,field recording,yes,[],48000,https://xeno-canto.org/767313,https://xeno-canto.org/767313/download,
745457,Corvus frugilegus,Rook,Lars Edenius,Sweden,2022-08-22,06:00,27,A,"alarm call, call",field recording,no,"[""Columba palumbus"", ""Coloeus monedula""]",44100,https://xeno-canto.org/745457,https://xeno-canto.org/745457/download,
715079,Corvus frugilegus,Rook,Lars Edenius,Sweden,2022-04-13,07:00,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/715079,https://xeno-canto.org/715079/download,
667310,Corvus frugilegus,Rook,Mats Rellmar,Sweden,2021-03-17,11:00,34,A,call,field recording,yes,[],44100,https://xeno-canto.org/667310,https://xeno-canto.org/667310/download,
614528,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2021-01-09,14:00,6,A,song,field recording,unknown,[],48000,https://xeno-canto.org/614528,https://xeno-canto.org/614528/download,
603681,Corvus frugilegus,Rook,Micha Luhn,Germany,2020-11-15,08:20,5,A,call,field recording,no,[],48000,https://xeno-canto.org/603681,https://xeno-canto.org/603681/download,
519578,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2020-01-12,15:00,58,A,"flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/519578,https://xeno-canto.org/519578/download,
519566,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2020-01-12,15:00,28,A,"flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/519566,https://xeno-canto.org/519566/download,
449645,Corvus frugilegus,Rook,Patrik Åberg,Sweden,2018-05-11,06:25,48,A,call,field recording,yes,"[""Columba palumbus"", ""Turdus merula"", ""Coloeus monedula""]",44100,https://xeno-canto.org/449645,https://xeno-canto.org/449645/download,
334940,Corvus frugilegus,Rook,Krzysztof Deoniziak,Poland,2016-09-16,19:00,30,A,call,field recording,yes,[],48000,https://xeno-canto.org/334940,https://xeno-canto.org/334940/download,
334939,Corvus frugilegus,Rook,Krzysztof Deoniziak,Poland,2016-09-16,19:00,46,A,call,field recording,yes,[],48000,https://xeno-canto.org/334939,https://xeno-canto.org/334939/download,
153799,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2013-11-03,15:50,49,A,call,field recording,yes,[],48000,https://xeno-canto.org/153799,https://xeno-canto.org/153799/download,
27146,Corvus frugilegus,Rook,Patrik Åberg,Sweden,2008-04-12,?,55,A,call,field recording,unknown,[],44100,https://xeno-canto.org/27146,https://xeno-canto.org/27146/download,
27145,Corvus frugilegus,Rook,Patrik Åberg,Sweden,2006-04-09,?,43,A,call,field recording,unknown,[],44100,https://xeno-canto.org/27145,https://xeno-canto.org/27145/download,
1086123,Corvus frugilegus,Rook,David Darrell-Lambert,United Kingdom,2026-03-04,07:00,2,B,call,field recording,yes,[],48000,https://xeno-canto.org/1086123,https://xeno-canto.org/1086123/download,
1079116,Corvus frugilegus,Rook,Colm Philpott,Ireland,2026-02-10,14:00,30,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/1079116,https://xeno-canto.org/1079116/download,
1077291,Corvus frugilegus,Rook,Colm Philpott,Ireland,2026-02-01,13:30,14,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1077291,https://xeno-canto.org/1077291/download,
1073797,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-08-29,11:00,2,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1073797,https://xeno-canto.org/1073797/download,
1062955,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-08-19,15:00,5,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1062955,https://xeno-canto.org/1062955/download,
1055809,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-08-11,10:30,20,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1055809,https://xeno-canto.org/1055809/download,
1054490,Corvus frugilegus,Rook,David Darrell-Lambert,United Kingdom,2025-11-13,11:00,6,B,wing beats,field recording,yes,[],48000,https://xeno-canto.org/1054490,https://xeno-canto.org/1054490/download,
1054459,Corvus frugilegus,Rook,Xavier Riera,Ireland,2019-08-14,10:00,27,B,call,field recording,yes,[],44100,https://xeno-canto.org/1054459,https://xeno-canto.org/1054459/download,
1041209,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-09-22,18:30,23,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1041209,https://xeno-canto.org/1041209/download,
1039413,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-09-13,17:00,11,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/1039413,https://xeno-canto.org/1039413/download,
