xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1085590,Cuculus canorus,Common Cuckoo,Petter Westberg,Sweden,2025-06-22,09:00,39,A,"alarm call, flight call, song",field recording,yes,"[""Motacilla flava"", ""Phylloscopus trochilus"", ""Fringilla montifringilla"", ""Emberiza rustica""]",96000,https://xeno-canto.org/1085590,https://xeno-canto.org/1085590/download,
1085589,Cuculus canorus,Common Cuckoo,Petter Westberg,Sweden,2025-06-22,09:00,39,A,song,field recording,yes,"[""Turdus iliacus"", ""Phylloscopus trochilus"", ""Fringilla montifringilla"", ""Anthus trivialis""]",96000,https://xeno-canto.org/1085589,https://xeno-canto.org/1085589/download,
1080341,Cuculus canorus,Common Cuckoo,Frank Lambert,Spain,2025-04-25,06:21,13,A,song,field recording,no,[],44100,https://xeno-canto.org/1080341,https://xeno-canto.org/1080341/download,
1079333,Cuculus canorus,Common Cuckoo,Marc Anderson,Sweden,2022-06-05,20:00,29,A,song,field recording,no,[],44100,https://xeno-canto.org/1079333,https://xeno-canto.org/1079333/download,
1059940,Cuculus canorus,Common Cuckoo,Benjamin Schmid,Austria,2025-05-06,06:00,10,A,"alarm call, call, duet, song",field recording,no,[],48000,https://xeno-canto.org/1059940,https://xeno-canto.org/1059940/download,
1059939,Cuculus canorus,Common Cuckoo,Benjamin Schmid,Austria,2025-05-08,06:00,8,A,"call, trill",field recording,no,"[""Bombina bombina"", ""Acrocephalus arundinaceus""]",48000,https://xeno-canto.org/1059939,https://xeno-canto.org/1059939/download,
1059938,Cuculus canorus,Common Cuckoo,Benjamin Schmid,Austria,2025-05-06,06:00,6,A,"call, trill",field recording,no,"[""Bombina bombina"", ""Acrocephalus arundinaceus""]",48000,https://xeno-canto.org/1059938,https://xeno-canto.org/1059938/download,
1050838,Cuculus canorus,Common Cuckoo,Lars Lachmann,Germany,2025-05-24,09:30,52,A,song,field recording,yes,[],48000,https://xeno-canto.org/1050838,https://xeno-canto.org/1050838/download,
1050837,Cuculus canorus,Common Cuckoo,Lars Lachmann,Germany,2025-05-24,09:30,35,A,song,field recording,yes,"[""Sylvia borin""]",48000,https://xeno-canto.org/1050837,https://xeno-canto.org/1050837/download,
1049567,Cuculus canorus,Common Cuckoo,Miriam Öttl,Austria,2025-06-20,06:00,18,A,,field recording,no,[],44100,https://xeno-canto.org/1049567,https://xeno-canto.org/1049567/download,
1047797,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-10,12:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047797,https://xeno-canto.org/1047797/download,
1047795,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-02,10:00,38,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047795,https://xeno-canto.org/1047795/download,
1047794,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-01,08:00,12,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047794,https://xeno-canto.org/1047794/download,
1047793,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-12,05:00,50,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047793,https://xeno-canto.org/1047793/download,
1047792,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-09,06:00,37,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047792,https://xeno-canto.org/1047792/download,
1047791,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2020-05-08,08:00,8,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047791,https://xeno-canto.org/1047791/download,
1047790,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2020-05-08,08:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047790,https://xeno-canto.org/1047790/download,
1047789,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2015-05-18,06:30,9,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1047789,https://xeno-canto.org/1047789/download,
1047787,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2009-05-02,10:30,18,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1047787,https://xeno-canto.org/1047787/download,
