species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
cyanistes_caeruleus,1089166,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3,1.0,4.0,-29.81078111249837,-31.826095175212192,drop,Chloris chloris,European Greenfinch,0.5074146389961243,0.5074146389961243,drop,0,,,
cyanistes_caeruleus,1089166,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3,4.0,7.0,-30.11869180071625,-31.826095175212192,species,Cyanistes caeruleus,Eurasian Blue Tit,0.5540817975997925,0.5540817975997925,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1089166__s4000__e7000.wav,
cyanistes_caeruleus,1089166,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3,7.0,10.0,-30.838167950651666,-31.826095175212192,species,Cyanistes caeruleus,Eurasian Blue Tit,0.812484860420227,0.812484860420227,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1089166__s7000__e10000.wav,
cyanistes_caeruleus,1089166,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3,13.0,16.0,-29.894974855317955,-31.826095175212192,species,Cyanistes caeruleus,Eurasian Blue Tit,0.3966582417488098,0.3966582417488098,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1089166__s13000__e16000.wav,
cyanistes_caeruleus,1089166,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3,19.0,22.0,-27.119506112659973,-31.826095175212192,drop,Parus major,Great Tit,0.4676993489265442,0.4676993489265442,drop,0,,,
cyanistes_caeruleus,1070960,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3,1.0,4.0,-31.5717377989129,-40.0,species,Cyanistes caeruleus,Eurasian Blue Tit,0.7784485816955566,0.7784485816955566,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1070960__s1000__e4000.wav,
cyanistes_caeruleus,1070960,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3,4.0,7.0,-35.92242045647363,-40.0,species,Cyanistes caeruleus,Eurasian Blue Tit,0.6538728475570679,0.6538728475570679,species,0,,,
cyanistes_caeruleus,1070960,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3,13.0,16.0,-30.294888675100452,-40.0,species,Cyanistes caeruleus,Eurasian Blue Tit,0.945468008518219,0.945468008518219,species,0,,,
cyanistes_caeruleus,1070960,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3,22.0,25.0,-30.555810817378454,-40.0,species,Cyanistes caeruleus,Eurasian Blue Tit,0.961672306060791,0.961672306060791,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1070960__s22000__e25000.wav,
cyanistes_caeruleus,1070960,Cyanistes caeruleus,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3,37.0,40.0,-34.577934205139094,-40.0,species,Cyanistes caeruleus,Eurasian Blue Tit,0.8943861722946167,0.8943861722946167,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/cyanistes_caeruleus/XC1070960__s37000__e40000.wav,
