xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089166,Cyanistes caeruleus,Eurasian Blue Tit,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1089166,https://xeno-canto.org/1089166/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1089166.mp3
1070960,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2026-01-01,08:00,42,A,song,field recording,no,[],44100,https://xeno-canto.org/1070960,https://xeno-canto.org/1070960/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC1070960.mp3
985196,Cyanistes caeruleus,Eurasian Blue Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,23,A,song,field recording,yes,[],48000,https://xeno-canto.org/985196,https://xeno-canto.org/985196/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC985196.mp3
964530,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2025-01-16,08:00,13,A,song,field recording,no,"[""Regulus regulus"", ""Turdus philomelos""]",44100,https://xeno-canto.org/964530,https://xeno-canto.org/964530/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC964530.mp3
964529,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2025-01-16,08:00,34,A,song,field recording,no,"[""Regulus regulus"", ""Turdus philomelos""]",44100,https://xeno-canto.org/964529,https://xeno-canto.org/964529/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC964529.mp3
898938,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2024-04-28,07:00,27,A,song,field recording,no,[],44100,https://xeno-canto.org/898938,https://xeno-canto.org/898938/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC898938.mp3
716279,Cyanistes caeruleus,Eurasian Blue Tit,David Bissett,United Kingdom,2022-04-18,06:30,26,A,call,field recording,yes,"[""Cyanistes caeruleus"", ""Turdus philomelos"", ""Parus major"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/716279,https://xeno-canto.org/716279/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC716279.mp3
655029,Cyanistes caeruleus,Eurasian Blue Tit,Andrew McCafferty,United Kingdom,2021-06-07,13:20,25,A,alarm call,field recording,unknown,"[""Coloeus monedula""]",48000,https://xeno-canto.org/655029,https://xeno-canto.org/655029/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC655029.mp3
602811,Cyanistes caeruleus,Eurasian Blue Tit,david m,United Kingdom,2020-05-17,05:53,44,A,call,field recording,yes,"[""Alauda arvensis"", ""Columba palumbus"", ""Turdus philomelos"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/602811,https://xeno-canto.org/602811/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC602811.mp3
409283,Cyanistes caeruleus,Eurasian Blue Tit,Marc Anderson,United Kingdom,2018-04-05,17:00,13,A,call,field recording,yes,[],48000,https://xeno-canto.org/409283,https://xeno-canto.org/409283/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cyanistes_caeruleus/XC409283.mp3
