xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1039403,Delichon urbicum,Common House Martin,João Tomás,Spain,2025-09-12,10:45,4,A,"call, ""dre""",field recording,no,[],44100,https://xeno-canto.org/1039403,https://xeno-canto.org/1039403/download,
1025955,Delichon urbicum,Common House Martin,Cureau Hervé,France,2025-08-03,14:30,33,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/1025955,https://xeno-canto.org/1025955/download,
1022103,Delichon urbicum,Common House Martin,Lars Edenius,Sweden,2025-07-25,07:00,46,A,call,field recording,yes,[],48000,https://xeno-canto.org/1022103,https://xeno-canto.org/1022103/download,
910428,Delichon urbicum,Common House Martin,Jorge Leitão,Portugal,2024-06-04,10:18,9,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/910428,https://xeno-canto.org/910428/download,
898662,Delichon urbicum,Common House Martin,Jochem verweij,Sweden,2024-04-27,13:01,36,A,"begging call, call, flight call, song",field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/898662,https://xeno-canto.org/898662/download,
815712,Delichon urbicum,Common House Martin,Grégoire Chauvot,France,2023-07-10,15:00,13,A,"begging call, flight call",field recording,yes,[],48000,https://xeno-canto.org/815712,https://xeno-canto.org/815712/download,
768814,Delichon urbicum,Common House Martin,Michel Veldt,Netherlands,2021-05-30,09:56,22,A,"call, flight call, song",field recording,yes,[],48000,https://xeno-canto.org/768814,https://xeno-canto.org/768814/download,
747155,Delichon urbicum,Common House Martin,Beatrix Saadi-Varchmin,Germany,2022-07-31,07:53,50,A,"begging call, hatchling or nestling",field recording,yes,"[""Streptopelia decaocto""]",44100,https://xeno-canto.org/747155,https://xeno-canto.org/747155/download,
727373,Delichon urbicum,Common House Martin,Nicolas Martinez,Switzerland,2022-05-28,?,53,A,call,field recording,yes,[],48000,https://xeno-canto.org/727373,https://xeno-canto.org/727373/download,
659403,Delichon urbicum,Common House Martin,Lars Edenius,Sweden,2021-06-26,13:00,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/659403,https://xeno-canto.org/659403/download,
602609,Delichon urbicum,Common House Martin,Niels Van Doninck,Norway,2020-06-19,14:00,18,A,call,field recording,yes,"[""Phylloscopus trochilus"", ""Fringilla montifringilla"", ""Sylvia borin""]",48000,https://xeno-canto.org/602609,https://xeno-canto.org/602609/download,
598647,Delichon urbicum,Common House Martin,Simon Elliott,United Kingdom,1997-06-15,06:00,55,A,"begging call, call, song, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/598647,https://xeno-canto.org/598647/download,
577191,Delichon urbicum,Common House Martin,Xavier Riera,Spain,2020-07-19,06:30,47,A,call,field recording,no,"[""Sturnus vulgaris"", ""Passer domesticus""]",44100,https://xeno-canto.org/577191,https://xeno-canto.org/577191/download,
572974,Delichon urbicum,Common House Martin,Mr Mark Shorten,Ireland,2020-07-02,09:30,45,A,"call, flight call, song",field recording,yes,"[""Buteo buteo""]",44100,https://xeno-canto.org/572974,https://xeno-canto.org/572974/download,
559161,Delichon urbicum,Common House Martin,Bodo Sonnenburg,Germany,2020-05-17,14:02,27,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/559161,https://xeno-canto.org/559161/download,
381230,Delichon urbicum,Common House Martin,JACOB Hervé,France,2017-07-26,21:30,53,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/381230,https://xeno-canto.org/381230/download,
142802,Delichon urbicum,Common House Martin,Erik Roels,Belgium,2007-07-07,10:00,20,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/142802,https://xeno-canto.org/142802/download,
142697,Delichon urbicum,Common House Martin,Fernand DEROUSSEN,France,2006-04-29,10:30,46,A,"alarm call, song",field recording,yes,[],44100,https://xeno-canto.org/142697,https://xeno-canto.org/142697/download,
138279,Delichon urbicum,Common House Martin,Volker Arnold,Germany,2013-06-10,17:48,47,A,flight call,field recording,yes,"[""Sylvia atricapilla"", ""Emberiza schoeniclus"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/138279,https://xeno-canto.org/138279/download,
44634,Delichon urbicum,Common House Martin,Marco Dragonetti,Italy,2007-07-21,6,16,A,song,field recording,unknown,"[""Streptopelia decaocto"", ""Passer domesticus""]",48000,https://xeno-canto.org/44634,https://xeno-canto.org/44634/download,
