xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1061195,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2015-04-27,11:30,49,A,"song, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061195,https://xeno-canto.org/1061195/download,
1061170,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,call,field recording,yes,[],48000,https://xeno-canto.org/1061170,https://xeno-canto.org/1061170/download,
1061167,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061167,https://xeno-canto.org/1061167/download,
1061151,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2021-02-28,08:00,7,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061151,https://xeno-canto.org/1061151/download,
1061126,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-05-23,07:00,45,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/1061126,https://xeno-canto.org/1061126/download,
1019733,Dendrocopos major,Great Spotted Woodpecker,He Wenjin/文进,United Kingdom,2025-07-21,06:00,18,A,call,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/1019733,https://xeno-canto.org/1019733/download,
892411,Dendrocopos major,Great Spotted Woodpecker,Peter Stronach,United Kingdom,2024-03-25,07:00,45,A,drumming,field recording,yes,"[""Regulus regulus"", ""Periparus ater""]",44100,https://xeno-canto.org/892411,https://xeno-canto.org/892411/download,
878389,Dendrocopos major,Great Spotted Woodpecker,Peter Stronach,United Kingdom,2024-02-28,08:15,38,A,drumming,field recording,yes,"[""Fringilla coelebs"", ""Certhia familiaris""]",44100,https://xeno-canto.org/878389,https://xeno-canto.org/878389/download,
792746,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2020-07-12,05:00,47,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus frugilegus"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/792746,https://xeno-canto.org/792746/download,
714183,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2022-04-09,06:00,56,A,drumming,field recording,yes,"[""Corvus corone"", ""Troglodytes troglodytes"", ""Phylloscopus collybita"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/714183,https://xeno-canto.org/714183/download,
654694,Dendrocopos major,Great Spotted Woodpecker,Paul Bourdin,Ireland,2021-06-06,06:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/654694,https://xeno-canto.org/654694/download,
593985,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2002-05-03,13:00,11,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/593985,https://xeno-canto.org/593985/download,
593984,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2002-05-20,11:00,11,A,call,field recording,yes,"[""Fulica atra""]",44100,https://xeno-canto.org/593984,https://xeno-canto.org/593984/download,
593983,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2002-05-20,10:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/593983,https://xeno-canto.org/593983/download,
99938,Dendrocopos major,Great Spotted Woodpecker,Tony Whitehead,United Kingdom,2003-03-29,?,37,A,call,field recording,unknown,[],44100,https://xeno-canto.org/99938,https://xeno-canto.org/99938/download,
25815,Dendrocopos major,Great Spotted Woodpecker,Stuart Fisher,United Kingdom,2007-05-20,15:00,45,A,"begging call, begging calls of young",field recording,unknown,[],44100,https://xeno-canto.org/25815,https://xeno-canto.org/25815/download,
1089525,Dendrocopos major,Great Spotted Woodpecker,Ulf Elman,Sweden,2026-03-20,12:39,3,A,drumming,field recording,yes,[],48000,https://xeno-canto.org/1089525,https://xeno-canto.org/1089525/download,
