species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
emberiza_citrinella,914643,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC914643.mp3,19.0,22.0,-48.983800859022544,-40.0,species,Emberiza citrinella,Yellowhammer,0.9917408227920532,0.9917408227920532,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC914643__s19000__e22000.wav,
emberiza_citrinella,655122,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC655122.mp3,1.0,4.0,-36.76443861281506,-40.0,species,Emberiza citrinella,Yellowhammer,0.9593763947486877,0.9593763947486877,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC655122__s1000__e4000.wav,
emberiza_citrinella,260119,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3,1.0,4.0,-32.549120589394306,-40.0,species,Emberiza citrinella,Yellowhammer,0.9710120558738708,0.9710120558738708,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC260119__s1000__e4000.wav,
emberiza_citrinella,260119,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3,4.0,7.0,-34.11856550257224,-40.0,species,Emberiza citrinella,Yellowhammer,0.9168146252632141,0.9168146252632141,species,0,,,
emberiza_citrinella,260119,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3,13.0,16.0,-31.39959029903409,-40.0,species,Emberiza citrinella,Yellowhammer,0.9957700371742249,0.9957700371742249,species,0,,,
emberiza_citrinella,260119,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3,22.0,25.0,-31.631284006100287,-40.0,species,Emberiza citrinella,Yellowhammer,0.988831102848053,0.988831102848053,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC260119__s22000__e25000.wav,
emberiza_citrinella,260119,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3,31.0,34.0,-31.980366311866213,-40.0,species,Emberiza citrinella,Yellowhammer,0.9718009233474731,0.9718009233474731,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC260119__s31000__e34000.wav,
emberiza_citrinella,180948,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC180948.mp3,1.0,4.0,-33.951077062243805,-33.951077062243805,species,Emberiza citrinella,Yellowhammer,0.9920843839645386,0.9920843839645386,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC180948__s1000__e4000.wav,
emberiza_citrinella,168017,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC168017.mp3,1.0,4.0,-27.33542983281898,-40.0,species,Emberiza citrinella,Yellowhammer,0.9710864424705505,0.9710864424705505,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/emberiza_citrinella/XC168017__s1000__e4000.wav,
emberiza_citrinella,168017,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC168017.mp3,7.0,10.0,-28.051795867411723,-40.0,drop,Setophaga nigrescens,Black-throated Gray Warbler,0.8051804304122925,0.8051804304122925,drop,0,,,
emberiza_citrinella,168017,Emberiza citrinella,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC168017.mp3,13.0,16.0,-35.730318116786094,-40.0,drop,Cyanistes caeruleus,Eurasian Blue Tit,0.3932456374168396,0.3932456374168396,drop,0,,,
