xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
914643,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2022-05-14,08:30,45,A,song,field recording,yes,[],44100,https://xeno-canto.org/914643,https://xeno-canto.org/914643/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC914643.mp3
655122,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2021-05-16,05:21,18,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/655122,https://xeno-canto.org/655122/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC655122.mp3
260119,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2015-05-19,05:56,52,A,song,field recording,yes,"[""Alauda arvensis""]",48000,https://xeno-canto.org/260119,https://xeno-canto.org/260119/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC260119.mp3
180948,Emberiza citrinella,Yellowhammer,Dawid Jablonski,United Kingdom,2014-06-01,17:00,4,A,song,field recording,yes,[],44100,https://xeno-canto.org/180948,https://xeno-canto.org/180948/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC180948.mp3
168017,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2012-02-25,07:08,43,A,"call, song",field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Corvus corone""]",48000,https://xeno-canto.org/168017,https://xeno-canto.org/168017/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC168017.mp3
992385,Emberiza citrinella,Yellowhammer,Tero Linjama,Finland,2025-04-27,18:00,13,A,song,field recording,yes,[],44100,https://xeno-canto.org/992385,https://xeno-canto.org/992385/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC992385.mp3
985932,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-04-06,07:30,29,A,song,field recording,yes,"[""Fringilla coelebs"", ""Cygnus cygnus""]",48000,https://xeno-canto.org/985932,https://xeno-canto.org/985932/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC985932.mp3
983981,Emberiza citrinella,Yellowhammer,Cyrille Frey,France,2025-03-29,09:00,29,A,song,field recording,yes,[],44100,https://xeno-canto.org/983981,https://xeno-canto.org/983981/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC983981.mp3
981979,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-03-21,07:00,48,A,song,field recording,yes,"[""Pyrrhula pyrrhula""]",48000,https://xeno-canto.org/981979,https://xeno-canto.org/981979/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC981979.mp3
981978,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-03-21,07:00,30,A,song,field recording,yes,"[""Parus major""]",48000,https://xeno-canto.org/981978,https://xeno-canto.org/981978/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC981978.mp3
980764,Emberiza citrinella,Yellowhammer,Thomas Bergman,Sweden,2025-03-14,17:42,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/980764,https://xeno-canto.org/980764/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC980764.mp3
957093,Emberiza citrinella,Yellowhammer,Jarek Matusiak,Poland,2024-03-28,16:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/957093,https://xeno-canto.org/957093/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC957093.mp3
919934,Emberiza citrinella,Yellowhammer,Jacobo Ramil Millarengo,Spain,2024-07-07,08:30,22,A,call,field recording,yes,"[""Sylvia atricapilla""]",44100,https://xeno-canto.org/919934,https://xeno-canto.org/919934/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC919934.mp3
919282,Emberiza citrinella,Yellowhammer,Martin Billard,France,2024-06-26,20:14,36,A,song,field recording,yes,[],44100,https://xeno-canto.org/919282,https://xeno-canto.org/919282/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC919282.mp3
918129,Emberiza citrinella,Yellowhammer,Jacobo Ramil Millarengo,Spain,2024-07-02,12:30,55,A,song,field recording,yes,[],44100,https://xeno-canto.org/918129,https://xeno-canto.org/918129/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC918129.mp3
901911,Emberiza citrinella,Yellowhammer,Jacobo Ramil Millarengo,Spain,2024-05-10,11:00,55,A,song,field recording,no,"[""Alauda arvensis""]",44100,https://xeno-canto.org/901911,https://xeno-canto.org/901911/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC901911.mp3
895088,Emberiza citrinella,Yellowhammer,Martin Billard,France,2024-04-10,08:32,28,A,song,field recording,yes,[],44100,https://xeno-canto.org/895088,https://xeno-canto.org/895088/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC895088.mp3
841213,Emberiza citrinella,Yellowhammer,Beatrix Saadi-Varchmin,Germany,2023-06-18,06:30,28,A,"alarm call, call, air enemy call",field recording,yes,"[""Phylloscopus collybita""]",44100,https://xeno-canto.org/841213,https://xeno-canto.org/841213/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC841213.mp3
817773,Emberiza citrinella,Yellowhammer,Dominique Guillerme,France,2023-07-13,07:30,13,A,call,in the hand,yes,[],48000,https://xeno-canto.org/817773,https://xeno-canto.org/817773/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC817773.mp3
817772,Emberiza citrinella,Yellowhammer,Dominique Guillerme,France,2023-07-13,07:30,31,A,"call, contact calls",in the hand,yes,[],48000,https://xeno-canto.org/817772,https://xeno-canto.org/817772/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC817772.mp3
817771,Emberiza citrinella,Yellowhammer,Dominique Guillerme,France,2023-07-13,07:30,37,A,"call, contact calls",in the hand,yes,[],48000,https://xeno-canto.org/817771,https://xeno-canto.org/817771/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC817771.mp3
814257,Emberiza citrinella,Yellowhammer,Anders Westman,Sweden,2023-05-14,10:00,23,A,call,field recording,no,[],44100,https://xeno-canto.org/814257,https://xeno-canto.org/814257/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC814257.mp3
798299,Emberiza citrinella,Yellowhammer,Johannes Dag Mayer,Germany,2023-04-30,8:30,35,A,song,field recording,yes,"[""Sylvia atricapilla"", ""Phoenicurus phoenicurus"", ""Sturnus vulgaris""]",44100,https://xeno-canto.org/798299,https://xeno-canto.org/798299/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC798299.mp3
793279,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2023-04-14,07:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/793279,https://xeno-canto.org/793279/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC793279.mp3
770013,Emberiza citrinella,Yellowhammer,Michel Veldt,Netherlands,2021-05-17,21:25,59,A,song,field recording,yes,[],48000,https://xeno-canto.org/770013,https://xeno-canto.org/770013/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC770013.mp3
759872,Emberiza citrinella,Yellowhammer,Niels Van Doninck,Sweden,2022-05-22,20:00,19,A,"call, flight call",field recording,yes,"[""Alauda arvensis"", ""Phylloscopus trochilus"", ""Luscinia luscinia""]",48000,https://xeno-canto.org/759872,https://xeno-canto.org/759872/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC759872.mp3
759870,Emberiza citrinella,Yellowhammer,Niels Van Doninck,Sweden,2022-05-22,20:00,23,A,"call, flight call",field recording,yes,"[""Phylloscopus trochilus"", ""Turdus merula"", ""Luscinia luscinia""]",48000,https://xeno-canto.org/759870,https://xeno-canto.org/759870/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC759870.mp3
755103,Emberiza citrinella,Yellowhammer,Mats Olsson,Sweden,2022-05-01,09:00,27,A,call,field recording,yes,"[""Jynx torquilla"", ""Fringilla coelebs"", ""Linaria cannabina""]",44100,https://xeno-canto.org/755103,https://xeno-canto.org/755103/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC755103.mp3
751209,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2022-09-28,08:00,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/751209,https://xeno-canto.org/751209/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC751209.mp3
722883,Emberiza citrinella,Yellowhammer,Jarek Matusiak,Poland,2022-05-08,12:00,26,A,song,field recording,unknown,[],32000,https://xeno-canto.org/722883,https://xeno-canto.org/722883/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC722883.mp3
715853,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2022-04-16,06:30,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/715853,https://xeno-canto.org/715853/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC715853.mp3
715852,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2022-04-16,06:30,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/715852,https://xeno-canto.org/715852/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC715852.mp3
713035,Emberiza citrinella,Yellowhammer,Teet Sirotkin,Sweden,2022-04-02,07:02,28,A,flight call,field recording,no,[],48000,https://xeno-canto.org/713035,https://xeno-canto.org/713035/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC713035.mp3
711833,Emberiza citrinella,Yellowhammer,Jacobo Ramil MIllarengo,Spain,2022-03-18,19:00,34,A,song,field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/711833,https://xeno-canto.org/711833/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC711833.mp3
711828,Emberiza citrinella,Yellowhammer,Jacobo Ramil MIllarengo,Spain,2022-03-18,18:30,40,A,call,field recording,yes,[],44100,https://xeno-canto.org/711828,https://xeno-canto.org/711828/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC711828.mp3
711214,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2022-03-27,08:00,28,A,song,field recording,yes,"[""Spinus spinus""]",48000,https://xeno-canto.org/711214,https://xeno-canto.org/711214/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC711214.mp3
703597,Emberiza citrinella,Yellowhammer,Beatrix Saadi-Varchmin,Germany,2022-02-18,11:49,12,A,"aberrant, call, song, early spring song",field recording,yes,[],44100,https://xeno-canto.org/703597,https://xeno-canto.org/703597/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC703597.mp3
703596,Emberiza citrinella,Yellowhammer,Beatrix Saadi-Varchmin,Germany,2022-02-18,11:31,32,A,"aberrant, call, song, early spring song",field recording,yes,[],44100,https://xeno-canto.org/703596,https://xeno-canto.org/703596/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC703596.mp3
700131,Emberiza citrinella,Yellowhammer,Dominique Guillerme,France,2020-02-21,10:00,41,A,song,field recording,yes,"[""Lullula arborea""]",48000,https://xeno-canto.org/700131,https://xeno-canto.org/700131/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC700131.mp3
697920,Emberiza citrinella,Yellowhammer,Dominique Guillerme,France,2020-02-21,10:50,41,A,song,field recording,no,"[""Lullula arborea""]",48000,https://xeno-canto.org/697920,https://xeno-canto.org/697920/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC697920.mp3
697519,Emberiza citrinella,Yellowhammer,Romuald Mikusek,Poland,2021-03-13,09:00,28,A,call,field recording,yes,[],48000,https://xeno-canto.org/697519,https://xeno-canto.org/697519/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC697519.mp3
687650,Emberiza citrinella,Yellowhammer,Niels Van Doninck,Norway,2021-06-05,18:35,32,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Corvus corax""]",48000,https://xeno-canto.org/687650,https://xeno-canto.org/687650/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC687650.mp3
662899,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2021-07-13,09:00,31,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/662899,https://xeno-canto.org/662899/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC662899.mp3
641766,Emberiza citrinella,Yellowhammer,Marcel Gil Velasco,Spain,2021-04-22,09:30,30,A,song,field recording,yes,[],44100,https://xeno-canto.org/641766,https://xeno-canto.org/641766/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_citrinella/XC641766.mp3
