xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
914643,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2022-05-14,08:30,45,A,song,field recording,yes,[],44100,https://xeno-canto.org/914643,https://xeno-canto.org/914643/download,
655122,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2021-05-16,05:21,18,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/655122,https://xeno-canto.org/655122/download,
260119,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2015-05-19,05:56,52,A,song,field recording,yes,"[""Alauda arvensis""]",48000,https://xeno-canto.org/260119,https://xeno-canto.org/260119/download,
180948,Emberiza citrinella,Yellowhammer,Dawid Jablonski,United Kingdom,2014-06-01,17:00,4,A,song,field recording,yes,[],44100,https://xeno-canto.org/180948,https://xeno-canto.org/180948/download,
168017,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2012-02-25,07:08,43,A,"call, song",field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Corvus corone""]",48000,https://xeno-canto.org/168017,https://xeno-canto.org/168017/download,
992385,Emberiza citrinella,Yellowhammer,Tero Linjama,Finland,2025-04-27,18:00,13,A,song,field recording,yes,[],44100,https://xeno-canto.org/992385,https://xeno-canto.org/992385/download,
985932,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-04-06,07:30,29,A,song,field recording,yes,"[""Fringilla coelebs"", ""Cygnus cygnus""]",48000,https://xeno-canto.org/985932,https://xeno-canto.org/985932/download,
983981,Emberiza citrinella,Yellowhammer,Cyrille Frey,France,2025-03-29,09:00,29,A,song,field recording,yes,[],44100,https://xeno-canto.org/983981,https://xeno-canto.org/983981/download,
981979,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-03-21,07:00,48,A,song,field recording,yes,"[""Pyrrhula pyrrhula""]",48000,https://xeno-canto.org/981979,https://xeno-canto.org/981979/download,
981978,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-03-21,07:00,30,A,song,field recording,yes,"[""Parus major""]",48000,https://xeno-canto.org/981978,https://xeno-canto.org/981978/download,
980764,Emberiza citrinella,Yellowhammer,Thomas Bergman,Sweden,2025-03-14,17:42,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/980764,https://xeno-canto.org/980764/download,
957093,Emberiza citrinella,Yellowhammer,Jarek Matusiak,Poland,2024-03-28,16:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/957093,https://xeno-canto.org/957093/download,
919934,Emberiza citrinella,Yellowhammer,Jacobo Ramil Millarengo,Spain,2024-07-07,08:30,22,A,call,field recording,yes,"[""Sylvia atricapilla""]",44100,https://xeno-canto.org/919934,https://xeno-canto.org/919934/download,
919282,Emberiza citrinella,Yellowhammer,Martin Billard,France,2024-06-26,20:14,36,A,song,field recording,yes,[],44100,https://xeno-canto.org/919282,https://xeno-canto.org/919282/download,
918129,Emberiza citrinella,Yellowhammer,Jacobo Ramil Millarengo,Spain,2024-07-02,12:30,55,A,song,field recording,yes,[],44100,https://xeno-canto.org/918129,https://xeno-canto.org/918129/download,
