xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089389,Emberiza schoeniclus,Common Reed Bunting,David Darrell-Lambert,United Kingdom,2026-03-17,18:00,13,A,call,field recording,no,[],48000,https://xeno-canto.org/1089389,https://xeno-canto.org/1089389/download,
1079545,Emberiza schoeniclus,Common Reed Bunting,Marc Anderson,Sweden,2022-02-06,07:00,47,A,song,field recording,no,"[""Acrocephalus schoenobaenus""]",44100,https://xeno-canto.org/1079545,https://xeno-canto.org/1079545/download,
991853,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2025-04-26,06:00,33,A,song,field recording,yes,"[""Turdus iliacus"", ""Turdus philomelos"", ""Bucephala clangula""]",48000,https://xeno-canto.org/991853,https://xeno-canto.org/991853/download,
941989,Emberiza schoeniclus,Common Reed Bunting,Ulf Elman,Sweden,2018-04-13,07:04,17,A,"call, song",field recording,unknown,[],48000,https://xeno-canto.org/941989,https://xeno-canto.org/941989/download,
932208,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2024-09-05,09:00,24,A,call,field recording,no,[],48000,https://xeno-canto.org/932208,https://xeno-canto.org/932208/download,
931851,Emberiza schoeniclus,Common Reed Bunting,Bodo Sonnenburg,Germany,2024-09-04,07:48,42,A,call,field recording,yes,[],48000,https://xeno-canto.org/931851,https://xeno-canto.org/931851/download,
913447,Emberiza schoeniclus,Common Reed Bunting,Thomas Bergman,Sweden,2024-06-07,03:33,53,A,song,field recording,no,"[""Motacilla flava"", ""Tringa nebularia"", ""Cuculus canorus""]",48000,https://xeno-canto.org/913447,https://xeno-canto.org/913447/download,
884544,Emberiza schoeniclus,Common Reed Bunting,Christian Vemmelund Helligsø,Denmark,2024-03-25,10:12,11,A,call,field recording,no,[],48000,https://xeno-canto.org/884544,https://xeno-canto.org/884544/download,
871698,Emberiza schoeniclus,Common Reed Bunting,Alain Malengreau,Belgium,2023-05-14,09:00,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/871698,https://xeno-canto.org/871698/download,
870645,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2024-01-14,08:00,19,A,call,field recording,no,"[""Cygnus cygnus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/870645,https://xeno-canto.org/870645/download,
826083,Emberiza schoeniclus,Common Reed Bunting,Olli Juhnke,Germany,2023-06-29,10:00,15,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Emberiza citrinella""]",48000,https://xeno-canto.org/826083,https://xeno-canto.org/826083/download,
810337,Emberiza schoeniclus,Common Reed Bunting,Dries Van de Loock,Belgium,2019-04-29,?,35,A,song,field recording,yes,[],48000,https://xeno-canto.org/810337,https://xeno-canto.org/810337/download,
806177,Emberiza schoeniclus,Common Reed Bunting,Elias A. Ryberg,Norway,2023-06-02,13:08,46,A,song,field recording,yes,"[""Luscinia svecica""]",96000,https://xeno-canto.org/806177,https://xeno-canto.org/806177/download,
800813,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2023-05-13,04:00,53,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Prunella modularis"", ""Numenius arquata""]",48000,https://xeno-canto.org/800813,https://xeno-canto.org/800813/download,
799653,Emberiza schoeniclus,Common Reed Bunting,Gosse Hoekstra,Netherlands,2023-05-10,14:30,35,A,song,field recording,yes,"[""Motacilla flava""]",44100,https://xeno-canto.org/799653,https://xeno-canto.org/799653/download,
798810,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2023-05-07,07:00,47,A,song,field recording,no,"[""Tringa ochropus""]",48000,https://xeno-canto.org/798810,https://xeno-canto.org/798810/download,
793620,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2023-04-16,06:00,52,A,call,field recording,yes,[],48000,https://xeno-canto.org/793620,https://xeno-canto.org/793620/download,
735603,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-05-29,07:30,46,A,song,field recording,no,[],44100,https://xeno-canto.org/735603,https://xeno-canto.org/735603/download,
731808,Emberiza schoeniclus,Common Reed Bunting,Marc Anderson,Sweden,2022-06-06,05:30,53,A,song,field recording,no,[],44100,https://xeno-canto.org/731808,https://xeno-canto.org/731808/download,
688462,Emberiza schoeniclus,Common Reed Bunting,Stanislas Wroza,France,2021-11-21,10:00,28,A,call,field recording,yes,[],48000,https://xeno-canto.org/688462,https://xeno-canto.org/688462/download,
686570,Emberiza schoeniclus,Common Reed Bunting,Niels Van Doninck,Belgium,2021-04-20,20:35,13,A,call,field recording,no,"[""Anser anser"", ""Turdus philomelos"", ""Locustella naevia"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/686570,https://xeno-canto.org/686570/download,
657125,Emberiza schoeniclus,Common Reed Bunting,Susanne Kuijpers,Netherlands,2021-06-16,07:11,26,A,"begging call, song",field recording,yes,"[""Chroicocephalus ridibundus""]",44100,https://xeno-canto.org/657125,https://xeno-canto.org/657125/download,
657051,Emberiza schoeniclus,Common Reed Bunting,Micha Luhn,Germany,2021-06-14,21:10,53,A,song,field recording,yes,"[""Tringa totanus"", ""Acrocephalus scirpaceus"", ""Vanellus vanellus""]",48000,https://xeno-canto.org/657051,https://xeno-canto.org/657051/download,
