xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089389,Emberiza schoeniclus,Common Reed Bunting,David Darrell-Lambert,United Kingdom,2026-03-17,18:00,13,A,call,field recording,no,[],48000,https://xeno-canto.org/1089389,https://xeno-canto.org/1089389/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC1089389.mp3
870645,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2024-01-14,08:00,19,A,call,field recording,no,"[""Cygnus cygnus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/870645,https://xeno-canto.org/870645/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC870645.mp3
735603,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-05-29,07:30,46,A,song,field recording,no,[],44100,https://xeno-canto.org/735603,https://xeno-canto.org/735603/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC735603.mp3
596407,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2015-06-08,21:00,14,A,call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Acanthis cabaret""]",48000,https://xeno-canto.org/596407,https://xeno-canto.org/596407/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC596407.mp3
596406,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2015-06-08,21:00,44,A,call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Acanthis cabaret""]",48000,https://xeno-canto.org/596406,https://xeno-canto.org/596406/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC596406.mp3
596405,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2004-01-04,10:00,19,A,call,field recording,yes,[],44100,https://xeno-canto.org/596405,https://xeno-canto.org/596405/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC596405.mp3
596396,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2019-06-16,07:00,21,A,song,field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/596396,https://xeno-canto.org/596396/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC596396.mp3
596393,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2019-06-16,07:00,19,A,song,field recording,yes,"[""Columba palumbus"", ""Coloeus monedula""]",48000,https://xeno-canto.org/596393,https://xeno-canto.org/596393/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC596393.mp3
595169,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2007-07-01,06:00,13,A,"begging call, hatchling or nestling",field recording,yes,"[""Chroicocephalus ridibundus""]",48000,https://xeno-canto.org/595169,https://xeno-canto.org/595169/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC595169.mp3
102048,Emberiza schoeniclus,Common Reed Bunting,Richard Dunn,United Kingdom,2012-04-20,20:30,24,A,song,field recording,unknown,[],44100,https://xeno-canto.org/102048,https://xeno-canto.org/102048/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC102048.mp3
86327,Emberiza schoeniclus,Common Reed Bunting,David Farrow,United Kingdom,2010-05-15,?,49,A,song,field recording,unknown,[],44100,https://xeno-canto.org/86327,https://xeno-canto.org/86327/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC86327.mp3
1079545,Emberiza schoeniclus,Common Reed Bunting,Marc Anderson,Sweden,2022-02-06,07:00,47,A,song,field recording,no,"[""Acrocephalus schoenobaenus""]",44100,https://xeno-canto.org/1079545,https://xeno-canto.org/1079545/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC1079545.mp3
991853,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2025-04-26,06:00,33,A,song,field recording,yes,"[""Turdus iliacus"", ""Turdus philomelos"", ""Bucephala clangula""]",48000,https://xeno-canto.org/991853,https://xeno-canto.org/991853/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC991853.mp3
941989,Emberiza schoeniclus,Common Reed Bunting,Ulf Elman,Sweden,2018-04-13,07:04,17,A,"call, song",field recording,unknown,[],48000,https://xeno-canto.org/941989,https://xeno-canto.org/941989/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC941989.mp3
932208,Emberiza schoeniclus,Common Reed Bunting,Lars Edenius,Sweden,2024-09-05,09:00,24,A,call,field recording,no,[],48000,https://xeno-canto.org/932208,https://xeno-canto.org/932208/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC932208.mp3
931851,Emberiza schoeniclus,Common Reed Bunting,Bodo Sonnenburg,Germany,2024-09-04,07:48,42,A,call,field recording,yes,[],48000,https://xeno-canto.org/931851,https://xeno-canto.org/931851/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC931851.mp3
913447,Emberiza schoeniclus,Common Reed Bunting,Thomas Bergman,Sweden,2024-06-07,03:33,53,A,song,field recording,no,"[""Motacilla flava"", ""Tringa nebularia"", ""Cuculus canorus""]",48000,https://xeno-canto.org/913447,https://xeno-canto.org/913447/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC913447.mp3
884544,Emberiza schoeniclus,Common Reed Bunting,Christian Vemmelund Helligsø,Denmark,2024-03-25,10:12,11,A,call,field recording,no,[],48000,https://xeno-canto.org/884544,https://xeno-canto.org/884544/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC884544.mp3
871698,Emberiza schoeniclus,Common Reed Bunting,Alain Malengreau,Belgium,2023-05-14,09:00,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/871698,https://xeno-canto.org/871698/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC871698.mp3
826083,Emberiza schoeniclus,Common Reed Bunting,Olli Juhnke,Germany,2023-06-29,10:00,15,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Emberiza citrinella""]",48000,https://xeno-canto.org/826083,https://xeno-canto.org/826083/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/emberiza_schoeniclus/XC826083.mp3
