xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1013457,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2021-02-21,09:30,15,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013457,https://xeno-canto.org/1013457/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013457.mp3
1013451,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013451,https://xeno-canto.org/1013451/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013451.mp3
1013450,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,2,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013450,https://xeno-canto.org/1013450/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013450.mp3
1013447,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013447,https://xeno-canto.org/1013447/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013447.mp3
1013434,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2016-03-13,07:00,49,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013434,https://xeno-canto.org/1013434/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013434.mp3
1013413,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2015-07-03,05:30,41,A,call,field recording,yes,[],44100,https://xeno-canto.org/1013413,https://xeno-canto.org/1013413/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1013413.mp3
1011337,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2025-05-14,06:00,24,A,call,field recording,yes,[],32000,https://xeno-canto.org/1011337,https://xeno-canto.org/1011337/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC1011337.mp3
982723,Falco peregrinus,Peregrine Falcon,David Boyle,United Kingdom,2022-07-06,10:00,19,A,call,field recording,no,[],48000,https://xeno-canto.org/982723,https://xeno-canto.org/982723/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC982723.mp3
929744,Falco peregrinus,Peregrine Falcon,Arjun Dutta,United Kingdom,2023-09-05,11:00,41,A,begging call,field recording,yes,"[""Corvus corax"", ""Aegithalos caudatus""]",44100,https://xeno-canto.org/929744,https://xeno-canto.org/929744/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC929744.mp3
776245,Falco peregrinus,Peregrine Falcon,Dan Lombard,United Kingdom,2022-04-21,20:00,8,A,call,field recording,yes,[],44100,https://xeno-canto.org/776245,https://xeno-canto.org/776245/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC776245.mp3
748303,Falco peregrinus,Peregrine Falcon,Irish Wildlife Sounds,Ireland,2022-09-06,07:00,46,A,flight call,field recording,no,[],44100,https://xeno-canto.org/748303,https://xeno-canto.org/748303/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC748303.mp3
744531,Falco peregrinus,Peregrine Falcon,Irish Wildlife Sounds,Ireland,2022-08-06,07:00,46,A,flight call,field recording,no,[],44100,https://xeno-canto.org/744531,https://xeno-canto.org/744531/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC744531.mp3
737518,Falco peregrinus,Peregrine Falcon,Anthony McGeehan ,United Kingdom,2022-07-12,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/737518,https://xeno-canto.org/737518/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC737518.mp3
593401,Falco peregrinus,Peregrine Falcon,Simon Elliott,United Kingdom,2004-06-12,07:30,39,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/593401,https://xeno-canto.org/593401/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC593401.mp3
593395,Falco peregrinus,Peregrine Falcon,Simon Elliott,United Kingdom,2004-06-04,06:00,24,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/593395,https://xeno-canto.org/593395/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC593395.mp3
593388,Falco peregrinus,Peregrine Falcon,Simon Elliott,United Kingdom,2004-05-06,07:00,14,A,call,field recording,yes,[],44100,https://xeno-canto.org/593388,https://xeno-canto.org/593388/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_peregrinus/XC593388.mp3
