xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1044414,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-26,07:00,3,A,alarm call,field recording,no,[],24000,https://xeno-canto.org/1044414,https://xeno-canto.org/1044414/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1044414.mp3
1044413,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-26,07:00,13,A,"call, flight call",field recording,no,[],24000,https://xeno-canto.org/1044413,https://xeno-canto.org/1044413/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1044413.mp3
1044081,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-25,06:30,5,A,flight call,field recording,no,[],24000,https://xeno-canto.org/1044081,https://xeno-canto.org/1044081/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1044081.mp3
1044080,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-25,06:30,5,A,flight call,field recording,no,[],24000,https://xeno-canto.org/1044080,https://xeno-canto.org/1044080/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1044080.mp3
1043840,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-24,06:30,40,A,"call, flight call",field recording,no,"[""Erithacus rubecula""]",24000,https://xeno-canto.org/1043840,https://xeno-canto.org/1043840/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1043840.mp3
1012113,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2015-09-17,16:00,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/1012113,https://xeno-canto.org/1012113/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1012113.mp3
1012105,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2023-04-14,13:30,34,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1012105,https://xeno-canto.org/1012105/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1012105.mp3
921759,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2024-07-13,23:30,10,A,alarm call,field recording,no,"[""Sterna paradisaea""]",44100,https://xeno-canto.org/921759,https://xeno-canto.org/921759/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC921759.mp3
776062,Falco tinnunculus,Common Kestrel,Dan Lombard,United Kingdom,2021-04-26,20:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/776062,https://xeno-canto.org/776062/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC776062.mp3
738405,Falco tinnunculus,Common Kestrel,Clive Davies,United Kingdom,0000-00-00,04:51,39,A,"call, song",field recording,no,"[""Phasianus colchicus""]",44100,https://xeno-canto.org/738405,https://xeno-canto.org/738405/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC738405.mp3
687552,Falco tinnunculus,Common Kestrel,Irish Wildlife Sounds,Ireland,2021-10-12,14:30,34,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/687552,https://xeno-canto.org/687552/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC687552.mp3
670606,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2021-06-22,10:00,7,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/670606,https://xeno-canto.org/670606/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC670606.mp3
657551,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2021-06-18,08:00,50,A,"begging call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/657551,https://xeno-canto.org/657551/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC657551.mp3
590630,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,1998-02-01,08:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/590630,https://xeno-canto.org/590630/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC590630.mp3
590537,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,1999-05-25,15:00,16,A,call,field recording,yes,[],44100,https://xeno-canto.org/590537,https://xeno-canto.org/590537/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC590537.mp3
590533,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2010-04-10,08:00,20,A,"call, copulation",field recording,yes,"[""Garrulus glandarius""]",48000,https://xeno-canto.org/590533,https://xeno-canto.org/590533/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC590533.mp3
590530,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2010-04-10,08:00,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/590530,https://xeno-canto.org/590530/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC590530.mp3
590529,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2010-04-10,08:00,11,A,"call, food pass",field recording,yes,[],48000,https://xeno-canto.org/590529,https://xeno-canto.org/590529/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC590529.mp3
403047,Falco tinnunculus,Common Kestrel,Dominic Garcia-Hall,United Kingdom,2017-07-17,10:30,13,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/403047,https://xeno-canto.org/403047/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC403047.mp3
1076829,Falco tinnunculus,Common Kestrel,Pere Josa,Spain,2026-01-15,09:00,38,A,call,field recording,no,[],44100,https://xeno-canto.org/1076829,https://xeno-canto.org/1076829/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1076829.mp3
1076828,Falco tinnunculus,Common Kestrel,Pere Josa,Spain,2026-01-15,09:00,25,A,call,field recording,no,[],44100,https://xeno-canto.org/1076828,https://xeno-canto.org/1076828/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/falco_tinnunculus/XC1076828.mp3
