species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
fringilla_coelebs,1089391,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1089391.mp3,1.0,4.0,-37.98998347708793,-37.98998347708793,species,Fringilla coelebs,Common Chaffinch,0.8737375140190125,0.8737375140190125,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1089391__s1000__e4000.wav,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,1.0,4.0,-17.638063453023626,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.6240651607513428,0.6240651607513428,species,0,,,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,4.0,7.0,-15.336158494356836,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.7869577407836914,0.7869577407836914,species,0,,,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,10.0,13.0,-20.445549111599945,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.8271856307983398,0.8271856307983398,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086254__s10000__e13000.wav,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,16.0,19.0,-29.830408437821312,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.7089530229568481,0.7089530229568481,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086254__s16000__e19000.wav,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,19.0,22.0,-20.36043527948193,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.9919209480285645,0.9919209480285645,species,0,,,
fringilla_coelebs,1086254,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3,25.0,28.0,-20.70042865577287,-35.62754855732185,species,Fringilla coelebs,Common Chaffinch,0.735135555267334,0.735135555267334,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086254__s25000__e28000.wav,
fringilla_coelebs,1086253,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3,4.0,7.0,-30.439742317340375,-30.582015334846833,drop,Fringilla coelebs,Common Chaffinch,0.1115354374051094,0.1115354374051094,drop,0,,,
fringilla_coelebs,1086253,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3,7.0,10.0,-20.725913513634872,-30.582015334846833,drop,Fireworks,Fireworks,0.9544256329536438,0.9544256329536438,drop,0,,,
fringilla_coelebs,1086253,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3,10.0,13.0,-19.995064163259116,-30.582015334846833,species,Fringilla coelebs,Common Chaffinch,0.632241427898407,0.632241427898407,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086253__s10000__e13000.wav,
fringilla_coelebs,1086253,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3,13.0,16.0,-20.505724796019443,-30.582015334846833,species,Fringilla coelebs,Common Chaffinch,0.699859082698822,0.699859082698822,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086253__s13000__e16000.wav,
fringilla_coelebs,1086253,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3,16.0,19.0,-18.731464352699973,-30.582015334846833,species,Fringilla coelebs,Common Chaffinch,0.8804654479026794,0.8804654479026794,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1086253__s16000__e19000.wav,
fringilla_coelebs,1065478,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1065478.mp3,1.0,4.0,-26.76076300922191,-27.851835135278996,species,Fringilla coelebs,Common Chaffinch,0.9897304773330688,0.9897304773330688,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1065478__s1000__e4000.wav,
fringilla_coelebs,1062222,Fringilla coelebs,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1062222.mp3,1.0,4.0,-31.3571128407086,-31.608031296415597,species,Fringilla coelebs,Common Chaffinch,0.9612783193588257,0.9612783193588257,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/fringilla_coelebs/XC1062222__s1000__e4000.wav,
