xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089391,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,4,A,flight call,field recording,no,[],48000,https://xeno-canto.org/1089391,https://xeno-canto.org/1089391/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1089391.mp3
1086254,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2026-03-07,15:00,28,A,"song, displaying",field recording,yes,[],48000,https://xeno-canto.org/1086254,https://xeno-canto.org/1086254/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086254.mp3
1086253,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2026-03-07,15:00,24,A,"song, displaying",field recording,yes,[],48000,https://xeno-canto.org/1086253,https://xeno-canto.org/1086253/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1086253.mp3
1065478,Fringilla coelebs,Common Chaffinch,Mark Plummer,United Kingdom,2025-12-14,08:08,8,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1065478,https://xeno-canto.org/1065478/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1065478.mp3
1062222,Fringilla coelebs,Common Chaffinch,Mark Plummer,United Kingdom,2025-11-28,12:40,16,A,"call, flight call",field recording,no,[],32000,https://xeno-canto.org/1062222,https://xeno-canto.org/1062222/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC1062222.mp3
977045,Fringilla coelebs,Common Chaffinch,Shaun Micklewright,United Kingdom,2025-03-02,09:00,40,A,song,field recording,yes,"[""Corvus corone""]",44100,https://xeno-canto.org/977045,https://xeno-canto.org/977045/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC977045.mp3
910422,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2024-06-02,21:00,21,A,song,field recording,no,"[""Alauda arvensis""]",44100,https://xeno-canto.org/910422,https://xeno-canto.org/910422/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC910422.mp3
842904,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2023-11-11,07:30,27,A,call,field recording,no,[],44100,https://xeno-canto.org/842904,https://xeno-canto.org/842904/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC842904.mp3
805310,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2023-05-17,13:10,59,A,"song, footsteps, human voices, aircraft noise",field recording,no,"[""Phylloscopus trochilus"", ""Chroicocephalus ridibundus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/805310,https://xeno-canto.org/805310/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC805310.mp3
805307,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2023-05-17,10:04,50,A,"song, footsteps, human voices, ",field recording,no,"[""Cuculus canorus"", ""Phylloscopus trochilus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/805307,https://xeno-canto.org/805307/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/fringilla_coelebs/XC805307.mp3
