xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
971285,Garrulus glandarius,Eurasian Jay,Mark Plummer,United Kingdom,2024-01-29,14:32,5,A,call,field recording,no,"[""Parus major""]",48000,https://xeno-canto.org/971285,https://xeno-canto.org/971285/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC971285.mp3
894405,Garrulus glandarius,Eurasian Jay,David Bissett,United Kingdom,2024-04-08,07:00,16,A,call,field recording,yes,"[""Troglodytes troglodytes""]",96000,https://xeno-canto.org/894405,https://xeno-canto.org/894405/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC894405.mp3
683600,Garrulus glandarius,Eurasian Jay,Scott Wotherspoon,United Kingdom,2021-09-19,09:30,28,A,call,field recording,yes,[],44100,https://xeno-canto.org/683600,https://xeno-canto.org/683600/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC683600.mp3
32380,Garrulus glandarius,Eurasian Jay,Stuart Fisher,United Kingdom,2009-04-10,09:00,9,A,call,field recording,unknown,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/32380,https://xeno-canto.org/32380/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC32380.mp3
1089334,Garrulus glandarius,Eurasian Jay,Olivier SWIFT,France,2026-03-19,19:10,32,A,call,field recording,yes,"[""Turdus philomelos"", ""Turdus merula"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/1089334,https://xeno-canto.org/1089334/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1089334.mp3
1088903,Garrulus glandarius,Eurasian Jay,Mats Olsson,Sweden,2026-03-15,11:05,43,A,subsong,field recording,yes,[],44100,https://xeno-canto.org/1088903,https://xeno-canto.org/1088903/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1088903.mp3
1088899,Garrulus glandarius,Eurasian Jay,Mats Olsson,Sweden,2026-03-15,11:20,14,A,call,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/1088899,https://xeno-canto.org/1088899/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1088899.mp3
1084324,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2026-03-01,15:00,26,A,call,field recording,no,[],44100,https://xeno-canto.org/1084324,https://xeno-canto.org/1084324/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1084324.mp3
1076631,Garrulus glandarius,Eurasian Jay,Filippo Ceccolini,Italy,2026-02-01,15:30,32,A,call,field recording,no,"[""Cyanistes caeruleus""]",48000,https://xeno-canto.org/1076631,https://xeno-canto.org/1076631/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1076631.mp3
1075821,Garrulus glandarius,Eurasian Jay,Marc Anderson,Spain,2025-05-16,07:30,36,A,call,field recording,no,[],48000,https://xeno-canto.org/1075821,https://xeno-canto.org/1075821/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1075821.mp3
1063204,Garrulus glandarius,Eurasian Jay,Jacobo Ramil Millarengo,Spain,2025-12-06,11:00,40,A,call,field recording,no,[],44100,https://xeno-canto.org/1063204,https://xeno-canto.org/1063204/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1063204.mp3
1049184,Garrulus glandarius,Eurasian Jay,João Tomás,Spain,2025-10-13,10:47,57,A,"alarm call, call",field recording,no,"[""Fringilla coelebs"", ""Cyanopica cooki"", ""Lullula arborea"", ""Sturnus unicolor"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/1049184,https://xeno-canto.org/1049184/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1049184.mp3
1017972,Garrulus glandarius,Eurasian Jay,Jordi Calvet,Spain,2025-07-17,08:00,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1017972,https://xeno-canto.org/1017972/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC1017972.mp3
960497,Garrulus glandarius,Eurasian Jay,Henk Schreuders,Netherlands,2025-01-11,12:35,38,A,call,field recording,yes,"[""Sitta europaea"", ""Parus major""]",48000,https://xeno-canto.org/960497,https://xeno-canto.org/960497/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC960497.mp3
959123,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2025-01-05,16:32,36,A,alarm call,field recording,no,"[""Fringilla coelebs"", ""Aegithalos caudatus""]",44100,https://xeno-canto.org/959123,https://xeno-canto.org/959123/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC959123.mp3
945806,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2024-11-04,09:20,53,A,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Pica pica"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/945806,https://xeno-canto.org/945806/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC945806.mp3
938020,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2024-10-06,10:50,29,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/938020,https://xeno-canto.org/938020/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC938020.mp3
934870,Garrulus glandarius,Eurasian Jay,Johannes Dag Mayer,Germany,2024-01-14,08:39,12,A,"alarm call, call",field recording,no,[],48000,https://xeno-canto.org/934870,https://xeno-canto.org/934870/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC934870.mp3
931635,Garrulus glandarius,Eurasian Jay,Romuald Mikusek,Poland,2024-09-01,05:30,20,A,call,field recording,no,"[""Phylloscopus collybita""]",24000,https://xeno-canto.org/931635,https://xeno-canto.org/931635/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC931635.mp3
927421,Garrulus glandarius,Eurasian Jay,Ulf Elman,Sweden,2017-03-04,00:00,8,A,call,field recording,unknown,[],48000,https://xeno-canto.org/927421,https://xeno-canto.org/927421/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC927421.mp3
927404,Garrulus glandarius,Eurasian Jay,Ulf Elman,Sweden,2017-04-23,00:00,37,A,call,field recording,unknown,"[""Turdus philomelos"", ""Dendrocopos major""]",48000,https://xeno-canto.org/927404,https://xeno-canto.org/927404/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC927404.mp3
925285,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2024-08-01,06:00,46,A,call,field recording,no,[],44100,https://xeno-canto.org/925285,https://xeno-canto.org/925285/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC925285.mp3
925198,Garrulus glandarius,Eurasian Jay,Jorge Leitão,Portugal,2024-08-04,11:35,32,A,call,field recording,yes,"[""Certhia brachydactyla""]",44100,https://xeno-canto.org/925198,https://xeno-canto.org/925198/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC925198.mp3
902468,Garrulus glandarius,Eurasian Jay,Jack Berteau,France,2024-03-18,12:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/902468,https://xeno-canto.org/902468/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/garrulus_glandarius/XC902468.mp3
