xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
687539,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Ireland,2021-07-26,08:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/687539,https://xeno-canto.org/687539/download,
657553,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-06-14,19:00,10,A,song,field recording,yes,[],48000,https://xeno-canto.org/657553,https://xeno-canto.org/657553/download,
657552,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-06-14,20:00,5,A,"call, mate-feeding",field recording,yes,[],48000,https://xeno-canto.org/657552,https://xeno-canto.org/657552/download,
649421,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-18,04:30,31,A,call,field recording,yes,[],48000,https://xeno-canto.org/649421,https://xeno-canto.org/649421/download,
649420,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-18,04:40,19,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/649420,https://xeno-canto.org/649420/download,
647519,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-12,05:00,30,A,song,field recording,yes,[],48000,https://xeno-canto.org/647519,https://xeno-canto.org/647519/download,
647327,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-11,07:00,8,A,"call, bill snapping",field recording,yes,[],48000,https://xeno-canto.org/647327,https://xeno-canto.org/647327/download,
647325,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-11,07:00,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/647325,https://xeno-canto.org/647325/download,
647324,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-11,05:00,57,A,"call, song",field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/647324,https://xeno-canto.org/647324/download,
618215,Hirundo rustica,Barn Swallow,david m,United Kingdom,2020-07-24,07:48,22,A,call,field recording,yes,"[""Columba palumbus"", ""Prunella modularis"", ""Delichon urbicum"", ""Streptopelia decaocto""]",48000,https://xeno-canto.org/618215,https://xeno-canto.org/618215/download,
598655,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2020-07-03,07:00,13,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/598655,https://xeno-canto.org/598655/download,
598651,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2016-05-20,13:00,52,A,song,field recording,yes,"[""Larus fuscus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/598651,https://xeno-canto.org/598651/download,
574550,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2020-07-09,06:00,33,A,"begging call, wing flaps",field recording,yes,[],48000,https://xeno-canto.org/574550,https://xeno-canto.org/574550/download,
184539,Hirundo rustica,Barn Swallow,david m,United Kingdom,2014-06-23,04:28,59,A,call,field recording,yes,[],48000,https://xeno-canto.org/184539,https://xeno-canto.org/184539/download,
157316,Hirundo rustica,Barn Swallow,david m,United Kingdom,2011-08-04,05:20,46,A,song,field recording,yes,[],48000,https://xeno-canto.org/157316,https://xeno-canto.org/157316/download,
1043387,Hirundo rustica,Barn Swallow,Beatrix Saadi-Varchmin,Germany,2024-04-28,09:35,22,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/1043387,https://xeno-canto.org/1043387/download,
1029121,Hirundo rustica,Barn Swallow,Romuald Mikusek,Poland,2025-08-14,20:30,9,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/1029121,https://xeno-canto.org/1029121/download,
1029079,Hirundo rustica,Barn Swallow,Romuald Mikusek,Poland,2025-08-14,20:00,36,A,call,field recording,yes,[],48000,https://xeno-canto.org/1029079,https://xeno-canto.org/1029079/download,
1020499,Hirundo rustica,Barn Swallow,Aku Kalliomäki,Finland,2025-07-25,19:30,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/1020499,https://xeno-canto.org/1020499/download,
994579,Hirundo rustica,Barn Swallow,João Tomás,Spain,2025-05-04,12:30,40,A,"alarm call, flight call",field recording,yes,"[""Passer domesticus""]",44100,https://xeno-canto.org/994579,https://xeno-canto.org/994579/download,
994575,Hirundo rustica,Barn Swallow,João Tomás,Spain,2025-05-04,12:20,5,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/994575,https://xeno-canto.org/994575/download,
988212,Hirundo rustica,Barn Swallow,Esperanza Poveda,Spain,2025-03-24,?,52,A,"call, flight call, song",in the hand,yes,[],44100,https://xeno-canto.org/988212,https://xeno-canto.org/988212/download,
934498,Hirundo rustica,Barn Swallow,Aku Kalliomäki,Finland,2024-09-17,18:30,34,A,"call, flight call",field recording,yes,[],96000,https://xeno-canto.org/934498,https://xeno-canto.org/934498/download,
926254,Hirundo rustica,Barn Swallow,Jarek Matusiak,Poland,2024-08-04,19:00,53,A,"begging call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/926254,https://xeno-canto.org/926254/download,
925670,Hirundo rustica,Barn Swallow,Ulf Elman,Sweden,2024-08-06,14:20,10,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/925670,https://xeno-canto.org/925670/download,
922371,Hirundo rustica,Barn Swallow,Ed,Netherlands,2024-07-21,09:00,54,A,song,field recording,yes,[],48000,https://xeno-canto.org/922371,https://xeno-canto.org/922371/download,
922365,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,08:08,9,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922365,https://xeno-canto.org/922365/download,
922362,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,06:54,21,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922362,https://xeno-canto.org/922362/download,
922360,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,06:44,44,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922360,https://xeno-canto.org/922360/download,
