xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1088882,Motacilla alba,White Wagtail,Thierry THOMAS,France,2026-03-17,09:44,18,A,song,field recording,no,[],44100,https://xeno-canto.org/1088882,https://xeno-canto.org/1088882/download,
1088592,Motacilla alba,White Wagtail,Petter Westberg,Sweden,2025-06-15,05:30,48,A,call,field recording,yes,[],96000,https://xeno-canto.org/1088592,https://xeno-canto.org/1088592/download,
1083522,Motacilla alba,White Wagtail,David Darrell-Lambert,United Kingdom,2017-09-29,11:00,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/1083522,https://xeno-canto.org/1083522/download,
1063932,Motacilla alba,White Wagtail,João Tomás,Portugal,2025-12-11,7:50,8,A,"call, flight call",field recording,yes,"[""Fringilla coelebs"", ""Corvus corone"", ""Mareca strepera""]",44100,https://xeno-canto.org/1063932,https://xeno-canto.org/1063932/download,
1052680,Motacilla alba,White Wagtail,Christian Kerihuel,France,2025-11-05,11:30,15,A,flight call,field recording,no,[],32000,https://xeno-canto.org/1052680,https://xeno-canto.org/1052680/download,
953710,Motacilla alba,White Wagtail,João Tomás,Spain,2024-12-06,8:25,5,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/953710,https://xeno-canto.org/953710/download,
941739,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2017-05-05,00:00,4,A,call,field recording,unknown,[],48000,https://xeno-canto.org/941739,https://xeno-canto.org/941739/download,
941738,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2017-05-05,00:00,33,A,call,field recording,unknown,[],48000,https://xeno-canto.org/941738,https://xeno-canto.org/941738/download,
925672,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2024-08-06,14:32,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/925672,https://xeno-canto.org/925672/download,
923532,Motacilla alba,White Wagtail,Lennart Jeppsson,Sweden,2024-05-11,21:00,42,A,call,field recording,yes,"[""Turdus merula"", ""Luscinia luscinia"", ""Hirundo rustica""]",48000,https://xeno-canto.org/923532,https://xeno-canto.org/923532/download,
813162,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-06-28,05:00,33,A,call,field recording,no,[],44100,https://xeno-canto.org/813162,https://xeno-canto.org/813162/download,
808862,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-06-14,07:30,25,A,call,field recording,yes,[],48000,https://xeno-canto.org/808862,https://xeno-canto.org/808862/download,
799205,Motacilla alba,White Wagtail,Francesco Sottile,Italy,2023-05-08,15:27,20,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/799205,https://xeno-canto.org/799205/download,
795253,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-04-20,18:00,6,A,flight call,field recording,no,[],44100,https://xeno-canto.org/795253,https://xeno-canto.org/795253/download,
794697,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-04-21,07:30,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/794697,https://xeno-canto.org/794697/download,
758197,Motacilla alba,White Wagtail,W. Agster,Germany,2022-06-01,08:00,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/758197,https://xeno-canto.org/758197/download,
688060,Motacilla alba,White Wagtail,Niels Van Doninck,Norway,2021-06-11,14:40,23,A,call,field recording,yes,"[""Tringa totanus"", ""Acrocephalus schoenobaenus"", ""Larus canus""]",48000,https://xeno-canto.org/688060,https://xeno-canto.org/688060/download,
671385,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2021-08-31,06:30,9,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/671385,https://xeno-canto.org/671385/download,
671384,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2021-08-31,06:30,8,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/671384,https://xeno-canto.org/671384/download,
664681,Motacilla alba,White Wagtail,Leander Khil,Austria,2021-07-24,06:00,26,A,alarm call,field recording,yes,"[""Picus viridis""]",48000,https://xeno-canto.org/664681,https://xeno-canto.org/664681/download,
659807,Motacilla alba,White Wagtail,Micha Luhn,Germany,2021-06-27,12:45,54,A,song,field recording,yes,"[""Alauda arvensis"", ""Fringilla coelebs"", ""Sylvia atricapilla"", ""Dendrocopos major""]",48000,https://xeno-canto.org/659807,https://xeno-canto.org/659807/download,
657435,Motacilla alba,White Wagtail,Susanne Kuijpers,Netherlands,2021-06-18,08:44,19,A,song,field recording,yes,"[""Curruca communis""]",44100,https://xeno-canto.org/657435,https://xeno-canto.org/657435/download,
644775,Motacilla alba,White Wagtail,Thomas Bergman,Sweden,2021-05-02,06:04,33,A,call,field recording,yes,"[""Emberiza schoeniclus""]",48000,https://xeno-canto.org/644775,https://xeno-canto.org/644775/download,
632990,Motacilla alba,White Wagtail,Markus Jacobs,Germany,2021-03-28,11:20,17,A,call,field recording,yes,"[""Fringilla coelebs"", ""Sitta europaea""]",44100,https://xeno-canto.org/632990,https://xeno-canto.org/632990/download,
609238,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,06:00,55,A,"song, wings",field recording,unknown,[],32000,https://xeno-canto.org/609238,https://xeno-canto.org/609238/download,
