xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1082006,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2009-03-27,08:00,4,A,call,field recording,yes,[],44100,https://xeno-canto.org/1082006,https://xeno-canto.org/1082006/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1082006.mp3
1082005,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2008-05-10,08:00,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1082005,https://xeno-canto.org/1082005/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1082005.mp3
1082004,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2008-05-10,08:00,31,A,call,field recording,yes,[],44100,https://xeno-canto.org/1082004,https://xeno-canto.org/1082004/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1082004.mp3
1082003,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2010-11-07,08:00,8,A,call,field recording,yes,[],44100,https://xeno-canto.org/1082003,https://xeno-canto.org/1082003/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1082003.mp3
1081012,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-05-13,07:00,4,A,call,field recording,yes,[],48000,https://xeno-canto.org/1081012,https://xeno-canto.org/1081012/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081012.mp3
1081011,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-05-13,07:00,40,A,call,field recording,yes,[],48000,https://xeno-canto.org/1081011,https://xeno-canto.org/1081011/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081011.mp3
1081010,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-05-19,05:00,2,A,call,field recording,yes,[],48000,https://xeno-canto.org/1081010,https://xeno-canto.org/1081010/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081010.mp3
1081009,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2021-01-15,09:00,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/1081009,https://xeno-canto.org/1081009/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081009.mp3
1081004,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-05-27,04:30,21,A,song,field recording,yes,[],48000,https://xeno-canto.org/1081004,https://xeno-canto.org/1081004/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081004.mp3
1081003,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-05-27,04:30,3,A,song,field recording,yes,[],48000,https://xeno-canto.org/1081003,https://xeno-canto.org/1081003/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081003.mp3
1081002,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2016-04-08,07:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/1081002,https://xeno-canto.org/1081002/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1081002.mp3
1053205,Motacilla cinerea,Grey Wagtail,Dean Cornish,United Kingdom,2025-10-31,07:00,3,A,"call, flight call",field recording,no,[],24000,https://xeno-canto.org/1053205,https://xeno-canto.org/1053205/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1053205.mp3
1052765,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2025-11-06,15:00,7,A,flight call,field recording,yes,[],32000,https://xeno-canto.org/1052765,https://xeno-canto.org/1052765/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1052765.mp3
1052764,Motacilla cinerea,Grey Wagtail,David Darrell-Lambert,United Kingdom,2025-11-06,15:00,9,A,flight call,field recording,yes,[],32000,https://xeno-canto.org/1052764,https://xeno-canto.org/1052764/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC1052764.mp3
956555,Motacilla cinerea,Grey Wagtail,Paul Lynch,Ireland,2024-12-23,11:00,32,A,song,field recording,yes,[],44100,https://xeno-canto.org/956555,https://xeno-canto.org/956555/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC956555.mp3
942972,Motacilla cinerea,Grey Wagtail,Arjun Dutta,United Kingdom,2024-10-24,07:00,17,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/942972,https://xeno-canto.org/942972/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC942972.mp3
879389,Motacilla cinerea,Grey Wagtail,Mark Plummer,United Kingdom,2024-03-04,06:05,3,A,flight call,field recording,no,[],22050,https://xeno-canto.org/879389,https://xeno-canto.org/879389/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC879389.mp3
809340,Motacilla cinerea,Grey Wagtail,Anthony McGeehan ,United Kingdom,2023-06-16,11:00,27,A,call,in the hand,yes,[],48000,https://xeno-canto.org/809340,https://xeno-canto.org/809340/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC809340.mp3
767188,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-11-18,07:30,23,A,flight call,field recording,no,[],44100,https://xeno-canto.org/767188,https://xeno-canto.org/767188/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC767188.mp3
767186,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-11-18,07:30,23,A,flight call,field recording,no,[],44100,https://xeno-canto.org/767186,https://xeno-canto.org/767186/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC767186.mp3
760245,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-09-21,07:30,46,A,flight call,field recording,no,[],44100,https://xeno-canto.org/760245,https://xeno-canto.org/760245/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC760245.mp3
760244,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-09-18,07:30,48,A,flight call,field recording,no,[],44100,https://xeno-canto.org/760244,https://xeno-canto.org/760244/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC760244.mp3
760243,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-09-17,07:30,24,A,flight call,field recording,no,[],44100,https://xeno-canto.org/760243,https://xeno-canto.org/760243/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC760243.mp3
760242,Motacilla cinerea,Grey Wagtail,Irish Wildlife Sounds,Ireland,2022-09-16,07:30,22,A,flight call,field recording,no,[],44100,https://xeno-canto.org/760242,https://xeno-canto.org/760242/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC760242.mp3
754196,Motacilla cinerea,Grey Wagtail,Paul Kelly,Ireland,2022-09-28,08:00,13,A,flight call,field recording,no,[],44100,https://xeno-canto.org/754196,https://xeno-canto.org/754196/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC754196.mp3
750636,Motacilla cinerea,Grey Wagtail,Paul Kelly,Ireland,2022-09-25,08:00,6,A,flight call,field recording,no,[],44100,https://xeno-canto.org/750636,https://xeno-canto.org/750636/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC750636.mp3
750114,Motacilla cinerea,Grey Wagtail,Anthony McGeehan ,United Kingdom,2022-09-19,08:00,9,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/750114,https://xeno-canto.org/750114/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC750114.mp3
750012,Motacilla cinerea,Grey Wagtail,Paul Kelly,Ireland,2022-09-15,06:30,5,A,flight call,field recording,no,[],44100,https://xeno-canto.org/750012,https://xeno-canto.org/750012/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC750012.mp3
749828,Motacilla cinerea,Grey Wagtail,Paul Kelly,Ireland,2022-09-14,06:30,5,A,flight call,field recording,no,[],44100,https://xeno-canto.org/749828,https://xeno-canto.org/749828/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/motacilla_cinerea/XC749828.mp3
