species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
muscicapa_striata,1033740,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1033740.mp3,1.0,4.0,-23.14821490170842,-23.14821490170842,drop,Prunella modularis,Dunnock,0.44450294971466064,0.44450294971466064,drop,0,,,
muscicapa_striata,1031411,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1031411.mp3,1.0,4.0,-18.441812003907362,-18.441812003907362,species,Muscicapa striata,Spotted Flycatcher,0.5172531604766846,0.5172531604766846,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1031411__s1000__e4000.wav,
muscicapa_striata,1031410,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1031410.mp3,4.0,7.0,-30.87112667421185,-34.354228024890865,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/muscicapa_striata/XC1031410__s4000__e7000.wav,
muscicapa_striata,1031410,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1031410.mp3,10.0,13.0,-34.14623206263713,-34.354228024890865,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/muscicapa_striata/XC1031410__s10000__e13000.wav,
muscicapa_striata,1031410,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1031410.mp3,13.0,16.0,-33.60571136078816,-34.354228024890865,drop,Coccothraustes coccothraustes,Hawfinch,0.2976750135421753,0.2976750135421753,drop,0,,,
muscicapa_striata,1031409,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1031409.mp3,1.0,4.0,-34.682515327902564,-34.682515327902564,drop,Coccothraustes coccothraustes,Hawfinch,0.36631107330322266,0.36631107330322266,drop,0,,,
muscicapa_striata,1028905,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1028905.mp3,1.0,4.0,-48.43722154411189,-40.0,species,Muscicapa striata,Spotted Flycatcher,0.5944534540176392,0.5944534540176392,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1028905__s1000__e4000.wav,
muscicapa_striata,1016168,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1016168.mp3,1.0,4.0,-36.26540680376993,-40.0,drop,Regulus ignicapilla,Common Firecrest,0.2613346576690674,0.2613346576690674,drop,0,,,
muscicapa_striata,1016168,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1016168.mp3,4.0,7.0,-39.242909756268666,-40.0,drop,Regulus satrapa,Golden-crowned Kinglet,0.2533869743347168,0.2533869743347168,drop,0,,,
muscicapa_striata,1011457,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1011457.mp3,4.0,7.0,-44.72659549265729,-40.0,drop,Prunella modularis,Dunnock,0.24698184430599213,0.24698184430599213,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,1.0,4.0,-32.188871213796595,-34.03102865282279,drop,Carduelis carduelis,European Goldfinch,0.1436077207326889,0.1436077207326889,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,4.0,7.0,-33.47529641254354,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.38621005415916443,0.38621005415916443,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1009474__s4000__e7000.wav,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,16.0,19.0,-32.68082764305628,-34.03102865282279,drop,Aegithalos caudatus,Long-tailed Tit,0.16812840104103088,0.16812840104103088,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,19.0,22.0,-30.940183409510556,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.3236822783946991,0.3236822783946991,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1009474__s19000__e22000.wav,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,22.0,25.0,-30.80153843366673,-34.03102865282279,drop,Columba palumbus,Common Wood-Pigeon,0.6799671649932861,0.6799671649932861,drop,0,,,
muscicapa_striata,1009474,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009474.mp3,25.0,28.0,-30.29122256849437,-34.03102865282279,species,Muscicapa striata,Spotted Flycatcher,0.734824001789093,0.734824001789093,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1009474__s25000__e28000.wav,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,1.0,4.0,-29.935692539821297,-30.982437537908933,species,Muscicapa striata,Spotted Flycatcher,0.32516688108444214,0.32516688108444214,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1009473__s1000__e4000.wav,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,16.0,19.0,-30.77026825740201,-30.982437537908933,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/muscicapa_striata/XC1009473__s16000__e19000.wav,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,19.0,22.0,-28.793370492562417,-30.982437537908933,drop,Carduelis carduelis,European Goldfinch,0.5627468228340149,0.5627468228340149,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,22.0,25.0,-30.860178123239756,-30.982437537908933,drop,Carduelis carduelis,European Goldfinch,0.4102177321910858,0.4102177321910858,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,25.0,28.0,-29.13942815447583,-30.982437537908933,drop,Bombycilla cedrorum,Cedar Waxwing,0.9562812447547913,0.9562812447547913,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,28.0,31.0,-28.920954260664715,-30.982437537908933,drop,Carduelis carduelis,European Goldfinch,0.9016692638397217,0.9016692638397217,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,31.0,34.0,-28.006077643336642,-30.982437537908933,drop,Muscicapa striata,Spotted Flycatcher,0.1100817620754242,0.1100817620754242,drop,0,,,
muscicapa_striata,1009473,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009473.mp3,34.0,37.0,-27.885810147614535,-30.982437537908933,drop,Bombycilla cedrorum,Cedar Waxwing,0.87668776512146,0.87668776512146,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,1.0,4.0,-30.3002758113016,-30.947675306618308,drop,Carduelis carduelis,European Goldfinch,0.740403950214386,0.740403950214386,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,4.0,7.0,-29.93239523643352,-30.947675306618308,drop,Carduelis carduelis,European Goldfinch,0.47157150506973267,0.47157150506973267,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,13.0,16.0,-30.90755220352826,-30.947675306618308,species,Muscicapa striata,Spotted Flycatcher,0.6782101988792419,0.6782101988792419,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC1009471__s13000__e16000.wav,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,19.0,22.0,-30.766341753730615,-30.947675306618308,drop,Carduelis carduelis,European Goldfinch,0.580470085144043,0.580470085144043,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,22.0,25.0,-28.7611162081557,-30.947675306618308,drop,Carduelis carduelis,European Goldfinch,0.6888347864151001,0.6888347864151001,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,28.0,31.0,-29.22437146629175,-30.947675306618308,drop,Bombycilla cedrorum,Cedar Waxwing,0.7384060621261597,0.7384060621261597,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,31.0,34.0,-29.04164146435881,-30.947675306618308,drop,Carduelis carduelis,European Goldfinch,0.7436288595199585,0.7436288595199585,drop,0,,,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,34.0,37.0,-27.89509859401553,-30.947675306618308,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/muscicapa_striata/XC1009471__s34000__e37000.wav,
muscicapa_striata,1009471,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC1009471.mp3,37.0,40.0,-28.284910130406864,-30.947675306618308,drop,Bombycilla cedrorum,Cedar Waxwing,0.9726411700248718,0.9726411700248718,drop,0,,,
muscicapa_striata,998524,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC998524.mp3,1.0,4.0,-40.49546437604086,-40.0,drop,Muscicapa striata,Spotted Flycatcher,0.15220847725868225,0.15220847725868225,drop,0,,,
muscicapa_striata,933144,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC933144.mp3,1.0,4.0,-58.60361399257393,-40.0,drop,Turdus iliacus,Redwing,0.2087145745754242,0.2087145745754242,drop,0,,,
muscicapa_striata,931557,Muscicapa striata,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/muscicapa_striata/XC931557.mp3,1.0,4.0,-49.83876303135026,-40.0,species,Muscicapa striata,Spotted Flycatcher,0.3337230384349823,0.3337230384349823,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/muscicapa_striata/XC931557__s1000__e4000.wav,
