xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
749579,Oenanthe oenanthe,Northern Wheatear,Paul Kelly,Ireland,2022-09-18,17:00,6,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/749579,https://xeno-canto.org/749579/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC749579.mp3
596636,Oenanthe oenanthe,Northern Wheatear,Simon Elliott,United Kingdom,1992-05-26,03:30,50,A,"imitation, song, mimicry/imitation",field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/596636,https://xeno-canto.org/596636/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC596636.mp3
596631,Oenanthe oenanthe,Northern Wheatear,Simon Elliott,United Kingdom,2018-05-25,08:30,18,A,call,field recording,yes,[],48000,https://xeno-canto.org/596631,https://xeno-canto.org/596631/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC596631.mp3
325651,Oenanthe oenanthe,Northern Wheatear,Fraser Simpson,United Kingdom,2016-06-08,11:24,59,A,song,field recording,yes,"[""Anthus pratensis""]",44100,https://xeno-canto.org/325651,https://xeno-canto.org/325651/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC325651.mp3
1008778,Oenanthe oenanthe,Northern Wheatear,Jordi Calvet,Spain,2025-06-17,10:00,15,A,call,field recording,yes,[],48000,https://xeno-canto.org/1008778,https://xeno-canto.org/1008778/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC1008778.mp3
1008472,Oenanthe oenanthe,Northern Wheatear,Lars Edenius,Sweden,2025-06-22,06:00,26,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1008472,https://xeno-canto.org/1008472/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC1008472.mp3
994974,Oenanthe oenanthe,Northern Wheatear,Johan Södercrantz,Sweden,2025-05-01,09:21,9,A,song,field recording,no,"[""Motacilla alba"", ""Somateria mollissima"", ""Larus canus""]",48000,https://xeno-canto.org/994974,https://xeno-canto.org/994974/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC994974.mp3
994973,Oenanthe oenanthe,Northern Wheatear,Johan Södercrantz,Sweden,2025-05-01,09:19,25,A,song,field recording,no,"[""Anthus pratensis"", ""Somateria mollissima"", ""Larus canus""]",48000,https://xeno-canto.org/994973,https://xeno-canto.org/994973/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC994973.mp3
982401,Oenanthe oenanthe,Northern Wheatear,Benjamin Drillat,France,2024-05-11,06:30,53,A,song,field recording,unknown,[],24000,https://xeno-canto.org/982401,https://xeno-canto.org/982401/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC982401.mp3
979449,Oenanthe oenanthe,Northern Wheatear,Hannu Varkki,Finland,2023-06-21,07:01,54,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/979449,https://xeno-canto.org/979449/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC979449.mp3
911965,Oenanthe oenanthe,Northern Wheatear,Leo,Germany,2024-06-05,06:30,45,A,song,field recording,yes,"[""Cuculus canorus"", ""Fulica atra"", ""Chroicocephalus ridibundus"", ""Phasianus colchicus""]",96000,https://xeno-canto.org/911965,https://xeno-canto.org/911965/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC911965.mp3
838575,Oenanthe oenanthe,Northern Wheatear,Frode Falkenberg,Norway,2023-05-26,09:20,3,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/838575,https://xeno-canto.org/838575/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC838575.mp3
803318,Oenanthe oenanthe,Northern Wheatear,Lars Edenius,Sweden,2023-05-24,08:00,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/803318,https://xeno-canto.org/803318/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC803318.mp3
800033,Oenanthe oenanthe,Northern Wheatear,Ulf Elman,Sweden,2023-05-11,07:10,31,A,song,field recording,unknown,"[""Jynx torquilla""]",48000,https://xeno-canto.org/800033,https://xeno-canto.org/800033/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC800033.mp3
796766,Oenanthe oenanthe,Northern Wheatear,Guillaume Bigayon,France,2023-03-24,11:00,24,A,song,field recording,yes,[],44100,https://xeno-canto.org/796766,https://xeno-canto.org/796766/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC796766.mp3
775613,Oenanthe oenanthe,Northern Wheatear,Ulf Elman,Sweden,2018-05-16,00:00,29,A,song,field recording,unknown,"[""Curruca curruca"", ""Parus major""]",48000,https://xeno-canto.org/775613,https://xeno-canto.org/775613/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC775613.mp3
769228,Oenanthe oenanthe,Northern Wheatear,Michel Veldt,Netherlands,2021-04-14,8:47,48,A,song,field recording,yes,[],48000,https://xeno-canto.org/769228,https://xeno-canto.org/769228/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC769228.mp3
769227,Oenanthe oenanthe,Northern Wheatear,Michel Veldt,Netherlands,2021-04-14,8:37,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/769227,https://xeno-canto.org/769227/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC769227.mp3
769226,Oenanthe oenanthe,Northern Wheatear,Michel Veldt,Netherlands,2021-04-14,8:32,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/769226,https://xeno-canto.org/769226/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC769226.mp3
730227,Oenanthe oenanthe,Northern Wheatear,Stanislas Wroza,France,2022-05-16,09:00,27,A,"call, song, subsong, buzz, interaction call",field recording,yes,[],44100,https://xeno-canto.org/730227,https://xeno-canto.org/730227/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC730227.mp3
730224,Oenanthe oenanthe,Northern Wheatear,Stanislas Wroza,France,2022-05-16,09:00,18,A,"song, song in flight",field recording,yes,[],48000,https://xeno-canto.org/730224,https://xeno-canto.org/730224/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC730224.mp3
730223,Oenanthe oenanthe,Northern Wheatear,Stanislas Wroza,France,2022-05-16,09:00,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/730223,https://xeno-canto.org/730223/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC730223.mp3
730221,Oenanthe oenanthe,Northern Wheatear,Stanislas Wroza,France,2022-05-16,09:00,30,A,song,field recording,yes,[],48000,https://xeno-canto.org/730221,https://xeno-canto.org/730221/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC730221.mp3
724009,Oenanthe oenanthe,Northern Wheatear,Camille Monnet,France,2022-05-14,14:00,34,A,call,field recording,yes,[],48000,https://xeno-canto.org/724009,https://xeno-canto.org/724009/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC724009.mp3
657939,Oenanthe oenanthe,Northern Wheatear,Lars Edenius,Sweden,2021-06-20,07:00,21,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/657939,https://xeno-canto.org/657939/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC657939.mp3
641768,Oenanthe oenanthe,Northern Wheatear,Marcel Gil Velasco,Spain,2021-04-22,09:30,23,A,song,field recording,yes,[],44100,https://xeno-canto.org/641768,https://xeno-canto.org/641768/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC641768.mp3
572202,Oenanthe oenanthe,Northern Wheatear,Mats Rellmar,Sweden,2020-06-18,07:00,44,A,call,field recording,yes,[],44100,https://xeno-canto.org/572202,https://xeno-canto.org/572202/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC572202.mp3
570425,Oenanthe oenanthe,Northern Wheatear,Regina Eidner,Germany,2020-04-26,06:50,36,A,song,field recording,yes,"[""Emberiza calandra""]",48000,https://xeno-canto.org/570425,https://xeno-canto.org/570425/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC570425.mp3
569080,Oenanthe oenanthe,Northern Wheatear,Stanislas Wroza,France,2020-06-08,7:00,6,A,"call, flight call, buzz call",field recording,yes,[],48000,https://xeno-canto.org/569080,https://xeno-canto.org/569080/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC569080.mp3
561033,Oenanthe oenanthe,Northern Wheatear,Benjamin Drillat,France,2020-05-21,17:30,18,A,"flight call, song",field recording,yes,[],44100,https://xeno-canto.org/561033,https://xeno-canto.org/561033/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC561033.mp3
486803,Oenanthe oenanthe,Northern Wheatear,AUDEVARD Aurélien,France,2019-07-12,13:30,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/486803,https://xeno-canto.org/486803/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC486803.mp3
486792,Oenanthe oenanthe,Northern Wheatear,AUDEVARD Aurélien,France,2019-07-12,14:00,15,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/486792,https://xeno-canto.org/486792/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC486792.mp3
470795,Oenanthe oenanthe,Northern Wheatear,Dries Van de Loock,Norway,2018-05-30,?,31,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/470795,https://xeno-canto.org/470795/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC470795.mp3
421765,Oenanthe oenanthe,Northern Wheatear,Lars Edenius,Sweden,2018-06-21,21:30,29,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/421765,https://xeno-canto.org/421765/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/oenanthe_oenanthe/XC421765.mp3
