species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
parus_major,1089557,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3,7.0,10.0,-23.867502307319874,-25.846073368544115,drop,Poecile palustris,Marsh Tit,0.19582806527614594,0.19582806527614594,drop,0,,,
parus_major,1089557,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3,10.0,13.0,-25.555195119184123,-25.846073368544115,drop,Poecile palustris,Marsh Tit,0.5442065000534058,0.5442065000534058,drop,0,,,
parus_major,1089557,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3,13.0,16.0,-23.764179399729667,-25.846073368544115,drop,Poecile palustris,Marsh Tit,0.5237881541252136,0.5237881541252136,drop,0,,,
parus_major,1089557,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3,16.0,19.0,-23.256120699982592,-25.846073368544115,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/parus_major/XC1089557__s16000__e19000.wav,
parus_major,1089557,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3,19.0,22.0,-21.833622254164236,-25.846073368544115,drop,Poecile palustris,Marsh Tit,0.1359347552061081,0.1359347552061081,drop,0,,,
parus_major,985185,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3,1.0,4.0,-37.09786027700781,-40.0,drop,Parus major,Great Tit,0.12218648940324783,0.12218648940324783,drop,0,,,
parus_major,985185,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3,4.0,7.0,-33.592991081432885,-40.0,species,Parus major,Great Tit,0.6367081999778748,0.6367081999778748,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/parus_major/XC985185__s4000__e7000.wav,
parus_major,985185,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3,10.0,13.0,-28.64053335867667,-40.0,species,Parus major,Great Tit,0.4779089689254761,0.4779089689254761,species,0,,,
parus_major,985185,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3,13.0,16.0,-31.377753305292142,-40.0,species,Parus major,Great Tit,0.3056698739528656,0.3056698739528656,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/parus_major/XC985185__s13000__e16000.wav,
parus_major,985185,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3,22.0,25.0,-31.36128943339239,-40.0,species,Parus major,Great Tit,0.41466498374938965,0.41466498374938965,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/parus_major/XC985185__s22000__e25000.wav,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,1.0,4.0,-28.670667589225623,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.22342653572559357,0.22342653572559357,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,4.0,7.0,-29.311028904145747,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.13053752481937408,0.13053752481937408,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,10.0,13.0,-27.858101809105584,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.20946744084358215,0.20946744084358215,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,13.0,16.0,-33.39665701601799,-35.28053541692162,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/parus_major/XC895153__s13000__e16000.wav,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,16.0,19.0,-28.15498307528157,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.6032342314720154,0.6032342314720154,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,22.0,25.0,-25.98511022572598,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.3528997600078583,0.3528997600078583,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,25.0,28.0,-33.77712588140018,-35.28053541692162,drop,Parus major,Great Tit,0.2058970034122467,0.2058970034122467,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,31.0,34.0,-27.05190714940914,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.2546705901622772,0.2546705901622772,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,37.0,40.0,-27.09974822897644,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.2505318820476532,0.2505318820476532,drop,0,,,
parus_major,895153,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3,43.0,46.0,-27.516651592909945,-35.28053541692162,drop,Acrocephalus palustris,Marsh Warbler,0.22542652487754822,0.22542652487754822,drop,0,,,
parus_major,793539,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3,13.0,16.0,-38.31231760949218,-40.0,drop,Emberiza cia,Rock Bunting,0.10105034708976746,0.10105034708976746,drop,0,,,
parus_major,793539,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3,16.0,19.0,-22.657135166485393,-40.0,drop,Tringa glareola,Wood Sandpiper,0.7570538520812988,0.7570538520812988,drop,0,,,
parus_major,793539,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3,19.0,22.0,-24.917472105318787,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/parus_major/XC793539__s19000__e22000.wav,
parus_major,793539,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3,22.0,25.0,-22.64772103892101,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/parus_major/XC793539__s22000__e25000.wav,
parus_major,793539,Parus major,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3,25.0,28.0,-22.12550210134451,-40.0,non_bird,,,0.0,0.0,non_bird,0,,,
