xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089557,Parus major,Great Tit,David Darrell-Lambert,United Kingdom,2026-03-20,17:00,24,A,"aberrant, call",field recording,yes,[],48000,https://xeno-canto.org/1089557,https://xeno-canto.org/1089557/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089557.mp3
985185,Parus major,Great Tit,David Darrell-Lambert,United Kingdom,2024-03-20,18:30,25,A,"aberrant, song",field recording,yes,[],48000,https://xeno-canto.org/985185,https://xeno-canto.org/985185/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC985185.mp3
895153,Parus major,Great Tit,Stuart Fisher,United Kingdom,2024-04-11,08:30,47,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Turdus merula""]",44100,https://xeno-canto.org/895153,https://xeno-canto.org/895153/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC895153.mp3
793539,Parus major,Great Tit,Sean Morris,United Kingdom,2023-04-15,07:31,47,A,"call, Plucking dead cat on microphone for nesting material",field recording,yes,"[""Anser anser"", ""Erithacus rubecula"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/793539,https://xeno-canto.org/793539/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC793539.mp3
788731,Parus major,Great Tit,Dean McDonnell,Ireland,2023-03-19,09:00,37,A,song,field recording,no,[],44100,https://xeno-canto.org/788731,https://xeno-canto.org/788731/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC788731.mp3
720773,Parus major,Great Tit,David Bissett,United Kingdom,2022-04-29,06:30,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/720773,https://xeno-canto.org/720773/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC720773.mp3
624867,Parus major,Great Tit,Shaun Micklewright,United Kingdom,2021-02-27,09:00,50,A,song,field recording,yes,[],44100,https://xeno-canto.org/624867,https://xeno-canto.org/624867/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC624867.mp3
621363,Parus major,Great Tit,Irish Wildlife Sounds,Ireland,2021-02-04,9:00,31,A,"call, imitation, mimicry/imitation",field recording,no,[],44100,https://xeno-canto.org/621363,https://xeno-canto.org/621363/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC621363.mp3
614196,Parus major,Great Tit,Calum Mckellar,United Kingdom,2021-01-10,09:30,38,A,call,field recording,yes,[],44100,https://xeno-canto.org/614196,https://xeno-canto.org/614196/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC614196.mp3
598523,Parus major,Great Tit,Simon Elliott,United Kingdom,2017-04-02,06:50,46,A,song,field recording,yes,"[""Dendrocopos major"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/598523,https://xeno-canto.org/598523/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC598523.mp3
432977,Parus major,Great Tit,Dominic Garcia-Hall,United Kingdom,2018-08-30,10:00,58,A,"alarm call, call, song",field recording,no,[],44100,https://xeno-canto.org/432977,https://xeno-canto.org/432977/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC432977.mp3
409284,Parus major,Great Tit,Marc Anderson,United Kingdom,2018-04-05,17:00,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/409284,https://xeno-canto.org/409284/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC409284.mp3
202719,Parus major,Great Tit,Anthony McGeehan ,United Kingdom,2013-08-08,08:30,12,A,call,field recording,yes,[],44100,https://xeno-canto.org/202719,https://xeno-canto.org/202719/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC202719.mp3
185865,Parus major,Great Tit,david m,United Kingdom,2014-04-10,06:04,45,A,song,field recording,yes,[],48000,https://xeno-canto.org/185865,https://xeno-canto.org/185865/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC185865.mp3
183420,Parus major,Great Tit,Marc Anderson,United Kingdom,2014-06-23,05:30,29,A,call,field recording,no,[],44100,https://xeno-canto.org/183420,https://xeno-canto.org/183420/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC183420.mp3
180730,Parus major,Great Tit,david m,United Kingdom,2013-05-01,06:26,52,A,call,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Linaria cannabina""]",48000,https://xeno-canto.org/180730,https://xeno-canto.org/180730/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC180730.mp3
180727,Parus major,Great Tit,david m,United Kingdom,2013-06-01,06:01,41,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/180727,https://xeno-canto.org/180727/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC180727.mp3
177409,Parus major,Great Tit,david m,United Kingdom,2014-03-08,07:31,35,A,song,field recording,yes,[],48000,https://xeno-canto.org/177409,https://xeno-canto.org/177409/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC177409.mp3
123037,Parus major,Great Tit,Ashley Fisher,United Kingdom,2013-02-27,12:26,29,A,alarm call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/123037,https://xeno-canto.org/123037/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC123037.mp3
121580,Parus major,Great Tit,Ashley Fisher,United Kingdom,2013-02-15,13:06,55,A,song,field recording,yes,"[""Turdus philomelos"", ""Erithacus rubecula"", ""Rallus aquaticus"", ""Troglodytes troglodytes"", ""Streptopelia decaocto""]",44100,https://xeno-canto.org/121580,https://xeno-canto.org/121580/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC121580.mp3
95062,Parus major,Great Tit,Richard Dunn,United Kingdom,2011-01-18,10:00,22,A,call,field recording,unknown,[],44100,https://xeno-canto.org/95062,https://xeno-canto.org/95062/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC95062.mp3
1089183,Parus major,Great Tit,Diego Pastor,Spain,2026-03-18,17:30,39,A,uncertain,field recording,no,[],44100,https://xeno-canto.org/1089183,https://xeno-canto.org/1089183/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1089183.mp3
1088904,Parus major,Great Tit,Mats Olsson,Sweden,2026-03-15,10:00,24,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/1088904,https://xeno-canto.org/1088904/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1088904.mp3
1088818,Parus major,Great Tit,Miika Silfverberg,Finland,2026-03-17,13:15,40,A,,field recording,yes,"[""Certhia familiaris""]",48000,https://xeno-canto.org/1088818,https://xeno-canto.org/1088818/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1088818.mp3
1087991,Parus major,Great Tit,Christian Bøggild,Denmark,2026-03-07,12:26,58,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Parus major""]",48000,https://xeno-canto.org/1087991,https://xeno-canto.org/1087991/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1087991.mp3
1087531,Parus major,Great Tit,Ulf Elman,Sweden,2026-03-09,07:26,23,A,call,field recording,yes,[],48000,https://xeno-canto.org/1087531,https://xeno-canto.org/1087531/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1087531.mp3
1087530,Parus major,Great Tit,Ulf Elman,Sweden,2026-03-09,07:22,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/1087530,https://xeno-canto.org/1087530/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1087530.mp3
1082760,Parus major,Great Tit,Olivier SWIFT,France,2026-02-22,11:30,57,A,song,field recording,no,"[""Turdus merula"", ""Sitta europaea"", ""Pica pica"", ""Streptopelia decaocto"", ""Canis familiaris"", ""Passer domesticus""]",48000,https://xeno-canto.org/1082760,https://xeno-canto.org/1082760/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1082760.mp3
1082599,Parus major,Great Tit,Lennart Jeppsson,Sweden,2026-02-22,10:30,59,A,call,field recording,yes,"[""Anas platyrhynchos""]",44100,https://xeno-canto.org/1082599,https://xeno-canto.org/1082599/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1082599.mp3
1079218,Parus major,Great Tit,Marc Anderson,Spain,2022-05-17,15:30,15,A,song,field recording,no,[],48000,https://xeno-canto.org/1079218,https://xeno-canto.org/1079218/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1079218.mp3
1079215,Parus major,Great Tit,Marc Anderson,Spain,2022-05-17,07:30,44,A,song,field recording,no,[],48000,https://xeno-canto.org/1079215,https://xeno-canto.org/1079215/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1079215.mp3
1075606,Parus major,Great Tit,János Schadl,Germany,2026-01-11,09:22,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/1075606,https://xeno-canto.org/1075606/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1075606.mp3
1049551,Parus major,Great Tit,Beatrix Saadi-Varchmin,Germany,2015-10-13,17:37,56,A,"call, social calls",field recording,yes,[],44100,https://xeno-canto.org/1049551,https://xeno-canto.org/1049551/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1049551.mp3
1048483,Parus major,Great Tit,Miika Silfverberg,Finland,2025-10-18,11:21,27,A,call,field recording,yes,"[""Dendrocopos major"", ""Garrulus glandarius""]",48000,https://xeno-canto.org/1048483,https://xeno-canto.org/1048483/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1048483.mp3
1041642,Parus major,Great Tit,Jorge Leitão,Portugal,2025-09-23,09:24,58,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/1041642,https://xeno-canto.org/1041642/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1041642.mp3
1031070,Parus major,Great Tit,Miika Silfverberg,Finland,2025-08-20,10:30,8,A,,field recording,yes,[],48000,https://xeno-canto.org/1031070,https://xeno-canto.org/1031070/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1031070.mp3
1031069,Parus major,Great Tit,Miika Silfverberg,Finland,2025-08-20,10:30,9,A,,field recording,yes,[],48000,https://xeno-canto.org/1031069,https://xeno-canto.org/1031069/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/parus_major/XC1031069.mp3
