xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089172,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,12,A,call,field recording,yes,[],48000,https://xeno-canto.org/1089172,https://xeno-canto.org/1089172/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1089172.mp3
1082701,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-02-22,13:00,48,A,displaying,field recording,yes,[],48000,https://xeno-canto.org/1082701,https://xeno-canto.org/1082701/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1082701.mp3
1082700,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-02-22,13:00,56,A,call,field recording,yes,[],48000,https://xeno-canto.org/1082700,https://xeno-canto.org/1082700/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1082700.mp3
1006302,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-06-08,06:00,27,A,"call, Traffic.",field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/1006302,https://xeno-canto.org/1006302/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1006302.mp3
995205,Passer domesticus,House Sparrow,Molly Bell,Ireland,2025-05-06,17:10,18,A,call,field recording,no,[],44100,https://xeno-canto.org/995205,https://xeno-canto.org/995205/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC995205.mp3
977863,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-03-02,07:30,21,A,call,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/977863,https://xeno-canto.org/977863/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC977863.mp3
897743,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-04-20,07:00,27,A,call,field recording,no,"[""Linaria cannabina""]",44100,https://xeno-canto.org/897743,https://xeno-canto.org/897743/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC897743.mp3
879927,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-03-03,07:30,13,A,call,field recording,no,[],44100,https://xeno-canto.org/879927,https://xeno-canto.org/879927/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC879927.mp3
791783,Passer domesticus,House Sparrow,Ian Roberts,United Kingdom,2023-04-03,08:00,31,A,call,field recording,yes,"[""Corvus corone"", ""Chloris chloris""]",44100,https://xeno-canto.org/791783,https://xeno-canto.org/791783/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC791783.mp3
791782,Passer domesticus,House Sparrow,Ian Roberts,United Kingdom,2023-04-03,08:00,30,A,call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/791782,https://xeno-canto.org/791782/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC791782.mp3
775840,Passer domesticus,House Sparrow,Dean McDonnell,Ireland,2023-01-17,11:00,48,A,call,field recording,yes,[],44100,https://xeno-canto.org/775840,https://xeno-canto.org/775840/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC775840.mp3
753974,Passer domesticus,House Sparrow,Agris Celmins,United Kingdom,2022-04-18,07:19,36,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/753974,https://xeno-canto.org/753974/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC753974.mp3
753973,Passer domesticus,House Sparrow,Agris Celmins,United Kingdom,2022-04-10,08:20,30,A,song,field recording,yes,[],44100,https://xeno-canto.org/753973,https://xeno-canto.org/753973/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC753973.mp3
687529,Passer domesticus,House Sparrow,Irish Wildlife Sounds,Ireland,2021-07-29,11:00,44,A,call,field recording,yes,[],44100,https://xeno-canto.org/687529,https://xeno-canto.org/687529/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC687529.mp3
459146,Passer domesticus,House Sparrow,Fraser Simpson,United Kingdom,2019-02-24,07:10,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/459146,https://xeno-canto.org/459146/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC459146.mp3
459144,Passer domesticus,House Sparrow,Fraser Simpson,United Kingdom,2019-02-24,07:00,36,A,call,field recording,yes,[],44100,https://xeno-canto.org/459144,https://xeno-canto.org/459144/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC459144.mp3
122553,Passer domesticus,House Sparrow,Ashley Fisher,United Kingdom,2013-02-24,10:24,49,A,"alarm call, call, anxiety call",field recording,yes,[],44100,https://xeno-canto.org/122553,https://xeno-canto.org/122553/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC122553.mp3
1089317,Passer domesticus,House Sparrow,Olivier SWIFT,France,2026-03-19,09:40,55,A,song,field recording,yes,"[""Fringilla coelebs"", ""Parus major"", ""Coloeus monedula""]",48000,https://xeno-canto.org/1089317,https://xeno-canto.org/1089317/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1089317.mp3
1085988,Passer domesticus,House Sparrow,Johannes Worona,Germany,2026-03-08,09:51,49,A,"call, song, Courtship display at the nest",field recording,yes,[],44100,https://xeno-canto.org/1085988,https://xeno-canto.org/1085988/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1085988.mp3
1082761,Passer domesticus,House Sparrow,Olivier SWIFT,France,2026-02-22,11:33,17,A,song,field recording,no,"[""Turdus merula""]",48000,https://xeno-canto.org/1082761,https://xeno-canto.org/1082761/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1082761.mp3
1076087,Passer domesticus,House Sparrow,Lars Lachmann,Germany,2025-05-24,08:00,23,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/1076087,https://xeno-canto.org/1076087/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1076087.mp3
1006295,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006295,https://xeno-canto.org/1006295/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1006295.mp3
1006294,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006294,https://xeno-canto.org/1006294/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC1006294.mp3
997055,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:46,4,A,call,field recording,no,"[""Petronia petronia""]",44100,https://xeno-canto.org/997055,https://xeno-canto.org/997055/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC997055.mp3
997054,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:30,35,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/997054,https://xeno-canto.org/997054/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC997054.mp3
997014,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-11,7:01,52,A,call,field recording,no,"[""Phoenicurus ochruros"", ""Chloris chloris""]",44100,https://xeno-canto.org/997014,https://xeno-canto.org/997014/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/passer_domesticus/XC997014.mp3
