xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089172,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,12,A,call,field recording,yes,[],48000,https://xeno-canto.org/1089172,https://xeno-canto.org/1089172/download,
1082701,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-02-22,13:00,48,A,displaying,field recording,yes,[],48000,https://xeno-canto.org/1082701,https://xeno-canto.org/1082701/download,
1082700,Passer domesticus,House Sparrow,David Darrell-Lambert,United Kingdom,2026-02-22,13:00,56,A,call,field recording,yes,[],48000,https://xeno-canto.org/1082700,https://xeno-canto.org/1082700/download,
1006302,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-06-08,06:00,27,A,"call, Traffic.",field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/1006302,https://xeno-canto.org/1006302/download,
995205,Passer domesticus,House Sparrow,Molly Bell,Ireland,2025-05-06,17:10,18,A,call,field recording,no,[],44100,https://xeno-canto.org/995205,https://xeno-canto.org/995205/download,
977863,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2025-03-02,07:30,21,A,call,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/977863,https://xeno-canto.org/977863/download,
897743,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-04-20,07:00,27,A,call,field recording,no,"[""Linaria cannabina""]",44100,https://xeno-canto.org/897743,https://xeno-canto.org/897743/download,
879927,Passer domesticus,House Sparrow,Paul Kelly,Ireland,2024-03-03,07:30,13,A,call,field recording,no,[],44100,https://xeno-canto.org/879927,https://xeno-canto.org/879927/download,
791783,Passer domesticus,House Sparrow,Ian Roberts,United Kingdom,2023-04-03,08:00,31,A,call,field recording,yes,"[""Corvus corone"", ""Chloris chloris""]",44100,https://xeno-canto.org/791783,https://xeno-canto.org/791783/download,
791782,Passer domesticus,House Sparrow,Ian Roberts,United Kingdom,2023-04-03,08:00,30,A,call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/791782,https://xeno-canto.org/791782/download,
775840,Passer domesticus,House Sparrow,Dean McDonnell,Ireland,2023-01-17,11:00,48,A,call,field recording,yes,[],44100,https://xeno-canto.org/775840,https://xeno-canto.org/775840/download,
753974,Passer domesticus,House Sparrow,Agris Celmins,United Kingdom,2022-04-18,07:19,36,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/753974,https://xeno-canto.org/753974/download,
753973,Passer domesticus,House Sparrow,Agris Celmins,United Kingdom,2022-04-10,08:20,30,A,song,field recording,yes,[],44100,https://xeno-canto.org/753973,https://xeno-canto.org/753973/download,
687529,Passer domesticus,House Sparrow,Irish Wildlife Sounds,Ireland,2021-07-29,11:00,44,A,call,field recording,yes,[],44100,https://xeno-canto.org/687529,https://xeno-canto.org/687529/download,
459146,Passer domesticus,House Sparrow,Fraser Simpson,United Kingdom,2019-02-24,07:10,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/459146,https://xeno-canto.org/459146/download,
459144,Passer domesticus,House Sparrow,Fraser Simpson,United Kingdom,2019-02-24,07:00,36,A,call,field recording,yes,[],44100,https://xeno-canto.org/459144,https://xeno-canto.org/459144/download,
122553,Passer domesticus,House Sparrow,Ashley Fisher,United Kingdom,2013-02-24,10:24,49,A,"alarm call, call, anxiety call",field recording,yes,[],44100,https://xeno-canto.org/122553,https://xeno-canto.org/122553/download,
1089317,Passer domesticus,House Sparrow,Olivier SWIFT,France,2026-03-19,09:40,55,A,song,field recording,yes,"[""Fringilla coelebs"", ""Parus major"", ""Coloeus monedula""]",48000,https://xeno-canto.org/1089317,https://xeno-canto.org/1089317/download,
1085988,Passer domesticus,House Sparrow,Johannes Worona,Germany,2026-03-08,09:51,49,A,"call, song, Courtship display at the nest",field recording,yes,[],44100,https://xeno-canto.org/1085988,https://xeno-canto.org/1085988/download,
1082761,Passer domesticus,House Sparrow,Olivier SWIFT,France,2026-02-22,11:33,17,A,song,field recording,no,"[""Turdus merula""]",48000,https://xeno-canto.org/1082761,https://xeno-canto.org/1082761/download,
1076087,Passer domesticus,House Sparrow,Lars Lachmann,Germany,2025-05-24,08:00,23,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/1076087,https://xeno-canto.org/1076087/download,
1006295,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006295,https://xeno-canto.org/1006295/download,
1006294,Passer domesticus,House Sparrow,Ulf Elman,Sweden,2025-06-11,06:24,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/1006294,https://xeno-canto.org/1006294/download,
997055,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:46,4,A,call,field recording,no,"[""Petronia petronia""]",44100,https://xeno-canto.org/997055,https://xeno-canto.org/997055/download,
997054,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-08,8:30,35,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/997054,https://xeno-canto.org/997054/download,
997014,Passer domesticus,House Sparrow,João Tomás,Spain,2025-05-11,7:01,52,A,call,field recording,no,"[""Phoenicurus ochruros"", ""Chloris chloris""]",44100,https://xeno-canto.org/997014,https://xeno-canto.org/997014/download,
996905,Passer domesticus,House Sparrow,Johannes Worona,Germany,2025-05-11,05:58,32,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/996905,https://xeno-canto.org/996905/download,
996904,Passer domesticus,House Sparrow,Johannes Worona,Germany,2025-05-11,05:57,47,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/996904,https://xeno-canto.org/996904/download,
980255,Passer domesticus,House Sparrow,Beatrix Saadi-Varchmin,Germany,2025-03-06,08:39,25,A,"call, social call",field recording,yes,[],44100,https://xeno-canto.org/980255,https://xeno-canto.org/980255/download,
953713,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-30,11:00,21,A,call,field recording,no,"[""Sturnus unicolor"", ""Galerida cristata""]",44100,https://xeno-canto.org/953713,https://xeno-canto.org/953713/download,
949513,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:20,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/949513,https://xeno-canto.org/949513/download,
949511,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:20,7,A,flight call,field recording,yes,"[""Emberiza calandra""]",44100,https://xeno-canto.org/949511,https://xeno-canto.org/949511/download,
949510,Passer domesticus,House Sparrow,João Tomás,Spain,2024-11-17,9:15,3,A,call,field recording,no,[],44100,https://xeno-canto.org/949510,https://xeno-canto.org/949510/download,
926987,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,48,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926987,https://xeno-canto.org/926987/download,
926985,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,41,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926985,https://xeno-canto.org/926985/download,
926983,Passer domesticus,House Sparrow,Jack Berteau,France,2024-06-29,06:00,59,A,"call, wing beat",field recording,yes,"[""Oriolus oriolus"", ""Pica pica"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/926983,https://xeno-canto.org/926983/download,
922542,Passer domesticus,House Sparrow,Francesco Sottile,Switzerland,2024-07-20,11:41,44,A,"call, song",field recording,yes,"[""Milvus milvus"", ""Passer domesticus""]",44100,https://xeno-canto.org/922542,https://xeno-canto.org/922542/download,
913339,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,18:41,13,A,call,field recording,no,[],44100,https://xeno-canto.org/913339,https://xeno-canto.org/913339/download,
913338,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,16:20,52,A,call,field recording,no,[],44100,https://xeno-canto.org/913338,https://xeno-canto.org/913338/download,
913337,Passer domesticus,House Sparrow,Martin Billard,France,2024-06-07,12:52,14,A,call,field recording,no,[],44100,https://xeno-canto.org/913337,https://xeno-canto.org/913337/download,
908354,Passer domesticus,House Sparrow,"Olivier SWIFT, Hélène CARTAUD",France,2024-05-17,18:05,21,A,song,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/908354,https://xeno-canto.org/908354/download,
906529,Passer domesticus,House Sparrow,Olivier SWIFT,France,2024-05-25,10:07,37,A,call,field recording,yes,[],48000,https://xeno-canto.org/906529,https://xeno-canto.org/906529/download,
896493,Passer domesticus,House Sparrow,Martin Billard,France,2024-04-14,17:07,32,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/896493,https://xeno-canto.org/896493/download,
896492,Passer domesticus,House Sparrow,Martin Billard,France,2024-04-14,17:06,14,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/896492,https://xeno-canto.org/896492/download,
882124,Passer domesticus,House Sparrow,Christian Kerihuel,France,2024-03-16,18:00,34,A,call,field recording,yes,[],44100,https://xeno-canto.org/882124,https://xeno-canto.org/882124/download,
881741,Passer domesticus,House Sparrow,Olivier SWIFT,France,2023-04-21,08:50,19,A,song,field recording,unknown,[],48000,https://xeno-canto.org/881741,https://xeno-canto.org/881741/download,
881740,Passer domesticus,House Sparrow,Olivier SWIFT,France,2023-04-21,08:50,35,A,call,field recording,unknown,"[""Sturnus vulgaris""]",48000,https://xeno-canto.org/881740,https://xeno-canto.org/881740/download,
843477,Passer domesticus,House Sparrow,Joost van Bruggen,Netherlands,2023-06-27,05:35,14,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/843477,https://xeno-canto.org/843477/download,
842414,Passer domesticus,House Sparrow,FREDERIC Lionel,France,2023-09-16,07:00,24,A,song,field recording,no,[],44100,https://xeno-canto.org/842414,https://xeno-canto.org/842414/download,
841356,Passer domesticus,House Sparrow,Jack Berteau,France,2023-05-19,07:30,49,A,song,field recording,yes,[],48000,https://xeno-canto.org/841356,https://xeno-canto.org/841356/download,
837455,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2023-10-20,18:40,29,A,"call, flock; dormitory",field recording,yes,[],44100,https://xeno-canto.org/837455,https://xeno-canto.org/837455/download,
835068,Passer domesticus,House Sparrow,Esperanza Poveda,Spain,2019-05-20,?,52,A,call,in the hand,yes,[],44100,https://xeno-canto.org/835068,https://xeno-canto.org/835068/download,
835058,Passer domesticus,House Sparrow,Esperanza Poveda,Spain,2019-05-20,?,44,A,call,in the hand,yes,[],44100,https://xeno-canto.org/835058,https://xeno-canto.org/835058/download,
820872,Passer domesticus,House Sparrow,Johannes Worona,Germany,2023-07-23,14:00,3,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/820872,https://xeno-canto.org/820872/download,
819683,Passer domesticus,House Sparrow,Sonothèque ADVL,France,2023-07-26,07:31,34,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/819683,https://xeno-canto.org/819683/download,
818666,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2023-07-24,12:23,36,A,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/818666,https://xeno-canto.org/818666/download,
812395,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2023-06-27,11:37,25,A,"call, flock",field recording,yes,[],44100,https://xeno-canto.org/812395,https://xeno-canto.org/812395/download,
791243,Passer domesticus,House Sparrow,Johannes Dag Mayer,Germany,2023-04-05,11:30,33,A,song,field recording,yes,[],44100,https://xeno-canto.org/791243,https://xeno-canto.org/791243/download,
780889,Passer domesticus,House Sparrow,Jorge Leitão,Netherlands,2023-02-09,09:45,51,A,"call, flock",field recording,yes,[],44100,https://xeno-canto.org/780889,https://xeno-canto.org/780889/download,
771710,Passer domesticus,House Sparrow,Stanley Baldauf,Germany,2022-12-26,16:30,34,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/771710,https://xeno-canto.org/771710/download,
753077,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2022-09-30,18:41,33,A,"call, flock",field recording,yes,[],44100,https://xeno-canto.org/753077,https://xeno-canto.org/753077/download,
752631,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2022-08-15,20:02,17,A,"call, flock",field recording,yes,[],44100,https://xeno-canto.org/752631,https://xeno-canto.org/752631/download,
744180,Passer domesticus,House Sparrow,Romuald Mikusek,Poland,2022-06-26,13:10,15,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/744180,https://xeno-canto.org/744180/download,
741178,Passer domesticus,House Sparrow,Jorge Leitão,Portugal,2022-08-01,20:49,22,A,call,field recording,yes,[],44100,https://xeno-canto.org/741178,https://xeno-canto.org/741178/download,
733550,Passer domesticus,House Sparrow,Antonio Xeira,Portugal,2022-06-22,21:00,10,A,"alarm call, begging call, hatchling or nestling",field recording,no,[],44100,https://xeno-canto.org/733550,https://xeno-canto.org/733550/download,
733549,Passer domesticus,House Sparrow,Antonio Xeira,Portugal,2022-06-22,21:00,36,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/733549,https://xeno-canto.org/733549/download,
727621,Passer domesticus,House Sparrow,Nelson Conceição,Portugal,2022-05-01,11:28,13,A,call,field recording,yes,[],48000,https://xeno-canto.org/727621,https://xeno-canto.org/727621/download,
722453,Passer domesticus,House Sparrow,A. Dreißigacker,Germany,2022-05-07,7:50,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/722453,https://xeno-canto.org/722453/download,
720636,Passer domesticus,House Sparrow,Allistair Fresse,France,2021-04-23,18:09,33,A,song,field recording,yes,"[""Streptopelia decaocto""]",44100,https://xeno-canto.org/720636,https://xeno-canto.org/720636/download,
709860,Passer domesticus,House Sparrow,Susanne Kuijpers,Netherlands,2022-03-20,07:59,35,A,call,field recording,no,"[""Streptopelia decaocto""]",44100,https://xeno-canto.org/709860,https://xeno-canto.org/709860/download,
697951,Passer domesticus,House Sparrow,Olivier SWIFT,France,2021-06-10,06:32,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/697951,https://xeno-canto.org/697951/download,
680573,Passer domesticus,House Sparrow,Joost van Bruggen,Netherlands,2021-10-12,07:51,33,A,"alarm call, call, scolding calls",field recording,no,[],48000,https://xeno-canto.org/680573,https://xeno-canto.org/680573/download,
666487,Passer domesticus,House Sparrow,Jordi Calvet,Spain,2021-07-30,09:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/666487,https://xeno-canto.org/666487/download,
665040,Passer domesticus,House Sparrow,Ireneusz Oleksik,Poland,2021-07-18,19:40,29,A,call,field recording,yes,"[""Passer montanus"", ""Hirundo rustica""]",48000,https://xeno-canto.org/665040,https://xeno-canto.org/665040/download,
663188,Passer domesticus,House Sparrow,Ireneusz Oleksik,Poland,2021-07-15,05:42,27,A,"alarm call, call",field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/663188,https://xeno-canto.org/663188/download,
659845,Passer domesticus,House Sparrow,Olivier SWIFT,France,2021-04-02,08:37,24,A,call,field recording,yes,[],48000,https://xeno-canto.org/659845,https://xeno-canto.org/659845/download,
659761,Passer domesticus,House Sparrow,Olivier SWIFT,France,2021-06-09,07:39,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/659761,https://xeno-canto.org/659761/download,
658831,Passer domesticus,House Sparrow,Leander Khil,Austria,2021-06-24,06:00,29,A,song,field recording,yes,"[""Luscinia megarhynchos"", ""Delichon urbicum"", ""Passer montanus""]",48000,https://xeno-canto.org/658831,https://xeno-canto.org/658831/download,
649695,Passer domesticus,House Sparrow,Karol Łanocha,Poland,2021-05-18,19:00,21,A,"begging call, call, hatchling or nestling",field recording,yes,[],24000,https://xeno-canto.org/649695,https://xeno-canto.org/649695/download,
648947,Passer domesticus,House Sparrow,Jarek Matusiak,Poland,2021-05-15,04:00,44,A,call,field recording,unknown,[],32000,https://xeno-canto.org/648947,https://xeno-canto.org/648947/download,
648941,Passer domesticus,House Sparrow,Jarek Matusiak,Poland,2021-05-15,04:00,30,A,call,field recording,unknown,[],32000,https://xeno-canto.org/648941,https://xeno-canto.org/648941/download,
648931,Passer domesticus,House Sparrow,Jarek Matusiak,Poland,2021-05-15,04:00,29,A,call,field recording,unknown,[],32000,https://xeno-canto.org/648931,https://xeno-canto.org/648931/download,
645075,Passer domesticus,House Sparrow,Olivier SWIFT,France,2021-04-12,8:38,29,A,"call, song",field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/645075,https://xeno-canto.org/645075/download,
642972,Passer domesticus,House Sparrow,Marcel Gil Velasco,Spain,2021-04-26,19:00,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/642972,https://xeno-canto.org/642972/download,
642162,Passer domesticus,House Sparrow,Antony Schubert,Switzerland,2021-04-24,11:30,32,A,song,field recording,yes,[],48000,https://xeno-canto.org/642162,https://xeno-canto.org/642162/download,
640223,Passer domesticus,House Sparrow,Susanne Kuijpers,Netherlands,2021-04-18,07:59,11,A,call,field recording,no,[],44100,https://xeno-canto.org/640223,https://xeno-canto.org/640223/download,
639076,Passer domesticus,House Sparrow,Marcin Urbański,Poland,2021-04-11,09:00,38,A,call,field recording,yes,[],48000,https://xeno-canto.org/639076,https://xeno-canto.org/639076/download,
635445,Passer domesticus,House Sparrow,Susanne Kuijpers,Netherlands,2021-04-03,08:06,13,A,call,field recording,no,[],44100,https://xeno-canto.org/635445,https://xeno-canto.org/635445/download,
634437,Passer domesticus,House Sparrow,Karol Łanocha,Poland,2021-03-30,18:45,15,A,"call, song",field recording,yes,[],24000,https://xeno-canto.org/634437,https://xeno-canto.org/634437/download,
632102,Passer domesticus,House Sparrow,Martinez Nicolas,France,2021-03-23,08:01,6,A,song,field recording,yes,[],44100,https://xeno-canto.org/632102,https://xeno-canto.org/632102/download,
630304,Passer domesticus,House Sparrow,Susanne Kuijpers,Netherlands,2021-03-20,07:43,47,A,call,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/630304,https://xeno-canto.org/630304/download,
