xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089523,Periparus ater,Coal Tit,Ulf Elman,Sweden,2026-03-20,08:09,38,A,song,field recording,no,"[""Turdus merula"", ""Spinus spinus""]",48000,https://xeno-canto.org/1089523,https://xeno-canto.org/1089523/download,
1089450,Periparus ater,Coal Tit,Pere Josa,Spain,2026-03-16,10:00,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/1089450,https://xeno-canto.org/1089450/download,
1088440,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088440,https://xeno-canto.org/1088440/download,
1088437,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088437,https://xeno-canto.org/1088437/download,
1088435,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088435,https://xeno-canto.org/1088435/download,
1087602,Periparus ater,Coal Tit,Jacobo Ramil Millarengo,Spain,2026-03-12,19:30,54,A,call,field recording,yes,[],44100,https://xeno-canto.org/1087602,https://xeno-canto.org/1087602/download,
1085735,Periparus ater,Coal Tit,Gustav Haapalahti,Sweden,2026-03-07,09:30,56,A,song,field recording,yes,[],48000,https://xeno-canto.org/1085735,https://xeno-canto.org/1085735/download,
1085336,Periparus ater,Coal Tit,João Tomás,Spain,2026-02-21,12:47,27,A,song,field recording,yes,"[""Lullula arborea""]",44100,https://xeno-canto.org/1085336,https://xeno-canto.org/1085336/download,
1072054,Periparus ater,Coal Tit,João Tomás,Spain,2026-01-10,13:28,30,A,call,field recording,yes,"[""Fringilla coelebs"", ""Lophophanes cristatus"", ""Certhia brachydactyla""]",44100,https://xeno-canto.org/1072054,https://xeno-canto.org/1072054/download,
1040127,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2025-09-17,11:12,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/1040127,https://xeno-canto.org/1040127/download,
1031991,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-22,06:35,4,A,call,field recording,no,[],32000,https://xeno-canto.org/1031991,https://xeno-canto.org/1031991/download,
1029166,Periparus ater,Coal Tit,Romuald Mikusek,Poland,2025-07-14,09:30,48,A,call,field recording,yes,[],48000,https://xeno-canto.org/1029166,https://xeno-canto.org/1029166/download,
1024702,Periparus ater,Coal Tit,Frantz Barrault,France,2025-07-17,09:30,11,A,call,field recording,yes,"[""Lullula arborea""]",44100,https://xeno-canto.org/1024702,https://xeno-canto.org/1024702/download,
1011037,Periparus ater,Coal Tit,Olivier SWIFT,France,2025-04-28,19:34,43,A,song,field recording,no,"[""Turdus philomelos""]",48000,https://xeno-canto.org/1011037,https://xeno-canto.org/1011037/download,
1005219,Periparus ater,Coal Tit,Gianluca Congi,Italy,2025-06-05,14:42,18,A,"duet, song",field recording,no,"[""Emberiza calandra"", ""Chloris chloris"", ""Upupa epops""]",48000,https://xeno-canto.org/1005219,https://xeno-canto.org/1005219/download,
1001379,Periparus ater,Coal Tit,Christian Bøggild,Denmark,2020-03-19,11:37,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/1001379,https://xeno-canto.org/1001379/download,
1001378,Periparus ater,Coal Tit,Christian Bøggild,Denmark,2020-03-19,11:55,22,A,song,field recording,yes,"[""Troglodytes troglodytes""]",48000,https://xeno-canto.org/1001378,https://xeno-canto.org/1001378/download,
995207,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2025-05-06,09:10,40,A,call,field recording,yes,[],44100,https://xeno-canto.org/995207,https://xeno-canto.org/995207/download,
992476,Periparus ater,Coal Tit,Francesco Sottile,Italy,2025-04-27,15:30,35,A,song,field recording,yes,"[""Fringilla coelebs"", ""Parus major"", ""Certhia brachydactyla"", ""Periparus ater""]",44100,https://xeno-canto.org/992476,https://xeno-canto.org/992476/download,
986822,Periparus ater,Coal Tit,Romuald Mikusek,Poland,2025-04-08,18:00,23,A,song,field recording,no,[],48000,https://xeno-canto.org/986822,https://xeno-canto.org/986822/download,
986086,Periparus ater,Coal Tit,Francesco Sottile,Italy,2025-04-06,16:57,33,A,song,field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/986086,https://xeno-canto.org/986086/download,
986082,Periparus ater,Coal Tit,Francesco Sottile,Italy,2025-04-06,16:44,49,A,song,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/986082,https://xeno-canto.org/986082/download,
985198,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/985198,https://xeno-canto.org/985198/download,
980800,Periparus ater,Coal Tit,Lars Edenius,Sweden,2025-03-16,07:00,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/980800,https://xeno-canto.org/980800/download,
979133,Periparus ater,Coal Tit,Ulf Elman,Sweden,2025-03-09,08:36,13,A,song,field recording,yes,"[""Dendrocopos major"", ""Pyrrhula pyrrhula""]",48000,https://xeno-canto.org/979133,https://xeno-canto.org/979133/download,
974351,Periparus ater,Coal Tit,Lars Edenius,Sweden,2025-02-19,08:00,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/974351,https://xeno-canto.org/974351/download,
974346,Periparus ater,Coal Tit,Lars Edenius,Sweden,2025-02-19,08:00,14,A,song,field recording,yes,[],48000,https://xeno-canto.org/974346,https://xeno-canto.org/974346/download,
972581,Periparus ater,Coal Tit,Pere Josa,Spain,2025-02-05,11:30,43,A,song,field recording,no,[],44100,https://xeno-canto.org/972581,https://xeno-canto.org/972581/download,
962179,Periparus ater,Coal Tit,Jacobo Ramil Millarengo,Spain,2025-01-17,17:00,58,A,song,field recording,yes,[],44100,https://xeno-canto.org/962179,https://xeno-canto.org/962179/download,
941462,Periparus ater,Coal Tit,Jacobo Ramil Millarengo,Spain,2024-10-12,10:30,51,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/941462,https://xeno-canto.org/941462/download,
935960,Periparus ater,Coal Tit,Arjun Dutta,United Kingdom,2022-12-15,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/935960,https://xeno-canto.org/935960/download,
890570,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2024-03-08,09:05,12,A,song,in the hand,no,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/890570,https://xeno-canto.org/890570/download,
883749,Periparus ater,Coal Tit,Jarek Matusiak,Poland,2024-03-13,10:00,34,A,call,field recording,yes,[],48000,https://xeno-canto.org/883749,https://xeno-canto.org/883749/download,
883556,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2024-03-20,9:34,47,A,song,field recording,yes,[],44100,https://xeno-canto.org/883556,https://xeno-canto.org/883556/download,
882548,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2024-03-17,12:03,34,A,song,field recording,yes,"[""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/882548,https://xeno-canto.org/882548/download,
