species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
periparus_ater,1031991,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1031991.mp3,1.0,4.0,-29.76986218228058,-29.76986218228058,drop,Phylloscopus inornatus,Yellow-browed Warbler,0.6790814995765686,0.6790814995765686,drop,0,,,
periparus_ater,985198,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC985198.mp3,7.0,10.0,-37.97193947687778,-38.99261959240707,species,Periparus ater,Coal Tit,0.9236153364181519,0.9236153364181519,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC985198__s7000__e10000.wav,
periparus_ater,985198,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC985198.mp3,10.0,13.0,-34.960083391569306,-38.99261959240707,species,Periparus ater,Coal Tit,0.9200291633605957,0.9200291633605957,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC985198__s10000__e13000.wav,
periparus_ater,985198,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC985198.mp3,13.0,16.0,-32.40486416483392,-38.99261959240707,species,Periparus ater,Coal Tit,0.9758362174034119,0.9758362174034119,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC985198__s13000__e16000.wav,
periparus_ater,935960,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC935960.mp3,16.0,19.0,-50.79397198873019,-40.0,species,Periparus ater,Coal Tit,0.997965931892395,0.997965931892395,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC935960__s16000__e19000.wav,
periparus_ater,890570,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC890570.mp3,4.0,7.0,-47.61740883704752,-40.0,species,Periparus ater,Coal Tit,0.9911132454872131,0.9911132454872131,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC890570__s4000__e7000.wav,
periparus_ater,879546,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3,1.0,4.0,-18.023806758270506,-29.531194075575172,species,Periparus ater,Coal Tit,0.8523178696632385,0.8523178696632385,species,0,,,
periparus_ater,879546,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3,4.0,7.0,-20.4996185833868,-29.531194075575172,species,Periparus ater,Coal Tit,0.8113800287246704,0.8113800287246704,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC879546__s4000__e7000.wav,
periparus_ater,879546,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3,10.0,13.0,-23.151172343618928,-29.531194075575172,species,Periparus ater,Coal Tit,0.8181679248809814,0.8181679248809814,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC879546__s10000__e13000.wav,
periparus_ater,879546,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3,16.0,19.0,-24.318047290173517,-29.531194075575172,species,Periparus ater,Coal Tit,0.4163186252117157,0.4163186252117157,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC879546__s16000__e19000.wav,
periparus_ater,879546,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3,22.0,25.0,-26.78721379019145,-29.531194075575172,drop,Motacilla alba,White Wagtail,0.9374741911888123,0.9374741911888123,drop,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,1.0,4.0,-22.014187646325606,-28.397283546832817,species,Periparus ater,Coal Tit,0.9977193474769592,0.9977193474769592,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC789862__s1000__e4000.wav,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,4.0,7.0,-21.612366748862403,-28.397283546832817,species,Periparus ater,Coal Tit,0.9789718389511108,0.9789718389511108,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,7.0,10.0,-28.3421863986189,-28.397283546832817,drop,Periparus ater,Coal Tit,0.19648826122283936,0.19648826122283936,drop,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,16.0,19.0,-21.83450787420864,-28.397283546832817,species,Periparus ater,Coal Tit,0.9976390600204468,0.9976390600204468,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,22.0,25.0,-22.78723306890921,-28.397283546832817,species,Periparus ater,Coal Tit,0.9984331727027893,0.9984331727027893,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,28.0,31.0,-25.33480722658232,-28.397283546832817,species,Periparus ater,Coal Tit,0.9768838286399841,0.9768838286399841,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC789862__s28000__e31000.wav,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,31.0,34.0,-22.038176542774707,-28.397283546832817,species,Periparus ater,Coal Tit,0.9841892123222351,0.9841892123222351,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,34.0,37.0,-28.177738647609424,-28.397283546832817,species,Periparus ater,Coal Tit,0.8719800710678101,0.8719800710678101,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,37.0,40.0,-20.105762128799334,-28.397283546832817,species,Periparus ater,Coal Tit,0.9962636828422546,0.9962636828422546,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC789862__s37000__e40000.wav,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,40.0,43.0,-23.95370836400605,-28.397283546832817,species,Periparus ater,Coal Tit,0.9784947633743286,0.9784947633743286,species,0,,,
periparus_ater,789862,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3,46.0,49.0,-26.295878207703165,-28.397283546832817,species,Periparus ater,Coal Tit,0.9988479614257812,0.9988479614257812,species,0,,,
periparus_ater,637591,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC637591.mp3,1.0,4.0,-35.05764620884059,-40.0,species,Periparus ater,Coal Tit,0.8453614711761475,0.8453614711761475,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC637591__s1000__e4000.wav,
periparus_ater,637591,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC637591.mp3,4.0,7.0,-27.183637596312753,-40.0,species,Periparus ater,Coal Tit,0.5867300033569336,0.5867300033569336,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC637591__s4000__e7000.wav,
periparus_ater,637591,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC637591.mp3,7.0,10.0,-34.111184598314786,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/periparus_ater/XC637591__s7000__e10000.wav,
periparus_ater,637591,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC637591.mp3,10.0,13.0,-27.880805263912993,-40.0,species,Periparus ater,Coal Tit,0.6260855793952942,0.6260855793952942,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC637591__s10000__e13000.wav,
periparus_ater,458453,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3,1.0,4.0,-33.79761842818942,-40.0,species,Periparus ater,Coal Tit,0.9972051978111267,0.9972051978111267,species,0,,,
periparus_ater,458453,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3,7.0,10.0,-37.60857854507585,-40.0,species,Periparus ater,Coal Tit,0.9799097776412964,0.9799097776412964,species,0,,,
periparus_ater,458453,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3,10.0,13.0,-36.26119999870328,-40.0,species,Periparus ater,Coal Tit,0.9473169445991516,0.9473169445991516,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC458453__s10000__e13000.wav,
periparus_ater,458453,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3,13.0,16.0,-30.884468974585708,-40.0,species,Periparus ater,Coal Tit,0.989988386631012,0.989988386631012,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC458453__s13000__e16000.wav,
periparus_ater,458453,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3,19.0,22.0,-25.419185952123637,-40.0,species,Periparus ater,Coal Tit,0.9980351328849792,0.9980351328849792,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC458453__s19000__e22000.wav,
periparus_ater,313378,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC313378.mp3,1.0,4.0,-18.900607412063806,-18.900607412063806,drop,Certhia brachydactyla,Short-toed Treecreeper,0.8286404609680176,0.8286404609680176,drop,0,,,
periparus_ater,198160,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC198160.mp3,4.0,7.0,-33.288223288285835,-35.75969451802888,species,Periparus ater,Coal Tit,0.9989482760429382,0.9989482760429382,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC198160__s4000__e7000.wav,
periparus_ater,198160,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC198160.mp3,7.0,10.0,-35.20785933487328,-35.75969451802888,species,Periparus ater,Coal Tit,0.9973268508911133,0.9973268508911133,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC198160__s7000__e10000.wav,
periparus_ater,1089523,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3,1.0,4.0,-23.39748299164903,-32.85955461883951,species,Periparus ater,Coal Tit,0.9967312812805176,0.9967312812805176,species,0,,,
periparus_ater,1089523,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3,7.0,10.0,-30.633013087613904,-32.85955461883951,species,Periparus ater,Coal Tit,0.9919722080230713,0.9919722080230713,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC1089523__s7000__e10000.wav,
periparus_ater,1089523,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3,10.0,13.0,-18.00321177274386,-32.85955461883951,species,Periparus ater,Coal Tit,0.9950078725814819,0.9950078725814819,species,0,,,
periparus_ater,1089523,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3,13.0,16.0,-18.748990998167155,-32.85955461883951,species,Periparus ater,Coal Tit,0.9985551238059998,0.9985551238059998,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/periparus_ater/XC1089523__s13000__e16000.wav,
periparus_ater,1089523,Periparus ater,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3,16.0,19.0,-23.350292360368584,-32.85955461883951,species,Periparus ater,Coal Tit,0.9613080024719238,0.9613080024719238,species,0,,,
