xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1031991,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-22,06:35,4,A,call,field recording,no,[],32000,https://xeno-canto.org/1031991,https://xeno-canto.org/1031991/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1031991.mp3
985198,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/985198,https://xeno-canto.org/985198/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC985198.mp3
935960,Periparus ater,Coal Tit,Arjun Dutta,United Kingdom,2022-12-15,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/935960,https://xeno-canto.org/935960/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC935960.mp3
890570,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2024-03-08,09:05,12,A,song,in the hand,no,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/890570,https://xeno-canto.org/890570/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC890570.mp3
879546,Periparus ater,Coal Tit,David Pennington,United Kingdom,2024-03-05,10:11,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/879546,https://xeno-canto.org/879546/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC879546.mp3
789862,Periparus ater,Coal Tit,Simon Elliott,United Kingdom,1999-04-25,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/789862,https://xeno-canto.org/789862/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC789862.mp3
637591,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2021-03-31,10:00,23,A,"song, high trill",field recording,unknown,[],44100,https://xeno-canto.org/637591,https://xeno-canto.org/637591/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC637591.mp3
458453,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2019-02-23,08:30,22,A,song,field recording,yes,[],48000,https://xeno-canto.org/458453,https://xeno-canto.org/458453/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC458453.mp3
313378,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2016-02-29,14:00,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/313378,https://xeno-canto.org/313378/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC313378.mp3
198160,Periparus ater,Coal Tit,Anthony McGeehan ,United Kingdom,2014-04-05,09:00,12,A,call,field recording,yes,[],44100,https://xeno-canto.org/198160,https://xeno-canto.org/198160/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC198160.mp3
1089523,Periparus ater,Coal Tit,Ulf Elman,Sweden,2026-03-20,08:09,38,A,song,field recording,no,"[""Turdus merula"", ""Spinus spinus""]",48000,https://xeno-canto.org/1089523,https://xeno-canto.org/1089523/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089523.mp3
1089450,Periparus ater,Coal Tit,Pere Josa,Spain,2026-03-16,10:00,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/1089450,https://xeno-canto.org/1089450/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1089450.mp3
1088440,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088440,https://xeno-canto.org/1088440/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1088440.mp3
1088437,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088437,https://xeno-canto.org/1088437/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1088437.mp3
1088435,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088435,https://xeno-canto.org/1088435/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1088435.mp3
1087602,Periparus ater,Coal Tit,Jacobo Ramil Millarengo,Spain,2026-03-12,19:30,54,A,call,field recording,yes,[],44100,https://xeno-canto.org/1087602,https://xeno-canto.org/1087602/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1087602.mp3
1085735,Periparus ater,Coal Tit,Gustav Haapalahti,Sweden,2026-03-07,09:30,56,A,song,field recording,yes,[],48000,https://xeno-canto.org/1085735,https://xeno-canto.org/1085735/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1085735.mp3
1085336,Periparus ater,Coal Tit,João Tomás,Spain,2026-02-21,12:47,27,A,song,field recording,yes,"[""Lullula arborea""]",44100,https://xeno-canto.org/1085336,https://xeno-canto.org/1085336/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/periparus_ater/XC1085336.mp3
