xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1031991,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2025-08-22,06:35,4,A,call,field recording,no,[],32000,https://xeno-canto.org/1031991,https://xeno-canto.org/1031991/download,
985198,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,16,A,song,field recording,yes,[],48000,https://xeno-canto.org/985198,https://xeno-canto.org/985198/download,
935960,Periparus ater,Coal Tit,Arjun Dutta,United Kingdom,2022-12-15,10:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/935960,https://xeno-canto.org/935960/download,
890570,Periparus ater,Coal Tit,Mark Plummer,United Kingdom,2024-03-08,09:05,12,A,song,in the hand,no,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/890570,https://xeno-canto.org/890570/download,
879546,Periparus ater,Coal Tit,David Pennington,United Kingdom,2024-03-05,10:11,27,A,song,field recording,yes,[],48000,https://xeno-canto.org/879546,https://xeno-canto.org/879546/download,
789862,Periparus ater,Coal Tit,Simon Elliott,United Kingdom,1999-04-25,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/789862,https://xeno-canto.org/789862/download,
637591,Periparus ater,Coal Tit,Irish Wildlife Sounds,Ireland,2021-03-31,10:00,23,A,"song, high trill",field recording,unknown,[],44100,https://xeno-canto.org/637591,https://xeno-canto.org/637591/download,
458453,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2019-02-23,08:30,22,A,song,field recording,yes,[],48000,https://xeno-canto.org/458453,https://xeno-canto.org/458453/download,
313378,Periparus ater,Coal Tit,David Darrell-Lambert,United Kingdom,2016-02-29,14:00,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/313378,https://xeno-canto.org/313378/download,
198160,Periparus ater,Coal Tit,Anthony McGeehan ,United Kingdom,2014-04-05,09:00,12,A,call,field recording,yes,[],44100,https://xeno-canto.org/198160,https://xeno-canto.org/198160/download,
1089523,Periparus ater,Coal Tit,Ulf Elman,Sweden,2026-03-20,08:09,38,A,song,field recording,no,"[""Turdus merula"", ""Spinus spinus""]",48000,https://xeno-canto.org/1089523,https://xeno-canto.org/1089523/download,
1089450,Periparus ater,Coal Tit,Pere Josa,Spain,2026-03-16,10:00,49,A,song,field recording,yes,[],44100,https://xeno-canto.org/1089450,https://xeno-canto.org/1089450/download,
1088440,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,34,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088440,https://xeno-canto.org/1088440/download,
1088437,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088437,https://xeno-canto.org/1088437/download,
1088435,Periparus ater,Coal Tit,Lars Edenius,Sweden,2026-03-16,09:00,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/1088435,https://xeno-canto.org/1088435/download,
1087602,Periparus ater,Coal Tit,Jacobo Ramil Millarengo,Spain,2026-03-12,19:30,54,A,call,field recording,yes,[],44100,https://xeno-canto.org/1087602,https://xeno-canto.org/1087602/download,
1085735,Periparus ater,Coal Tit,Gustav Haapalahti,Sweden,2026-03-07,09:30,56,A,song,field recording,yes,[],48000,https://xeno-canto.org/1085735,https://xeno-canto.org/1085735/download,
1085336,Periparus ater,Coal Tit,João Tomás,Spain,2026-02-21,12:47,27,A,song,field recording,yes,"[""Lullula arborea""]",44100,https://xeno-canto.org/1085336,https://xeno-canto.org/1085336/download,
1072054,Periparus ater,Coal Tit,João Tomás,Spain,2026-01-10,13:28,30,A,call,field recording,yes,"[""Fringilla coelebs"", ""Lophophanes cristatus"", ""Certhia brachydactyla""]",44100,https://xeno-canto.org/1072054,https://xeno-canto.org/1072054/download,
1040127,Periparus ater,Coal Tit,Jorge Leitão,Portugal,2025-09-17,11:12,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/1040127,https://xeno-canto.org/1040127/download,
1029166,Periparus ater,Coal Tit,Romuald Mikusek,Poland,2025-07-14,09:30,48,A,call,field recording,yes,[],48000,https://xeno-canto.org/1029166,https://xeno-canto.org/1029166/download,
1024702,Periparus ater,Coal Tit,Frantz Barrault,France,2025-07-17,09:30,11,A,call,field recording,yes,"[""Lullula arborea""]",44100,https://xeno-canto.org/1024702,https://xeno-canto.org/1024702/download,
1011037,Periparus ater,Coal Tit,Olivier SWIFT,France,2025-04-28,19:34,43,A,song,field recording,no,"[""Turdus philomelos""]",48000,https://xeno-canto.org/1011037,https://xeno-canto.org/1011037/download,
1005219,Periparus ater,Coal Tit,Gianluca Congi,Italy,2025-06-05,14:42,18,A,"duet, song",field recording,no,"[""Emberiza calandra"", ""Chloris chloris"", ""Upupa epops""]",48000,https://xeno-canto.org/1005219,https://xeno-canto.org/1005219/download,
1001379,Periparus ater,Coal Tit,Christian Bøggild,Denmark,2020-03-19,11:37,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/1001379,https://xeno-canto.org/1001379/download,
