xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1063697,Phasianus colchicus,Common Pheasant,Mark Plummer,United Kingdom,2025-12-09,09:59,7,A,call,field recording,no,"[""Erithacus rubecula""]",32000,https://xeno-canto.org/1063697,https://xeno-canto.org/1063697/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC1063697.mp3
1015433,Phasianus colchicus,Common Pheasant,David Darrell-Lambert,United Kingdom,2021-02-11,10:00,11,A,alarm call,field recording,yes,[],24000,https://xeno-canto.org/1015433,https://xeno-canto.org/1015433/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC1015433.mp3
1015407,Phasianus colchicus,Common Pheasant,David Darrell-Lambert,United Kingdom,2023-09-13,07:30,6,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1015407,https://xeno-canto.org/1015407/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC1015407.mp3
784065,Phasianus colchicus,Common Pheasant,Dean McDonnell,Ireland,2023-02-19,06:00,10,A,"call, Wingbeats",field recording,no,[],48000,https://xeno-canto.org/784065,https://xeno-canto.org/784065/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC784065.mp3
727848,Phasianus colchicus,Common Pheasant,Simon Elliott,United Kingdom,2020-05-17,06:30,4,A,"call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/727848,https://xeno-canto.org/727848/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC727848.mp3
591925,Phasianus colchicus,Common Pheasant,Simon Elliott,United Kingdom,1993-03-27,06:30,31,A,"call, wingflaps",field recording,yes,[],44100,https://xeno-canto.org/591925,https://xeno-canto.org/591925/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC591925.mp3
383120,Phasianus colchicus,Common Pheasant,David Darrell-Lambert,United Kingdom,2013-10-12,16:30,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/383120,https://xeno-canto.org/383120/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC383120.mp3
287893,Phasianus colchicus,Common Pheasant,david m,United Kingdom,2011-11-15,17:20,27,A,call,field recording,yes,[],48000,https://xeno-canto.org/287893,https://xeno-canto.org/287893/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC287893.mp3
29209,Phasianus colchicus,Common Pheasant,Stuart Fisher,United Kingdom,2005-11-00,19:30,10,A,wing noise of birds taking flight,field recording,unknown,[],44100,https://xeno-canto.org/29209,https://xeno-canto.org/29209/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC29209.mp3
1067618,Phasianus colchicus,Common Pheasant,Lennart Jeppsson,Sweden,2025-12-21,09:30,16,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/1067618,https://xeno-canto.org/1067618/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC1067618.mp3
937252,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,5,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937252,https://xeno-canto.org/937252/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC937252.mp3
937251,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,8,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937251,https://xeno-canto.org/937251/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC937251.mp3
937250,Phasianus colchicus,Common Pheasant,Ulf Elman,Sweden,2017-05-05,00:00,4,A,song,field recording,unknown,[],48000,https://xeno-canto.org/937250,https://xeno-canto.org/937250/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC937250.mp3
929867,Phasianus colchicus,Common Pheasant,Bram Piot,Belgium,2024-08-18,10:45,31,A,call,field recording,yes,[],44100,https://xeno-canto.org/929867,https://xeno-canto.org/929867/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC929867.mp3
895082,Phasianus colchicus,Common Pheasant,Martin Billard,France,2024-04-08,09:45,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/895082,https://xeno-canto.org/895082/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phasianus_colchicus/XC895082.mp3
