xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1088879,Phylloscopus collybita,Common Chiffchaff,Paul Kelly,Ireland,2026-03-06,07:30,39,A,call,field recording,no,"[""Cygnus cygnus""]",24000,https://xeno-canto.org/1088879,https://xeno-canto.org/1088879/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC1088879.mp3
1033984,Phylloscopus collybita,Common Chiffchaff,Leons Mathew Abraham,United Kingdom,2023-04-07,15:15,20,A,song,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/1033984,https://xeno-canto.org/1033984/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC1033984.mp3
884599,Phylloscopus collybita,Common Chiffchaff,David Bissett,United Kingdom,2024-03-25,12:30,30,A,song,field recording,no,[],96000,https://xeno-canto.org/884599,https://xeno-canto.org/884599/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC884599.mp3
666837,Phylloscopus collybita,Common Chiffchaff,Irish Wildlife Sounds,Ireland,2021-05-30,13:00,55,A,"song, tret notes",field recording,yes,[],44100,https://xeno-canto.org/666837,https://xeno-canto.org/666837/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC666837.mp3
566729,Phylloscopus collybita,Common Chiffchaff,Mr Mark Shorten,Ireland,2020-06-09,08:30,29,A,song,field recording,no,[],48000,https://xeno-canto.org/566729,https://xeno-canto.org/566729/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC566729.mp3
548341,Phylloscopus collybita,Common Chiffchaff,Paul Holt,United Kingdom,2020-04-19,17:30,17,A,"aberrant, song",field recording,yes,"[""Phylloscopus trochilus""]",44100,https://xeno-canto.org/548341,https://xeno-canto.org/548341/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC548341.mp3
452318,Phylloscopus collybita,Common Chiffchaff,Andrew Harrop,United Kingdom,2017-05-24,10:40,30,A,song,field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/452318,https://xeno-canto.org/452318/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC452318.mp3
409279,Phylloscopus collybita,Common Chiffchaff,Marc Anderson,United Kingdom,2018-04-05,17:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/409279,https://xeno-canto.org/409279/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC409279.mp3
351386,Phylloscopus collybita,Common Chiffchaff,Chris Batty,United Kingdom,2017-01-19,09:30,33,A,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/351386,https://xeno-canto.org/351386/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC351386.mp3
309721,Phylloscopus collybita,Common Chiffchaff,Marc Anderson,United Kingdom,2016-03-30,18:00,20,A,song,field recording,yes,[],48000,https://xeno-canto.org/309721,https://xeno-canto.org/309721/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/phylloscopus_collybita/XC309721.mp3
