xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1085904,Phylloscopus trochilus,Willow Warbler,Petter Westberg,Sweden,2025-06-11,07:00,41,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Muscicapa striata"", ""Fringilla montifringilla"", ""Pteronemobius krakatau"", ""Ficedula hypoleuca""]",96000,https://xeno-canto.org/1085904,https://xeno-canto.org/1085904/download,
1085903,Phylloscopus trochilus,Willow Warbler,Petter Westberg,Sweden,2025-05-07,11:00,25,A,song,field recording,yes,"[""Motacilla flava"", ""Columba palumbus"", ""Fringilla coelebs"", ""Botaurus stellaris"", ""Phylloscopus collybita"", ""Ficedula hypoleuca""]",96000,https://xeno-canto.org/1085903,https://xeno-canto.org/1085903/download,
1079999,Phylloscopus trochilus,Willow Warbler,Marc Anderson,Sweden,2022-05-30,07:00,33,A,song,field recording,no,[],44100,https://xeno-canto.org/1079999,https://xeno-canto.org/1079999/download,
1079998,Phylloscopus trochilus,Willow Warbler,Marc Anderson,Sweden,2022-05-30,07:00,46,A,song,field recording,no,[],44100,https://xeno-canto.org/1079998,https://xeno-canto.org/1079998/download,
1047057,Phylloscopus trochilus,Willow Warbler,João Tomás,Spain,2025-10-05,8:25,47,A,call,field recording,yes,"[""Motacilla alba"", ""Motacilla cinerea""]",44100,https://xeno-canto.org/1047057,https://xeno-canto.org/1047057/download,
1014947,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-07-10,06:00,37,A,song,field recording,yes,[],48000,https://xeno-canto.org/1014947,https://xeno-canto.org/1014947/download,
1011607,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-07-05,06:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/1011607,https://xeno-canto.org/1011607/download,
1009211,Phylloscopus trochilus,Willow Warbler,Ulf Elman,Sweden,2025-06-22,03:43,35,A,song,field recording,no,"[""Anthus pratensis""]",48000,https://xeno-canto.org/1009211,https://xeno-canto.org/1009211/download,
1000141,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2025-04-27,11:02,45,A,song,field recording,yes,[],48000,https://xeno-canto.org/1000141,https://xeno-canto.org/1000141/download,
997389,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2025-05-12,08:00,44,A,song,field recording,yes,"[""Curruca curruca""]",48000,https://xeno-canto.org/997389,https://xeno-canto.org/997389/download,
989893,Phylloscopus trochilus,Willow Warbler,Noé Ferrari,France,2025-04-07,15:00,49,A,song,field recording,yes,[],48000,https://xeno-canto.org/989893,https://xeno-canto.org/989893/download,
985824,Phylloscopus trochilus,Willow Warbler,Abe Bakker,Netherlands,2025-04-04,08:26,45,A,song,field recording,no,[],96000,https://xeno-canto.org/985824,https://xeno-canto.org/985824/download,
985809,Phylloscopus trochilus,Willow Warbler,Abe Bakker,Netherlands,2025-04-04,07:13,19,A,song,field recording,yes,[],96000,https://xeno-canto.org/985809,https://xeno-canto.org/985809/download,
975235,Phylloscopus trochilus,Willow Warbler,Lars Redetzke,Germany,2021-04-26,08:00,49,A,song,field recording,yes,"[""Columba palumbus"", ""Turdus philomelos"", ""Phalacrocorax carbo"", ""Prunella modularis"", ""Phylloscopus collybita"", ""Phasianus colchicus""]",44100,https://xeno-canto.org/975235,https://xeno-canto.org/975235/download,
938544,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2023-04-29,09:00,29,A,song,field recording,yes,"[""Acrocephalus schoenobaenus"", ""Cettia cetti""]",44100,https://xeno-canto.org/938544,https://xeno-canto.org/938544/download,
938543,Phylloscopus trochilus,Willow Warbler,Arjun Dutta,United Kingdom,2024-04-13,09:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/938543,https://xeno-canto.org/938543/download,
928481,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2024-08-17,08:00,28,A,subsong,field recording,no,[],44100,https://xeno-canto.org/928481,https://xeno-canto.org/928481/download,
908827,Phylloscopus trochilus,Willow Warbler,Olivier SWIFT,France,2024-05-16,09:08,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/908827,https://xeno-canto.org/908827/download,
908609,Phylloscopus trochilus,Willow Warbler,Martin Billard,France,2024-05-25,09:01,5,A,song,field recording,yes,[],44100,https://xeno-canto.org/908609,https://xeno-canto.org/908609/download,
908604,Phylloscopus trochilus,Willow Warbler,Martin Billard,France,2024-05-25,08:59,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/908604,https://xeno-canto.org/908604/download,
903259,Phylloscopus trochilus,Willow Warbler,Stephan Risch,Germany,2024-04-23,11:14,44,A,song,field recording,no,"[""Parus major""]",32000,https://xeno-canto.org/903259,https://xeno-canto.org/903259/download,
871741,Phylloscopus trochilus,Willow Warbler,Alain Malengreau,France,2023-04-25,09:00,35,A,song,field recording,yes,"[""Troglodytes troglodytes""]",48000,https://xeno-canto.org/871741,https://xeno-canto.org/871741/download,
870833,Phylloscopus trochilus,Willow Warbler,Alain Malengreau,France,2023-06-05,11:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/870833,https://xeno-canto.org/870833/download,
855110,Phylloscopus trochilus,Willow Warbler,David Pennington,United Kingdom,2023-04-17,11:58,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/855110,https://xeno-canto.org/855110/download,
838290,Phylloscopus trochilus,Willow Warbler,cyclopithecus,Sweden,2022-05-05,04:45,27,A,song,field recording,no,[],48000,https://xeno-canto.org/838290,https://xeno-canto.org/838290/download,
833638,Phylloscopus trochilus,Willow Warbler,Agris Celmins,Denmark,2009-05-02,08:48,20,A,call,field recording,yes,[],48000,https://xeno-canto.org/833638,https://xeno-canto.org/833638/download,
822190,Phylloscopus trochilus,Willow Warbler,James Lambert,United Kingdom,2023-06-13,14:15,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/822190,https://xeno-canto.org/822190/download,
820883,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-08-06,08:00,56,A,call,field recording,yes,[],48000,https://xeno-canto.org/820883,https://xeno-canto.org/820883/download,
819542,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-07-30,08:30,15,A,call,field recording,yes,"[""Poecile montanus""]",48000,https://xeno-canto.org/819542,https://xeno-canto.org/819542/download,
802264,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-19,07:00,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/802264,https://xeno-canto.org/802264/download,
801762,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-17,09:00,43,A,,field recording,yes,[],48000,https://xeno-canto.org/801762,https://xeno-canto.org/801762/download,
800943,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-14,07:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/800943,https://xeno-canto.org/800943/download,
800704,Phylloscopus trochilus,Willow Warbler,Susanne Kuijpers,Netherlands,2023-05-12,08:39,28,A,song,field recording,no,"[""Fringilla coelebs"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/800704,https://xeno-canto.org/800704/download,
799239,Phylloscopus trochilus,Willow Warbler,W. Agster,Germany,2023-05-07,10:30,33,A,song,field recording,yes,[],48000,https://xeno-canto.org/799239,https://xeno-canto.org/799239/download,
798800,Phylloscopus trochilus,Willow Warbler,Lars Edenius,Sweden,2023-05-07,07:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/798800,https://xeno-canto.org/798800/download,
797006,Phylloscopus trochilus,Willow Warbler,Bodo Sonnenburg,Germany,2023-04-30,05:38,38,A,song,field recording,yes,"[""Anser anser"", ""Phoenicurus phoenicurus""]",48000,https://xeno-canto.org/797006,https://xeno-canto.org/797006/download,
796488,Phylloscopus trochilus,Willow Warbler,Jorge Leitão,Germany,2023-04-27,10:47,55,A,song,field recording,yes,"[""Phoenicurus ochruros"", ""Turdus merula"", ""Parus major""]",44100,https://xeno-canto.org/796488,https://xeno-canto.org/796488/download,
