xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089392,Pica pica,Eurasian Magpie,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,41,A,call,field recording,no,[],48000,https://xeno-canto.org/1089392,https://xeno-canto.org/1089392/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC1089392.mp3
1059919,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2025-11-22,8:48,31,A,call,field recording,no,[],32000,https://xeno-canto.org/1059919,https://xeno-canto.org/1059919/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC1059919.mp3
999018,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,20:30,4,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/999018,https://xeno-canto.org/999018/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC999018.mp3
999017,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,05:30,28,A,call,field recording,no,[],48000,https://xeno-canto.org/999017,https://xeno-canto.org/999017/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC999017.mp3
955958,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2024-12-14,07:51,5,A,call,field recording,no,[],48000,https://xeno-canto.org/955958,https://xeno-canto.org/955958/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC955958.mp3
911116,Pica pica,Eurasian Magpie,Molly Bell,Ireland,2024-05-07,20:39,25,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/911116,https://xeno-canto.org/911116/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC911116.mp3
863515,Pica pica,Eurasian Magpie,Paul Kelly,Ireland,2024-01-19,08:00,6,A,call,field recording,no,[],44100,https://xeno-canto.org/863515,https://xeno-canto.org/863515/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC863515.mp3
861760,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2024-01-14,09:25,45,A,call,field recording,no,"[""Corvus corone""]",96000,https://xeno-canto.org/861760,https://xeno-canto.org/861760/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC861760.mp3
749486,Pica pica,Eurasian Magpie,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,17,A,call,field recording,no,[],44100,https://xeno-canto.org/749486,https://xeno-canto.org/749486/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC749486.mp3
599983,Pica pica,Eurasian Magpie,Simon Elliott,United Kingdom,2007-02-18,10:30,38,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/599983,https://xeno-canto.org/599983/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC599983.mp3
436997,Pica pica,Eurasian Magpie,Aladdin,United Kingdom,2018-08-14,09:30,38,A,"call, think it is a call",field recording,yes,[],44100,https://xeno-canto.org/436997,https://xeno-canto.org/436997/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC436997.mp3
183412,Pica pica,Eurasian Magpie,Marc Anderson,United Kingdom,2014-06-23,05:00,5,A,call,field recording,no,[],44100,https://xeno-canto.org/183412,https://xeno-canto.org/183412/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC183412.mp3
183410,Pica pica,Eurasian Magpie,Marc Anderson,United Kingdom,2014-06-23,05:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/183410,https://xeno-canto.org/183410/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC183410.mp3
1084550,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2026-02-24,12:48,33,A,call,field recording,no,[],44100,https://xeno-canto.org/1084550,https://xeno-canto.org/1084550/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/pica_pica/XC1084550.mp3
