xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089392,Pica pica,Eurasian Magpie,David Darrell-Lambert,United Kingdom,2026-03-17,08:00,41,A,call,field recording,no,[],48000,https://xeno-canto.org/1089392,https://xeno-canto.org/1089392/download,
1059919,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2025-11-22,8:48,31,A,call,field recording,no,[],32000,https://xeno-canto.org/1059919,https://xeno-canto.org/1059919/download,
999018,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,20:30,4,A,alarm call,field recording,no,[],48000,https://xeno-canto.org/999018,https://xeno-canto.org/999018/download,
999017,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2025-05-13,05:30,28,A,call,field recording,no,[],48000,https://xeno-canto.org/999017,https://xeno-canto.org/999017/download,
955958,Pica pica,Eurasian Magpie,Mark Plummer,United Kingdom,2024-12-14,07:51,5,A,call,field recording,no,[],48000,https://xeno-canto.org/955958,https://xeno-canto.org/955958/download,
911116,Pica pica,Eurasian Magpie,Molly Bell,Ireland,2024-05-07,20:39,25,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/911116,https://xeno-canto.org/911116/download,
863515,Pica pica,Eurasian Magpie,Paul Kelly,Ireland,2024-01-19,08:00,6,A,call,field recording,no,[],44100,https://xeno-canto.org/863515,https://xeno-canto.org/863515/download,
861760,Pica pica,Eurasian Magpie,David Bissett,United Kingdom,2024-01-14,09:25,45,A,call,field recording,no,"[""Corvus corone""]",96000,https://xeno-canto.org/861760,https://xeno-canto.org/861760/download,
749486,Pica pica,Eurasian Magpie,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,17,A,call,field recording,no,[],44100,https://xeno-canto.org/749486,https://xeno-canto.org/749486/download,
599983,Pica pica,Eurasian Magpie,Simon Elliott,United Kingdom,2007-02-18,10:30,38,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/599983,https://xeno-canto.org/599983/download,
436997,Pica pica,Eurasian Magpie,Aladdin,United Kingdom,2018-08-14,09:30,38,A,"call, think it is a call",field recording,yes,[],44100,https://xeno-canto.org/436997,https://xeno-canto.org/436997/download,
183412,Pica pica,Eurasian Magpie,Marc Anderson,United Kingdom,2014-06-23,05:00,5,A,call,field recording,no,[],44100,https://xeno-canto.org/183412,https://xeno-canto.org/183412/download,
183410,Pica pica,Eurasian Magpie,Marc Anderson,United Kingdom,2014-06-23,05:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/183410,https://xeno-canto.org/183410/download,
1084550,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2026-02-24,12:48,33,A,call,field recording,no,[],44100,https://xeno-canto.org/1084550,https://xeno-canto.org/1084550/download,
1071574,Pica pica,Eurasian Magpie,Esperanza Poveda,Spain,2025-05-23,?,48,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/1071574,https://xeno-canto.org/1071574/download,
1070764,Pica pica,Eurasian Magpie,Jelle Scharringa,Netherlands,2026-01-05,12:00,45,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/1070764,https://xeno-canto.org/1070764/download,
1042768,Pica pica,Eurasian Magpie,Sonothèque ADVL,France,2025-07-18,10:00,19,A,"call, Bavardage",field recording,no,[],48000,https://xeno-canto.org/1042768,https://xeno-canto.org/1042768/download,
1039731,Pica pica,Eurasian Magpie,Johannes Worona,Germany,2025-09-09,08:33,6,A,"call, subsong",field recording,no,[],44100,https://xeno-canto.org/1039731,https://xeno-canto.org/1039731/download,
1034267,Pica pica,Eurasian Magpie,Frank Holzapfel,Germany,2025-08-22,13:20,10,A,call,field recording,no,[],44100,https://xeno-canto.org/1034267,https://xeno-canto.org/1034267/download,
1034265,Pica pica,Eurasian Magpie,Frank Holzapfel,Germany,2025-08-22,13:11,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1034265,https://xeno-canto.org/1034265/download,
1031048,Pica pica,Eurasian Magpie,Manuel Grosselet,France,2025-06-10,07:08,53,A,call,field recording,yes,"[""Fringilla coelebs"", ""Turdus merula"", ""Coloeus monedula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/1031048,https://xeno-canto.org/1031048/download,
1005027,Pica pica,Eurasian Magpie,Manuel Grosselet,France,2025-06-03,07:34,34,A,call,field recording,yes,"[""Fringilla coelebs"", ""Parus major"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/1005027,https://xeno-canto.org/1005027/download,
987312,Pica pica,Eurasian Magpie,SonoNatura,Spain,2025-04-09,08:30,14,A,call,field recording,no,[],44100,https://xeno-canto.org/987312,https://xeno-canto.org/987312/download,
