xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1082392,Prunella modularis,Dunnock,David Darrell-Lambert,United Kingdom,2026-02-21,14:00,41,A,song,field recording,yes,[],48000,https://xeno-canto.org/1082392,https://xeno-canto.org/1082392/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC1082392.mp3
1054287,Prunella modularis,Dunnock,Lee Alder,United Kingdom,2025-03-22,10:41,47,A,"song, human voices",field recording,no,"[""Branta canadensis"", ""Coloeus monedula"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Anas platyrhynchos"", ""Passer domesticus""]",48000,https://xeno-canto.org/1054287,https://xeno-canto.org/1054287/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC1054287.mp3
948864,Prunella modularis,Dunnock,Paul Kelly,Ireland,2024-11-06,07:30,39,A,call,field recording,no,[],44100,https://xeno-canto.org/948864,https://xeno-canto.org/948864/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC948864.mp3
920469,Prunella modularis,Dunnock,Andrew Harrop,United Kingdom,2024-07-13,14:30,8,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/920469,https://xeno-canto.org/920469/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC920469.mp3
902691,Prunella modularis,Dunnock,Paul Kelly,Ireland,2024-05-08,20:30,23,A,song,field recording,no,[],44100,https://xeno-canto.org/902691,https://xeno-canto.org/902691/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC902691.mp3
597087,Prunella modularis,Dunnock,Simon Elliott,United Kingdom,2012-05-12,10:00,53,A,"begging call, hatchling or nestling",field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/597087,https://xeno-canto.org/597087/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC597087.mp3
353951,Prunella modularis,Dunnock,david m,United Kingdom,2017-01-07,09:42,24,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/353951,https://xeno-canto.org/353951/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC353951.mp3
211891,Prunella modularis,Dunnock,david m,United Kingdom,2015-01-06,08:47,50,A,call,field recording,yes,[],48000,https://xeno-canto.org/211891,https://xeno-canto.org/211891/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC211891.mp3
210529,Prunella modularis,Dunnock,david m,United Kingdom,2009-01-21,?,57,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/210529,https://xeno-canto.org/210529/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC210529.mp3
199557,Prunella modularis,Dunnock,david m,United Kingdom,2013-03-17,09:22,21,A,song,field recording,yes,[],48000,https://xeno-canto.org/199557,https://xeno-canto.org/199557/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC199557.mp3
186039,Prunella modularis,Dunnock,david m,United Kingdom,2014-04-15,06:15,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/186039,https://xeno-canto.org/186039/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC186039.mp3
177650,Prunella modularis,Dunnock,david m,United Kingdom,2014-03-11,7:10,57,A,call,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/177650,https://xeno-canto.org/177650/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/prunella_modularis/XC177650.mp3
