xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089186,Saxicola rubicola,European Stonechat,Xavier Riera,Spain,2026-03-18,09:28,33,A,song,field recording,no,[],44100,https://xeno-canto.org/1089186,https://xeno-canto.org/1089186/download,
1050973,Saxicola rubicola,European Stonechat,MILLON Xavier,France,2025-08-31,07:03,27,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1050973,https://xeno-canto.org/1050973/download,
1044256,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2025-09-30,17:30,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1044256,https://xeno-canto.org/1044256/download,
1024763,Saxicola rubicola,European Stonechat,Frantz Barrault,France,2025-07-20,07:00,43,A,"alarm call, call",field recording,yes,"[""Emberiza cirlus""]",44100,https://xeno-canto.org/1024763,https://xeno-canto.org/1024763/download,
1024762,Saxicola rubicola,European Stonechat,Frantz Barrault,France,2025-07-20,07:00,17,A,"alarm call, call",field recording,yes,"[""Curruca melanocephala"", ""Carduelis corsicana""]",44100,https://xeno-canto.org/1024762,https://xeno-canto.org/1024762/download,
1022772,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-05-20,9:25,54,A,song,field recording,unknown,[],44100,https://xeno-canto.org/1022772,https://xeno-canto.org/1022772/download,
1022771,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-05-13,22:01,18,A,"begging call, hoarse-call",field recording,unknown,[],44100,https://xeno-canto.org/1022771,https://xeno-canto.org/1022771/download,
1022770,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-05-12,9:02,53,A,"begging call, hoarse-call",field recording,unknown,[],44100,https://xeno-canto.org/1022770,https://xeno-canto.org/1022770/download,
1011901,Saxicola rubicola,European Stonechat,David Boyle,United Kingdom,2025-06-30,21:25,19,A,call,field recording,no,[],48000,https://xeno-canto.org/1011901,https://xeno-canto.org/1011901/download,
1009450,Saxicola rubicola,European Stonechat,bert de bruin,Norway,2025-06-26,12:30,23,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/1009450,https://xeno-canto.org/1009450/download,
1002121,Saxicola rubicola,European Stonechat,Stephan Risch,Germany,2025-05-20,13:05,40,A,alarm call,field recording,yes,[],32000,https://xeno-canto.org/1002121,https://xeno-canto.org/1002121/download,
997689,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-04-13,06:30,50,A,song,field recording,unknown,[],32000,https://xeno-canto.org/997689,https://xeno-canto.org/997689/download,
997675,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-04-11,06:00,29,A,song,field recording,unknown,[],32000,https://xeno-canto.org/997675,https://xeno-canto.org/997675/download,
997041,Saxicola rubicola,European Stonechat,Bodhuin Maxime,France,2025-05-11,04:13,28,A,"call, flight call, nocturnal flight call, song",field recording,no,"[""Cettia cetti""]",44100,https://xeno-canto.org/997041,https://xeno-canto.org/997041/download,
994229,Saxicola rubicola,European Stonechat,Andrew Clarke,United Kingdom,2025-04-29,07:30,11,A,song,field recording,yes,"[""Larus argentatus""]",44100,https://xeno-canto.org/994229,https://xeno-canto.org/994229/download,
991565,Saxicola rubicola,European Stonechat,Jorge Leitão,Portugal,2025-04-24,11:14,36,A,call,field recording,yes,"[""Erithacus rubecula"", ""Cisticola juncidis"", ""Linaria cannabina""]",44100,https://xeno-canto.org/991565,https://xeno-canto.org/991565/download,
989130,Saxicola rubicola,European Stonechat,Jacobo Ramil Millarengo,Spain,2025-04-16,19:30,26,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/989130,https://xeno-canto.org/989130/download,
989119,Saxicola rubicola,European Stonechat,Nicolas Martinez,Switzerland,2025-04-11,09:30,45,A,song,field recording,yes,"[""Turdus merula"", ""Corvus corone"", ""Emberiza citrinella""]",48000,https://xeno-canto.org/989119,https://xeno-canto.org/989119/download,
987177,Saxicola rubicola,European Stonechat,Nicolas Martinez,Switzerland,2025-04-11,09:00,47,A,song,field recording,yes,"[""Sylvia atricapilla"", ""Corvus corone"", ""Emberiza citrinella""]",48000,https://xeno-canto.org/987177,https://xeno-canto.org/987177/download,
985867,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-24,20:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/985867,https://xeno-canto.org/985867/download,
985407,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-17,06:30,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/985407,https://xeno-canto.org/985407/download,
984804,Saxicola rubicola,European Stonechat,Jorge Leitão,Portugal,2025-03-31,11:07,37,A,song,field recording,yes,[],44100,https://xeno-canto.org/984804,https://xeno-canto.org/984804/download,
979687,Saxicola rubicola,European Stonechat,Stanislas Wroza,France,2025-03-11,07:30,37,A,song,field recording,unknown,[],48000,https://xeno-canto.org/979687,https://xeno-canto.org/979687/download,
962037,Saxicola rubicola,European Stonechat,Raphaël Bussière,France,2024-07-02,05:00,10,A,song,field recording,no,[],48000,https://xeno-canto.org/962037,https://xeno-canto.org/962037/download,
961699,Saxicola rubicola,European Stonechat,Feliu López i Gelats,Spain,2024-05-19,14:30,14,A,call,field recording,no,[],44100,https://xeno-canto.org/961699,https://xeno-canto.org/961699/download,
961511,Saxicola rubicola,European Stonechat,Feliu López i Gelats,Spain,2023-05-19,08:00,50,A,"call, song",field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/961511,https://xeno-canto.org/961511/download,
