xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1044256,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2025-09-30,17:30,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1044256,https://xeno-canto.org/1044256/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC1044256.mp3
1011901,Saxicola rubicola,European Stonechat,David Boyle,United Kingdom,2025-06-30,21:25,19,A,call,field recording,no,[],48000,https://xeno-canto.org/1011901,https://xeno-canto.org/1011901/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC1011901.mp3
994229,Saxicola rubicola,European Stonechat,Andrew Clarke,United Kingdom,2025-04-29,07:30,11,A,song,field recording,yes,"[""Larus argentatus""]",44100,https://xeno-canto.org/994229,https://xeno-canto.org/994229/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC994229.mp3
985867,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-24,20:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/985867,https://xeno-canto.org/985867/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC985867.mp3
985407,Saxicola rubicola,European Stonechat,David Darrell-Lambert,United Kingdom,2024-04-17,06:30,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/985407,https://xeno-canto.org/985407/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC985407.mp3
944300,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-28,17:00,38,A,call,field recording,no,[],44100,https://xeno-canto.org/944300,https://xeno-canto.org/944300/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC944300.mp3
943897,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-27,07:30,18,A,call,field recording,no,"[""Mareca penelope""]",44100,https://xeno-canto.org/943897,https://xeno-canto.org/943897/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC943897.mp3
943896,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-10-27,07:30,49,A,call,field recording,no,"[""Tringa totanus"", ""Cygnus cygnus"", ""Numenius arquata""]",44100,https://xeno-canto.org/943896,https://xeno-canto.org/943896/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC943896.mp3
942277,Saxicola rubicola,European Stonechat,Arjun Dutta,United Kingdom,2022-04-05,13:00,44,A,"imitation, song",field recording,yes,[],44100,https://xeno-canto.org/942277,https://xeno-canto.org/942277/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC942277.mp3
942276,Saxicola rubicola,European Stonechat,Arjun Dutta,United Kingdom,2022-03-03,13:00,32,A,song,field recording,yes,[],44100,https://xeno-canto.org/942276,https://xeno-canto.org/942276/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC942276.mp3
937556,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-09-25,07:00,42,A,"call, subsong",field recording,no,"[""Numenius arquata""]",44100,https://xeno-canto.org/937556,https://xeno-canto.org/937556/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC937556.mp3
919186,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2024-07-01,05:00,53,A,call,field recording,no,"[""Anthus pratensis""]",44100,https://xeno-canto.org/919186,https://xeno-canto.org/919186/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC919186.mp3
834290,Saxicola rubicola,European Stonechat,Paul Kelly,Ireland,2023-10-02,04:00,22,A,call,field recording,no,[],44100,https://xeno-canto.org/834290,https://xeno-canto.org/834290/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/saxicola_rubicola/XC834290.mp3
