xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
996479,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-05-10,05:00,28,A,song,field recording,yes,"[""Gallinago gallinago""]",48000,https://xeno-canto.org/996479,https://xeno-canto.org/996479/download,
991447,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,28,A,call,field recording,yes,[],48000,https://xeno-canto.org/991447,https://xeno-canto.org/991447/download,
991446,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,52,A,song,field recording,yes,[],48000,https://xeno-canto.org/991446,https://xeno-canto.org/991446/download,
991444,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,27,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/991444,https://xeno-canto.org/991444/download,
980284,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-03-14,14:00,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/980284,https://xeno-canto.org/980284/download,
980283,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-03-14,14:00,43,A,song,field recording,yes,[],48000,https://xeno-canto.org/980283,https://xeno-canto.org/980283/download,
950882,Spinus spinus,Eurasian Siskin,Ulf Elman,Sweden,2024-11-24,14:46,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/950882,https://xeno-canto.org/950882/download,
898595,Spinus spinus,Eurasian Siskin,Pia,Sweden,2024-04-27,06:12,47,A,"song, subsong",unknown,yes,"[""Dendrocopos major"", ""Passer domesticus""]",44100,https://xeno-canto.org/898595,https://xeno-canto.org/898595/download,
812821,Spinus spinus,Eurasian Siskin,Thomas Bergman,Sweden,2023-06-28,06:52,30,A,"call, tyuee",field recording,no,"[""Fringilla coelebs"", ""Turdus philomelos"", ""Fringilla montifringilla""]",48000,https://xeno-canto.org/812821,https://xeno-canto.org/812821/download,
793470,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2023-04-15,09:30,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/793470,https://xeno-canto.org/793470/download,
793450,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2023-04-15,07:00,18,A,song,field recording,no,[],48000,https://xeno-canto.org/793450,https://xeno-canto.org/793450/download,
780084,Spinus spinus,Eurasian Siskin,Frode Falkenberg,Norway,2023-02-13,12:00,58,A,"call, chatter",field recording,yes,[],44100,https://xeno-canto.org/780084,https://xeno-canto.org/780084/download,
717381,Spinus spinus,Eurasian Siskin,Shaun Micklewright,United Kingdom,2022-02-12,13:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/717381,https://xeno-canto.org/717381/download,
714644,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-04-11,07:00,27,A,song,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/714644,https://xeno-canto.org/714644/download,
712654,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-03-30,17:30,35,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/712654,https://xeno-canto.org/712654/download,
712648,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-03-30,17:00,30,A,call,field recording,no,[],44100,https://xeno-canto.org/712648,https://xeno-canto.org/712648/download,
712218,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-03-31,09:00,7,A,song,field recording,yes,"[""Picus canus""]",48000,https://xeno-canto.org/712218,https://xeno-canto.org/712218/download,
711220,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-03-27,08:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/711220,https://xeno-canto.org/711220/download,
703974,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-02-23,13:00,13,A,call,field recording,yes,[],44100,https://xeno-canto.org/703974,https://xeno-canto.org/703974/download,
703787,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-02-22,13:30,13,A,call,field recording,yes,[],44100,https://xeno-canto.org/703787,https://xeno-canto.org/703787/download,
702709,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-02-16,13:00,25,A,song,field recording,yes,[],48000,https://xeno-canto.org/702709,https://xeno-canto.org/702709/download,
702167,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-02-14,12:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/702167,https://xeno-canto.org/702167/download,
700176,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2022-02-03,11:00,54,A,song,field recording,yes,[],48000,https://xeno-canto.org/700176,https://xeno-canto.org/700176/download,
670927,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2021-08-28,18:00,29,A,call,field recording,yes,[],48000,https://xeno-canto.org/670927,https://xeno-canto.org/670927/download,
665065,Spinus spinus,Eurasian Siskin,Thomas Bergman,Sweden,2021-07-26,07:16,44,A,"alarm call, call",field recording,yes,"[""Loxia curvirostra""]",48000,https://xeno-canto.org/665065,https://xeno-canto.org/665065/download,
